team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
15,bayer-04-leverkusen,2024,BayArena,30210,25710,,,26,,,1956,,Bayer 04 Immobilien GmbH,,BayArena,,Alemania,"70,00 mill. €",Césped natural,,https://www.transfermarkt.es/bayer-04-leverkusen/stadion/verein/15/saison_id/2024,"Der Name ""Ulrich-Haberland-Stadion"" wird seit der Umbenennung in ""BayArena"" aus Traditionsgründen vom nahegelegenen Amateurstadion getragen.",,105,68,Bayer AG,,True,False,
16,borussia-dortmund,2024,SIGNAL IDUNA PARK,81365,53028,,,18,,,1974,,Westfalenstadion Dortmund GmbH & Co. KG,,SIGNAL IDUNA PARK,,Alemania,"45,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/borussia-dortmund/stadion/verein/16/saison_id/2024,Westfalenstadion (bis 30.11.2005),,105,68,SIGNAL IDUNA,2031,True,False,
18,borussia-monchengladbach,2024,Stadion im Borussia-Park,54042,37869,,,45,,,2004,,Borussia VfL 1900 Mönchengladbach GmbH,,Stadion im Borussia-Park,,Alemania,"84,00 mill. €",Césped natural,,https://www.transfermarkt.es/borussia-monchengladbach/stadion/verein/18/saison_id/2024,,,105,68,-,,True,False,
24,eintracht-frankfurt,2024,Deutsche Bank Park,59500,39500,,,83,,,2005,,Stadt Frankfurt - Tochtergesellschaft WFGP,,Deutsche Bank Park,,Alemania,"126,00 mill. €",Césped natural,,https://www.transfermarkt.es/eintracht-frankfurt/stadion/verein/24/saison_id/2024,"Waldstadion, Commerzbank Arena",,105,68,Deutsche Bank,2027,True,False,
27,fc-bayern-munchen,2024,Allianz Arena,75000,59230,,,106,,,2005,,FC Bayern München,,Allianz Arena,,Alemania,"365,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-bayern-munchen/stadion/verein/27/saison_id/2024,,,105,68,Allianz SE,2041,True,False,
35,fc-st-pauli,2024,Millerntor-Stadion,29546,12606,,,39,,,1963,,FC St. Pauli,,Millerntor-Stadion,,Alemania,"32,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-st-pauli/stadion/verein/35/saison_id/2024,Wilhelm-Koch-Stadion,,105,68,,,True,False,
39,1-fsv-mainz-05,2024,Mewa Arena,33305,20000,,,35,,,2009,,GVG mbH,,Mewa Arena,,Alemania,"65,00 mill. €",Césped natural,,https://www.transfermarkt.es/1-fsv-mainz-05/stadion/verein/39/saison_id/2024,"Coface Arena (-30.06.2016), Opel Arena (-30.06.2021)",,105,68,Mewa Textil-Management,2031,True,False,
60,sc-freiburg,2024,Europa-Park Stadion,34700,22300,,,20,,,2021,,Stadion Freiburg Objektträger GmbH & Co. KG (SFG),,Europa-Park Stadion,,Alemania,,Césped natural,,https://www.transfermarkt.es/sc-freiburg/stadion/verein/60/saison_id/2024,,,105,68,Europa-Park GmbH & Co Mack KG,,True,False,
79,vfb-stuttgart,2024,MHPArena Stuttgart,60449,49224,,,66,,,1933,,Stadion NeckarPark GmbH & Co.KG,,MHPArena Stuttgart,,Alemania,,Césped natural,,https://www.transfermarkt.es/vfb-stuttgart/stadion/verein/79/saison_id/2024,"Mercedes-Benz Arena (2008-2023)
Gottlieb-Daimler-Stadion (1993-2008)
Neckarstadion (1949-1993)
Century Stadium (1945-1949)
zunächst Stuttgarter Kampfbahn, danach Adolf-Hitler-Kampfbahn (1933-1945)",,105,68,MHP,2033,True,False,
80,vfl-bochum,2024,Vonovia Ruhrstadion,26000,15574,,,,,,1979,,Stadt Bochum,,Vonovia Ruhrstadion,,Alemania,,Césped natural,,https://www.transfermarkt.es/vfl-bochum/stadion/verein/80/saison_id/2024,"rewirpowerSTADION,
Ruhrstadion,
Stadion an der Castroper Straße",,105,68,Vonovia,2026,True,False,
82,vfl-wolfsburg,2024,Volkswagen Arena,28917,20917,,,31,,,2002,,Wolfsburg AG,,Volkswagen Arena,,Alemania,"53,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/vfl-wolfsburg/stadion/verein/82/saison_id/2024,,,105,68,Volkswagen AG,,True,False,
86,sv-werder-bremen,2024,Weserstadion,41800,31500,,,14,,,1926,,Bremer Weser-Stadion GmbH,,Weserstadion,,Alemania,,Césped híbrido,,https://www.transfermarkt.es/sv-werder-bremen/stadion/verein/86/saison_id/2024,"ABTS-Kampfbahn (1926-1930), Weserstadion (1930-1934), Bremer Kampfbahn (1934-1945), IKE-Stadion (1945-1947), Weserstadion (1947-2019)",,105,68,,,True,False,
89,1-fc-union-berlin,2024,Stadion An der Alten Försterei,22012,3617,,,27,,,1920,,1.FC Union Berlin,,Stadion An der Alten Försterei,,Alemania,"17,00 mill. €",Césped natural,,https://www.transfermarkt.es/1-fc-union-berlin/stadion/verein/89/saison_id/2024,Sportplatz Sadowa,,105,68,,,True,False,
167,fc-augsburg,2024,WWK ARENA,30660,19626,,,48,,,2009,,FC Augsburg Besitz- und Betriebsgesellschaft mbH,,WWK ARENA,,Alemania,"45,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-augsburg/stadion/verein/167/saison_id/2024,Augsburg Arena; impuls arena; SGL Arena,,105,68,WWK,,True,False,
269,holstein-kiel,2024,Holstein-Stadion,15034,5809,,,,,,1911,,Stadt Kiel,,Holstein-Stadion,,Alemania,,Césped híbrido,,https://www.transfermarkt.es/holstein-kiel/stadion/verein/269/saison_id/2024,Holstein-Platz (bis 1965),,104,68,,,True,False,
533,tsg-1899-hoffenheim,2024,PreZero Arena,30150,23400,,,40,,,2008,,DH Besitzgesellschaft mbH & Co. KG,,PreZero Arena,,Alemania,"60,00 mill. €",Césped natural,,https://www.transfermarkt.es/tsg-1899-hoffenheim/stadion/verein/533/saison_id/2024,"Rhein-Neckar-Arena, Wirsol Rhein-Neckar-Arena",,105,68,PreZero,,True,False,
2036,1-fc-heidenheim-1846,2024,Voith-Arena,15000,4300,,,37,,,1972,,1.FC Heidenheim 1846,,Voith-Arena,,Alemania,"22,80 mill. €",Césped híbrido,,https://www.transfermarkt.es/1-fc-heidenheim-1846/stadion/verein/2036/saison_id/2024,"Albstadion, Gagfah-Arena",,105,68,Voith AG,,True,False,
23826,rasenballsport-leipzig,2024,Red Bull Arena,47069,32908,,,18,,,2003,,ZSL Betreibergesellschaft mbH,,Red Bull Arena,,Alemania,"90,00 mill. €",Césped natural,,https://www.transfermarkt.es/rasenballsport-leipzig/stadion/verein/23826/saison_id/2024,"Stadion der Hunderttausend
Zentralstadion Leipzig",,105,68,Red Bull GmbH,2040,True,False,
