match_id_ss,player_id_ss,player_name,team_id_ss,event_type,minute,second,x,y,end_x,end_y,outcome,data_source
14065228,,,,period,90,,,,,,,sofascore
14065228,,,,injuryTime,90,,,,,,,sofascore
14065228,,,,substitution,89,,,,,,regular,sofascore
14065228,,,,substitution,88,,,,,,regular,sofascore
14065228,954076.0,Fábio Silva,,goal,87,,,,,,regular,sofascore
14065228,,,,substitution,84,,,,,,regular,sofascore
14065228,,,,substitution,84,,,,,,regular,sofascore
14065228,,,,substitution,84,,,,,,regular,sofascore
14065228,,,,substitution,75,,,,,,regular,sofascore
14065228,,,,substitution,75,,,,,,regular,sofascore
14065228,,,,substitution,74,,,,,,regular,sofascore
14065228,,,,substitution,67,,,,,,regular,sofascore
14065228,,,,substitution,67,,,,,,regular,sofascore
14065228,1134083.0,Jobe Bellingham,,card,65,,,,,,yellow,sofascore
14065228,142525.0,Lukas Kübler,,varDecision,56,,,,,,goalAwarded,sofascore
14065228,,,,period,45,,,,,,,sofascore
14065228,,,,injuryTime,45,,,,,,,sofascore
14065228,577726.0,Ramy Bensebaini,,goal,31,,,,,,regular,sofascore
14065228,328027.0,Serhou Guirassy,,goal,14,,,,,,regular,sofascore
14065228,980628.0,Maximilian Beier,,goal,8,,,,,,regular,sofascore
14065241,,,,period,90,,,,,,,sofascore
14065241,,,,injuryTime,90,,,,,,,sofascore
14065241,,,,substitution,79,,,,,,regular,sofascore
14065241,825771.0,Marco Friedl,,card,76,,,,,,yellow,sofascore
14065241,,,,substitution,75,,,,,,regular,sofascore
14065241,796206.0,Kristijan Jakić,,goal,69,,,,,,regular,sofascore
14065241,,,,substitution,67,,,,,,regular,sofascore
14065241,,,,substitution,66,,,,,,regular,sofascore
14065241,,,,substitution,66,,,,,,injury,sofascore
14065241,830127.0,Romano Schmid,,goal,64,,,,,,regular,sofascore
14065241,,,,substitution,46,,,,,,regular,sofascore
14065241,,,,substitution,46,,,,,,regular,sofascore
14065241,,,,substitution,46,,,,,,regular,sofascore
14065241,,,,period,45,,,,,,,sofascore
14065241,1129365.0,Anton Kade,,goal,45,,,,,,regular,sofascore
14065241,,,,injuryTime,45,,,,,,,sofascore
14065241,,,,substitution,36,,,,,,regular,sofascore
14065241,1129365.0,Anton Kade,,goal,24,,,,,,regular,sofascore
14065241,927340.0,Han-Noah Massengo,,card,14,,,,,,yellow,sofascore
14065242,,,,period,90,,,,,,,sofascore
14065242,1513469.0,Livan Burcu,,card,90,,,,,,yellow,sofascore
14065242,,,,injuryTime,90,,,,,,,sofascore
14065242,1513469.0,Livan Burcu,,goal,89,,,,,,regular,sofascore
14065242,187185.0,Marvin Schwäbe,,card,88,,,,,,yellow,sofascore
14065242,,,,substitution,88,,,,,,regular,sofascore
14065242,,,,substitution,80,,,,,,injury,sofascore
14065242,1210666.0,Tom Alexander Rothe,,goal,73,,,,,,regular,sofascore
14065242,,,,substitution,71,,,,,,regular,sofascore
14065242,,,,substitution,71,,,,,,injury,sofascore
14065242,,,,substitution,71,,,,,,regular,sofascore
14065242,,,,substitution,67,,,,,,regular,sofascore
14065242,,,,substitution,62,,,,,,regular,sofascore
14065242,1800475.0,Said El Mala,,goal,61,,,,,,regular,sofascore
14065242,,,,substitution,58,,,,,,regular,sofascore
14065242,,,,substitution,58,,,,,,regular,sofascore
14065242,,,,substitution,58,,,,,,regular,sofascore
14065242,1402924.0,Jahmai Simpson-Pusey,,card,55,,,,,,yellow,sofascore
14065242,,,,period,45,,,,,,,sofascore
14065242,,,,injuryTime,45,,,,,,,sofascore
14065242,855663.0,Diogo Leite,,card,34,,,,,,yellow,sofascore
14065242,378340.0,Marius Bülter,,goal,33,,,,,,regular,sofascore
14065242,988639.0,Eric Martel,,card,31,,,,,,yellow,sofascore
14065244,,,,period,90,,,,,,,sofascore
14065244,983540.0,Tiago Tomás,,goal,90,,,,,,regular,sofascore
14065244,,,,substitution,90,,,,,,regular,sofascore
14065244,,,,substitution,90,,,,,,regular,sofascore
14065244,,,,substitution,90,,,,,,regular,sofascore
14065244,,,,injuryTime,90,,,,,,,sofascore
14065244,,,,substitution,86,,,,,,regular,sofascore
14065244,857740.0,Ozan Kabak,,card,83,,,,,,yellow,sofascore
14065244,,,,substitution,81,,,,,,regular,sofascore
14065244,,,,substitution,76,,,,,,regular,sofascore
14065244,801030.0,Atakan Karazor,,card,69,,,,,,red,sofascore
14065244,828571.0,Bernardo,,card,68,,,,,,yellow,sofascore
14065244,878081.0,Ermedin Demirović,,goal,64,,,,,,regular,sofascore
14065244,1126569.0,Bilal El Khannouss,,card,58,,,,,,yellow,sofascore
14065244,,,,substitution,55,,,,,,regular,sofascore
14065244,,,,substitution,55,,,,,,regular,sofascore
14065244,67647.0,Andrej Kramarić,,card,49,,,,,,yellow,sofascore
14065244,67647.0,Andrej Kramarić,,goal,49,,,,,,regular,sofascore
14065244,,,,period,45,,,,,,,sofascore
14065244,,,,injuryTime,45,,,,,,,sofascore
14065244,1568123.0,Bazoumana Touré,,goal,23,,,,,,regular,sofascore
14065244,891510.0,Chris Führich,,goal,20,,,,,,regular,sofascore
14065244,67647.0,Andrej Kramarić,,goal,7,,,,,,regular,sofascore
14065239,,,,period,90,,,,,,,sofascore
14065239,921789.0,Rasmus Kristensen,,card,90,,,,,,yellowRed,sofascore
14065239,1146148.0,Jean-Mattéo Bahoya,,card,90,,,,,,yellow,sofascore
14065239,,,,injuryTime,90,,,,,,,sofascore
14065239,1440948.0,Can Uzun,,card,88,,,,,,yellow,sofascore
14065239,973564.0,Nicolás Capaldo,,card,88,,,,,,yellow,sofascore
14065239,954061.0,Arnaud Kalimuendo,,card,85,,,,,,yellow,sofascore
14065239,,,,substitution,83,,,,,,injury,sofascore
14065239,,,,substitution,82,,,,,,regular,sofascore
14065239,,,,substitution,82,,,,,,regular,sofascore
14065239,,,,substitution,79,,,,,,regular,sofascore
14065239,,,,substitution,78,,,,,,injury,sofascore
14065239,921789.0,Rasmus Kristensen,,card,71,,,,,,yellow,sofascore
14065239,,,,substitution,68,,,,,,regular,sofascore
14065239,,,,substitution,68,,,,,,injury,sofascore
14065239,,,,substitution,61,,,,,,regular,sofascore
14065239,,,,substitution,61,,,,,,regular,sofascore
14065239,,,,substitution,61,,,,,,regular,sofascore
14065239,904835.0,Fábio Vieira,,goal,59,,,,,,regular,sofascore
14065239,1149113.0,Oscar Højlund,,card,52,,,,,,yellow,sofascore
14065239,1000263.0,Albert Grønbæk,,goal,51,,,,,,regular,sofascore
14065239,1440948.0,Can Uzun,,goal,48,,,,,,regular,sofascore
14065239,,,,period,45,,,,,,,sofascore
