id_sofascore,canonical_name
26768.0,Sven Ulreich
35976.0,Pavao Pervan
37096.0,Péter Gulácsi
40244.0,Oliver Baumann
41615.0,Ron-Robert Zieler
48480.0,Pascal Groß
48557.0,Christopher Trimmel
49639.0,Nicolas Höfler
57627.0,Karol Mets
66518.0,Mario Götze
67647.0,Andrej Kramarić
78781.0,Florian Kainz
94312.0,Daniel Batz
95381.0,Kevin Stöger
96832.0,Janis Blaswich
97926.0,Danny da Costa
103442.0,Anthony Jung
105734.0,Christian Eriksen
106662.0,Stefan Bell
108579.0,Harry Kane
111483.0,Michael Gregoritsch
111969.0,Leonardo Bittencourt
113442.0,Daniel Fernandes
133908.0,Marcel Sabitzer
135264.0,Yussuf Poulsen
136924.0,Willi Orbán
136933.0,Marius Müller
137692.0,Frederik Rønnow
138024.0,Vladimír Coufal
138126.0,Phillipp Mwene
138156.0,Emre Can
142231.0,Christian Günter
142259.0,Matthias Ginter
142390.0,Jonas Hofmann
142525.0,Lukas Kübler
146853.0,Jeffrey Gouweleeuw
147289.0,Maximilian Arnold
147745.0,Michy Batshuayi
149479.0,Rani Khedira
149728.0,Budu Zivzivadze
152206.0,Dominik Kohr
157377.0,Silvan Widmer
168861.0,Marnon Busch
168903.0,Robert Andrich
168937.0,Niklas Süle
168985.0,Janik Haberer
168987.0,Robert Glatzel
169255.0,Yannick Gerhardt
171919.0,Mark Flekken
171961.0,Vincenzo Grifo
174345.0,Robin Zentner
177177.0,Alejandro Grimaldo
181581.0,Jackson Irvine
184661.0,Leon Goretzka
187185.0,Marvin Schwäbe
187423.0,Kevin Akpoguma
187433.0,Serge Gnabry
190161.0,Michael Zetterer
226978.0,Julian Brandt
227672.0,Jonathan Tah
229544.0,Niklas Stark
246431.0,Sven Michel
246999.0,Raphaël Guerreiro
252343.0,Adam Dźwigała
253469.0,Hauke Wahl
253993.0,Grischa Prömel
254119.0,Marius Wolf
254297.0,Ihlas Bebou
254429.0,Patrick Mainka
255239.0,Lucas Vázquez
259117.0,Joshua Kimmich
259803.0,Haris Tabaković
280009.0,Lucas Höler
280453.0,Franck Honorat
280551.0,Manolis Saliakas
280609.0,Patrik Schick
280631.0,Václav Černý
282229.0,Nico Elvedi
293127.0,Denis Vavro
311676.0,Jonas Föhrenbach
319853.0,Lukas Klostermann
319857.0,Benjamin Henrichs
319861.0,Luca Waldschmidt
325061.0,Nikola Vasilj
327755.0,Nadiem Amiri
327863.0,Robert Skov
328027.0,Serhou Guirassy
341589.0,Mahmoud Dahoud
352544.0,Sheraldo Becker
352562.0,Pascal Stenzel
354878.0,Dimitrios Giannoulis
355486.0,Stefan Posch
355492.0,Konrad Laimer
357752.0,Aurélio Buta
378340.0,Marius Bülter
537552.0,Jae-sung Lee
542038.0,Eric Smith
556866.0,Gregor Kobel
569784.0,Maximilian Eggestein
575952.0,Mathias Honsak
576266.0,Philipp Lienhart
577726.0,Ramy Bensebaini
578166.0,Moritz Nicolas
581302.0,Robin Koch
583806.0,Kevin Diks
591706.0,Ellyes Skhiri
608362.0,Oliver Burke
788949.0,Maximilian Mittelstädt
789192.0,Jean-Luc Dompé
790965.0,Ritsu Doan
790977.0,Koki Machida
791079.0,Xaver Schlager
791642.0,Josip Juranović
794294.0,Andreas Hanche Olsen
794298.0,Deniz Undav
794995.0,Niklas Dorsch
795005.0,Salih Özcan
796047.0,Aleix García
796206.0,Kristijan Jakić
796987.0,Mattias Svanberg
798303.0,Miro Muheim
798583.0,Dayot Upamecano
798926.0,Cedric Zesiger
798936.0,Benedikt Gimber
799046.0,Waldemar Anton
800252.0,Tim Skarke
800400.0,Sirlord Conteh
800951.0,Julian Ryerson
801003.0,Jordan Torunarigha
801030.0,Atakan Karazor
801263.0,Jakub Kamiński
809219.0,Mads Pedersen
815612.0,Marco Grüll
