match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
14065228,280009,Lucas Höler,2538,90,28.4,42.3,0.017,save,right-foot,assisted,sofascore
14065228,1508537,Cyriaque Irié,2538,90,13.3,38.0,0.459,save,left-foot,assisted,sofascore
14065228,994556,Carney Chukwuemeka,2673,90,27.5,52.6,0.0275,block,right-foot,assisted,sofascore
14065228,954076,Fábio Silva,2673,87,9.2,47.9,0.29,goal,right-foot,regular,sofascore
14065228,836711,Jan-Niklas Beste,2538,70,18.0,76.0,0.0205,save,left-foot,assisted,sofascore
14065228,280009,Lucas Höler,2538,66,9.2,50.9,0.1268,miss,right-foot,throw-in-set-piece,sofascore
14065228,328027,Serhou Guirassy,2673,63,18.2,46.7,0.0447,block,right-foot,assisted,sofascore
14065228,1861666,Samuele Inacio,2673,60,8.2,48.1,0.6834,save,right-foot,assisted,sofascore
14065228,226978,Julian Brandt,2673,51,12.2,60.3,0.1136,miss,left-foot,regular,sofascore
14065228,980628,Maximilian Beier,2673,45,23.4,34.5,0.0556,block,right-foot,free-kick,sofascore
14065228,49639,Nicolas Höfler,2538,35,8.6,57.7,0.0598,save,head,throw-in-set-piece,sofascore
14065228,577726,Ramy Bensebaini,2673,31,2.9,51.8,0.3224,goal,head,corner,sofascore
14065228,1134083,Jobe Bellingham,2673,30,7.1,40.7,0.0967,block,right-foot,assisted,sofascore
14065228,328027,Serhou Guirassy,2673,26,13.5,47.0,0.1144,block,left-foot,assisted,sofascore
14065228,1861666,Samuele Inacio,2673,26,9.2,52.1,0.064,block,head,assisted,sofascore
14065228,49639,Nicolas Höfler,2538,24,14.8,57.5,0.0254,miss,head,set-piece,sofascore
14065228,226978,Julian Brandt,2673,23,13.9,74.4,0.0524,miss,right-foot,regular,sofascore
14065228,328027,Serhou Guirassy,2673,21,5.7,48.3,0.1762,miss,head,corner,sofascore
14065228,1134083,Jobe Bellingham,2673,18,21.6,42.7,0.0489,miss,right-foot,assisted,sofascore
14065228,800951,Julian Ryerson,2673,16,10.7,58.0,0.1182,miss,left-foot,assisted,sofascore
14065228,577726,Ramy Bensebaini,2673,16,25.4,43.3,0.0407,block,left-foot,assisted,sofascore
14065228,1131002,Derry Scherhant,2538,15,6.1,66.0,0.0508,miss,right-foot,assisted,sofascore
14065228,328027,Serhou Guirassy,2673,14,4.2,50.1,0.877,goal,right-foot,fast-break,sofascore
14065228,980628,Maximilian Beier,2673,8,5.7,32.7,0.2476,goal,right-foot,assisted,sofascore
14065241,1005343,Justin Njinmah,2534,90,8.2,58.9,0.0564,miss,head,throw-in-set-piece,sofascore
14065241,815612,Marco Grüll,2534,90,20.2,72.4,0.0292,post,right-foot,regular,sofascore
14065241,1100836,Samuel Mbangula,2534,85,12.5,53.5,0.3864,miss,left-foot,assisted,sofascore
14065241,1129365,Anton Kade,2600,85,9.5,63.8,0.1513,miss,right-foot,fast-break,sofascore
14065241,1005343,Justin Njinmah,2534,79,13.2,59.5,0.0797,block,right-foot,corner,sofascore
14065241,1864786,Salim Musah,2534,78,13.9,35.0,0.0269,block,left-foot,assisted,sofascore
14065241,798926,Cedric Zesiger,2600,78,6.4,46.9,0.1571,save,left-foot,corner,sofascore
14065241,830142,Jens Stage,2534,74,9.4,47.6,0.0443,miss,head,corner,sofascore
14065241,860461,Robin Fellhauer,2600,73,6.6,38.0,0.2866,save,right-foot,fast-break,sofascore
14065241,254119,Marius Wolf,2600,69,4.4,38.7,0.0284,miss,head,corner,sofascore
14065241,796206,Kristijan Jakić,2600,69,2.2,55.1,0.3317,goal,right-foot,corner,sofascore
14065241,830127,Romano Schmid,2534,64,18.6,46.1,0.0693,goal,right-foot,assisted,sofascore
14065241,1864786,Salim Musah,2534,63,7.4,69.3,0.0749,save,right-foot,assisted,sofascore
14065241,822877,Alexis Claude-Maurice,2600,61,11.7,38.0,0.0959,save,right-foot,assisted,sofascore
14065241,830142,Jens Stage,2534,58,11.3,53.6,0.081,miss,head,assisted,sofascore
14065241,960114,Olivier Deman,2534,58,24.3,28.9,0.0106,block,left-foot,assisted,sofascore
14065241,830127,Romano Schmid,2534,50,21.0,64.8,0.0334,save,right-foot,set-piece,sofascore
14065241,1005343,Justin Njinmah,2534,48,13.6,52.3,0.3829,save,left-foot,fast-break,sofascore
14065241,822877,Alexis Claude-Maurice,2600,46,18.0,53.1,0.0817,miss,right-foot,assisted,sofascore
14065241,1129365,Anton Kade,2600,45,5.7,45.8,0.4723,goal,head,assisted,sofascore
14065241,111483,Michael Gregoritsch,2600,41,6.3,53.0,0.1755,miss,head,throw-in-set-piece,sofascore
14065241,963198,Chrislain Matsima,2600,40,24.7,49.8,0.0336,block,right-foot,assisted,sofascore
14065241,146853,Jeffrey Gouweleeuw,2600,38,11.6,73.6,0.0333,save,right-foot,assisted,sofascore
14065241,111483,Michael Gregoritsch,2600,35,7.4,49.1,0.2336,miss,head,set-piece,sofascore
14065241,916176,Cameron Puertas,2534,27,20.7,57.5,0.0484,miss,left-foot,assisted,sofascore
14065241,1129365,Anton Kade,2600,24,9.5,58.1,0.4806,goal,right-foot,assisted,sofascore
14065241,916176,Cameron Puertas,2534,22,21.5,67.7,0.0145,block,right-foot,assisted,sofascore
14065241,111483,Michael Gregoritsch,2600,9,28.4,42.1,0.0122,miss,left-foot,assisted,sofascore
14065241,905347,Yukinari Sugawara,2534,6,26.0,35.4,0.0089,block,right-foot,corner,sofascore
14065242,608362,Oliver Burke,2547,90,7.4,47.9,0.1995,miss,right-foot,regular,sofascore
14065242,1020206,Sebastian Sebulonsen,2671,90,19.2,65.6,0.0272,miss,right-foot,set-piece,sofascore
14065242,1513469,Livan Burcu,2547,89,20.0,31.4,0.0252,goal,right-foot,throw-in-set-piece,sofascore
14065242,608362,Oliver Burke,2547,85,9.9,68.7,0.085,miss,left-foot,assisted,sofascore
14065242,921033,Linton Maina,2671,84,15.8,44.8,0.1761,save,left-foot,fast-break,sofascore
14065242,953767,Andrej Ilić,2547,79,11.3,46.6,0.0516,miss,head,assisted,sofascore
14065242,1210666,Tom Alexander Rothe,2547,73,5.8,45.2,0.1472,goal,head,corner,sofascore
14065242,953767,Andrej Ilić,2547,73,5.5,51.1,0.167,save,head,corner,sofascore
14065242,1800475,Said El Mala,2671,61,9.2,44.8,0.1526,goal,left-foot,assisted,sofascore
14065242,801263,Jakub Kamiński,2671,50,7.6,50.3,0.577,miss,right-foot,fast-break,sofascore
14065242,608362,Oliver Burke,2547,45,20.9,41.3,0.156,block,right-foot,assisted,sofascore
14065242,801263,Jakub Kamiński,2671,41,11.4,57.5,0.5231,save,right-foot,assisted,sofascore
14065242,953097,Cenk Özkaçar,2671,37,7.7,54.7,0.1505,miss,head,set-piece,sofascore
14065242,378340,Marius Bülter,2671,33,20.6,44.7,0.1326,goal,right-foot,fast-break,sofascore
