id_sofascore,canonical_name,country
2524,VfL Wolfsburg,Germany
2526,FC St. Pauli,Germany
2527,Borussia M'gladbach,Germany
2534,SV Werder Bremen,Germany
2538,SC Freiburg,Germany
2547,1. FC Union Berlin,Germany
2556,1. FSV Mainz 05,Germany
2561,SC Paderborn 07,Germany
2569,TSG Hoffenheim,Germany
2600,FC Augsburg,Germany
2671,1. FC Köln,Germany
2672,FC Bayern München,Germany
2673,Borussia Dortmund,Germany
2674,Eintracht Frankfurt,Germany
2676,Hamburger SV,Germany
2677,VfB Stuttgart,Germany
2681,Bayer 04 Leverkusen,Germany
5885,1. FC Heidenheim,Germany
36360,RB Leipzig,Germany
