season,injury_type,date_from,date_until,days_absent,matches_missed,player_id,player_id_tm,player_name,club_name,club_id_tm,club_slug,squad_team_slug
25/26,Rotura de fibras,2026-03-06,2026-03-29,24,4.0,17259,17259,Manuel Neuer,,,,
25/26,Desgarro fibrilar,2026-02-14,2026-03-01,16,2.0,17259,17259,Manuel Neuer,,,,
25/26,Falta de condición física,2026-01-05,2026-01-07,3,,17259,17259,Manuel Neuer,,,,
25/26,Desgarro fibrilar,2025-12-15,2026-01-04,21,1.0,17259,17259,Manuel Neuer,,,,
24/25,Desgarro fibrilar,2025-03-06,2025-04-30,56,10.0,17259,17259,Manuel Neuer,,,,
24/25,Costilla fracturada,2024-12-06,2024-12-31,26,4.0,17259,17259,Manuel Neuer,,,,
24/25,Problemas en el muslo,2024-09-18,2024-09-26,9,1.0,17259,17259,Manuel Neuer,,,,
23/24,Infección,2024-05-27,2024-05-31,5,,17259,17259,Manuel Neuer,,,,
23/24,Desgarro fibrilar,2024-03-20,2024-04-08,20,4.0,17259,17259,Manuel Neuer,,,,
23/24,Falta de condición física,2023-10-18,2023-10-25,8,3.0,17259,17259,Manuel Neuer,,,,
22/23,Fractura de tibia,2022-12-10,2023-10-17,312,44.0,17259,17259,Manuel Neuer,,,,
22/23,Hematoma acromioclavicular,2022-10-10,2022-11-03,25,7.0,17259,17259,Manuel Neuer,,,,
22/23,Coronavirus,2022-09-19,2022-09-26,8,1.0,17259,17259,Manuel Neuer,,,,
21/22,Operación de rodilla,2022-02-03,2022-03-07,33,5.0,17259,17259,Manuel Neuer,,,,
21/22,Coronavirus,2021-12-30,2022-01-13,15,1.0,17259,17259,Manuel Neuer,,,,
25/26,Lesión de codo,2025-08-08,2025-08-19,12,1.0,195778,195778,Alexander Nübel,,,,
24/25,Resfriado,2025-01-27,2025-01-30,4,1.0,195778,195778,Alexander Nübel,,,,
23/24,Problemas musculares,2024-04-07,2024-04-19,13,1.0,195778,195778,Alexander Nübel,,,,
23/24,Problemas de cadera,2024-02-07,2024-02-26,20,3.0,195778,195778,Alexander Nübel,,,,
21/22,Traumatismo craneal,2022-01-27,2022-02-01,6,1.0,195778,195778,Alexander Nübel,,,,
21/22,Problemas estomacales,2021-08-16,2021-08-20,5,1.0,195778,195778,Alexander Nübel,,,,
20/21,Rotura del ligamento de la sindesmosis,2021-01-28,2021-03-11,43,9.0,195778,195778,Alexander Nübel,,,,
25/26,Desgarro miofascial,2026-03-15,2026-04-27,44,9.0,40680,40680,Sven Ulreich,,,,
24/25,Enfermo,2024-11-06,2024-11-10,5,2.0,40680,40680,Sven Ulreich,,,,
23/24,Enfermo,2023-12-19,2023-12-22,4,1.0,40680,40680,Sven Ulreich,,,,
23/24,Lesión de cápsula,2023-12-11,2023-12-15,5,1.0,40680,40680,Sven Ulreich,,,,
23/24,Infección,2023-10-30,2023-11-02,4,1.0,40680,40680,Sven Ulreich,,,,
21/22,Problemas de espalda,2021-11-26,2021-12-01,6,1.0,40680,40680,Sven Ulreich,,,,
21/22,Rotura del ligamento interno de la rodilla,2021-09-20,2021-10-31,42,8.0,40680,40680,Sven Ulreich,,,,
17/18,Molestias en el aductor,2017-12-07,2017-12-13,7,1.0,40680,40680,Sven Ulreich,,,,
17/18,Lesión de codo,2017-05-04,2017-07-06,64,3.0,40680,40680,Sven Ulreich,,,,
15/16,Sobreestiramiento de la banda de sindesmosis,2016-01-14,2016-02-18,36,5.0,40680,40680,Sven Ulreich,,,,
14/15,Herida menor,2014-10-23,2014-10-30,8,1.0,40680,40680,Sven Ulreich,,,,
13/14,Lesión de muñeca,2013-09-23,2013-10-24,32,4.0,40680,40680,Sven Ulreich,,,,
09/10,Fractura de peroné,2010-03-01,2010-04-26,57,9.0,40680,40680,Sven Ulreich,,,,
25/26,Lesión de cadera,2026-02-25,2026-03-11,15,2.0,317444,317444,Ron-Thorben Hoffmann,,,,
24/25,Enfermo,2025-05-16,2025-05-19,4,1.0,317444,317444,Ron-Thorben Hoffmann,,,,
23/24,Enfermo,2024-02-16,2024-02-19,4,1.0,317444,317444,Ron-Thorben Hoffmann,,,,
22/23,Coronavirus,2022-09-29,2022-10-06,8,1.0,317444,317444,Ron-Thorben Hoffmann,,,,
21/22,Coronavirus,2022-01-01,2022-01-14,14,2.0,317444,317444,Ron-Thorben Hoffmann,,,,
20/21,Lesión de rodilla,2021-03-07,2021-04-12,37,12.0,317444,317444,Ron-Thorben Hoffmann,,,,
18/19,Enfermo,2018-11-21,2018-11-28,8,3.0,317444,317444,Ron-Thorben Hoffmann,,,,
