id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
17259,Manuel Neuer,Alemania,1986-03-27,Portero,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
195778,Alexander Nübel,Alemania,1996-09-30,Portero,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
40680,Sven Ulreich,Alemania,1988-08-03,Portero,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
317444,Ron-Thorben Hoffmann,Alemania,1999-04-04,Portero,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
453874,Lukas Schneller,Alemania,2001-10-26,Portero,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
59016,David Alaba,Austria,1992-06-24,Defensa central,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
166601,Niklas Süle,Alemania,1995-09-03,Defensa central,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
353366,Benjamin Pavard,Francia,1996-03-28,Defensa central,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
538996,Tanguy Nianzou,Francia,2002-06-07,Defensa central,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
26485,Jérôme Boateng,Alemania,1988-09-03,Defensa central,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
578539,Chris Richards,Estados Unidos,2000-03-28,Defensa central,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
44017,Javi Martínez,España,1988-09-02,Defensa central,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
580193,Bright Arrey-Mbi,Alemania,2003-03-26,Defensa central,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
424204,Alphonso Davies,Canadá,2000-11-02,Lateral izquierdo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
281963,Lucas Hernández,Francia,1996-02-14,Lateral izquierdo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
805835,Rémy Vita,Comoras,2001-04-01,Lateral izquierdo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
422211,Alexander Lungwitz,Alemania,2000-08-04,Lateral izquierdo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
190685,Bouna Sarr,Senegal,1992-01-31,Lateral derecho,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
483046,Josip Stanisic,Croacia,2000-04-02,Lateral derecho,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
335455,Kilian Senkbeil,Alemania,1999-05-22,Lateral derecho,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
161056,Joshua Kimmich,Alemania,1995-02-08,Pivote,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
336869,Marc Roca,España,1996-11-26,Pivote,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
443710,Angelo Stiller,Alemania,2001-04-04,Pivote,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
380423,Maximilian Zaiser,Alemania,1999-03-08,Pivote,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
153084,Leon Goretzka,Alemania,1995-02-06,Mediocentro,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
190393,Corentin Tolisso,Francia,1994-08-03,Mediocentro,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
344600,Michaël Cuisance,Francia,1999-08-16,Mediocentro,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
379979,Adrian Fein,Alemania,1999-03-18,Mediocentro,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
429987,Tiago Dantas,Portugal,2000-12-24,Mediocentro,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
503162,Christopher Scott,Alemania,2002-06-07,Interior izquierdo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
580195,Jamal Musiala,Alemania,2003-02-26,Mediocentro ofensivo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
343337,Fiete Arp,Alemania,2000-01-06,Mediocentro ofensivo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
467437,Malik Tillman,Estados Unidos,2002-05-28,Mediocentro ofensivo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
243714,Kingsley Coman,Francia,1996-06-13,Extremo izquierdo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
483974,Leon Dajaku,Alemania,2001-04-12,Extremo izquierdo,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
192565,Leroy Sané,Alemania,1996-01-11,Extremo derecho,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
75615,Douglas Costa,Brasil,1990-09-14,Extremo derecho,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
336324,Daniels Ontuzans,Letonia,2000-03-07,Extremo derecho,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
159471,Serge Gnabry,Alemania,1995-07-14,Mediapunta,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
58358,Thomas Müller,Alemania,1989-09-13,Mediapunta,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
569033,Armindo Sieb,Alemania,2003-02-17,Mediapunta,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
38253,Robert Lewandowski,Polonia,1988-08-21,Delantero centro,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
435648,Joshua Zirkzee,Países Bajos,2001-05-22,Delantero centro,Bundesliga,fc-bayern-munchen,fc-bayern-munchen,,2020,transfermarkt
