understat_match_id,season,datetime,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,home_xg,away_xg
30224,2025,2025-08-22 18:30:00,Bayern Munich,RasenBallsport Leipzig,117,136,6,0,3.29885,0.52226
30225,2025,2025-08-23 13:30:00,FC Heidenheim,Wolfsburg,280,131,1,3,0.783156,2.57718
30226,2025,2025-08-23 13:30:00,Bayer Leverkusen,Hoffenheim,119,120,1,2,1.05253,0.505193
30227,2025,2025-08-23 13:30:00,Union Berlin,VfB Stuttgart,240,133,2,1,0.529421,1.80147
30228,2025,2025-08-23 13:30:00,Eintracht Frankfurt,Werder Bremen,132,123,4,1,3.10684,0.587822
30229,2025,2025-08-23 13:30:00,Freiburg,Augsburg,135,121,1,3,2.27247,1.30191
30230,2025,2025-08-23 16:30:00,St. Pauli,Borussia Dortmund,288,129,3,3,1.46772,2.10289
30231,2025,2025-08-24 13:30:00,Mainz 05,FC Cologne,125,134,0,1,1.31655,1.64676
30232,2025,2025-08-24 15:30:00,Borussia M.Gladbach,Hamburger SV,130,118,0,0,1.01717,0.285593
30233,2025,2025-08-29 18:30:00,Hamburger SV,St. Pauli,118,288,0,2,0.74111,1.85404
30234,2025,2025-08-30 13:30:00,Hoffenheim,Eintracht Frankfurt,120,132,1,3,1.28178,1.82087
30235,2025,2025-08-30 13:30:00,RasenBallsport Leipzig,FC Heidenheim,136,280,2,0,3.29717,0.969982
30236,2025,2025-08-30 13:30:00,Werder Bremen,Bayer Leverkusen,123,119,3,3,2.32676,2.03733
30237,2025,2025-08-30 13:30:00,VfB Stuttgart,Borussia M.Gladbach,133,130,1,0,0.925105,1.60717
30238,2025,2025-08-30 16:30:00,Augsburg,Bayern Munich,121,117,2,3,0.506028,3.37523
30239,2025,2025-08-31 13:30:00,Wolfsburg,Mainz 05,131,125,1,1,0.616661,1.81482
30240,2025,2025-08-31 15:30:00,Borussia Dortmund,Union Berlin,129,240,3,0,1.82606,0.971167
30241,2025,2025-08-31 17:30:00,FC Cologne,Freiburg,134,135,4,1,1.84068,0.933072
