understat_player_id,player_name
40,Stefan Bell
75,Niklas Süle
82,Nadiem Amiri
106,Waldemar Anton
125,Maximilian Eggestein
140,Yannick Gerhardt
153,Maximilian Arnold
171,Michael Gregoritsch
183,Jonathan Tah
205,Mahmoud Dahoud
212,Nico Elvedi
223,Joshua Kimmich
239,Pascal Groß
249,Danny da Costa
261,Julian Brandt
262,Leonardo Bittencourt
269,Dominik Kohr
294,Gian-Luca Waldschmidt
315,Matthias Ginter
320,Jonas Hofmann
326,Pascal Stenzel
335,Leon Goretzka
418,Niklas Stark
419,Maximilian Mittelstädt
422,Mario Götze
435,Benjamin Henrichs
604,Emre Can
646,Christian Eriksen
647,Harry Kane
956,Andrej Kramaric
993,Serge Gnabry
1055,Aleix García
1139,Silvan Widmer
1236,Patrik Schick
1427,Kevin Diks
1678,Michy Batshuayi
2253,Lucas Vázquez
2611,Philipp Lienhart
2665,Jeffrey Gouweleeuw
2693,Marius Wolf
3314,Franck Honorat
3347,Ellyes Skhiri
3349,Ramy Bensebaini
3455,Raphael Guerreiro
3738,Serhou Guirassy
4243,Christian Günter
4250,Nicolas Höfler
4271,Janik Haberer
4312,Marnon Busch
4340,Grischa Prömel
5217,Anthony Jung
5225,Bakery Jatta
5231,Florian Kainz
5238,Jordan Torunarigha
5243,Dayotchanculle Upamecano
5245,Bernardo
5248,Marcel Sabitzer
5250,Yussuf Poulsen
5251,Rani Khedira
5256,Oliver Burke
5257,Willi Orban
5263,Lukas Kübler
5266,Vincenzo Grifo
5283,Daniel Heuer Fernandes
5294,Salih Özcan
5329,Stefan Posch
5340,Marco Friedl
5344,Hauke Wahl
5347,Jonas Föhrenbach
5358,Lukas Klostermann
5611,Martin Terrier
5684,Arnaud Nordin
5752,Alexis Claude Maurice
5969,Jean-Luc Dompe
6103,Dan-Axel Zagadou
6109,Konrad Laimer
6271,Ihlas Bebou
6273,Robin Koch
6351,Robin Hack
6380,Anthony Caci
6411,Niklas Dorsch
6415,Nikolas Nartey
6436,Stanley N&#039;Soki
6445,Elvis Rexhbecaj
6449,Chris Führich
