understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
30224,9948,Bayern Munich,Michael Olise,3,98.8,16.8,0.0591,Blocked,Right Foot,Open Play,h,,,2025,understat
30224,6109,Bayern Munich,Konrad Laimer,10,94.4,19.99,0.2866,Saved,Right Foot,Open Play,h,,,2025,understat
30224,993,Bayern Munich,Serge Gnabry,15,82.42,37.94,0.0359,Blocked,Left Foot,Open Play,h,,,2025,understat
30224,647,Bayern Munich,Harry Kane,24,90.72,29.38,0.1212,Off T,Right Foot,Open Play,h,,,2025,understat
30224,9948,Bayern Munich,Michael Olise,26,92.3,24.07,0.0692,Goal,Right Foot,Open Play,h,,,2025,understat
30224,10408,Bayern Munich,Luis Díaz,31,92.3,31.14,0.4199,Goal,Right Foot,Open Play,h,,,2025,understat
30224,9948,Bayern Munich,Michael Olise,35,82.32,19.52,0.059,Blocked,Left Foot,Direct Freekick,h,,,2025,understat
30224,647,Bayern Munich,Harry Kane,35,97.02,22.3,0.0538,Blocked,Right Foot,Set Piece,h,,,2025,understat
30224,993,Bayern Munich,Serge Gnabry,39,87.57,38.22,0.1066,Blocked,Left Foot,Open Play,h,,,2025,understat
30224,9948,Bayern Munich,Michael Olise,41,95.97,29.24,0.4328,Goal,Left Foot,From Corner,h,,,2025,understat
30224,335,Bayern Munich,Leon Goretzka,50,98.28,39.37,0.083,Off T,Head,From Corner,h,,,2025,understat
30224,9948,Bayern Munich,Michael Olise,59,79.48,27.13,0.0384,Off T,Left Foot,Open Play,h,,,2025,understat
30224,647,Bayern Munich,Harry Kane,63,100.28,39.92,0.6798,Goal,Right Foot,Open Play,h,,,2025,understat
30224,647,Bayern Munich,Harry Kane,73,89.25,48.89,0.0527,Goal,Right Foot,Open Play,h,,,2025,understat
30224,647,Bayern Munich,Harry Kane,77,97.23,42.64,0.3289,Goal,Left Foot,Open Play,h,,,2025,understat
30224,13573,Bayern Munich,Lennart Karl,79,79.8,27.4,0.0348,Saved,Left Foot,Open Play,h,,,2025,understat
30224,223,Bayern Munich,Joshua Kimmich,80,84.0,13.8,0.0172,Off T,Right Foot,From Corner,h,,,2025,understat
30224,13573,Bayern Munich,Lennart Karl,86,85.05,17.07,0.0447,Blocked,Left Foot,Open Play,h,,,2025,understat
30224,13573,Bayern Munich,Lennart Karl,91,99.22,21.83,0.3787,Saved,Right Foot,Open Play,h,,,2025,understat
30224,9724,RasenBallsport Leipzig,David Raum,28,98.91,47.53,0.0503,Off T,Left Foot,Open Play,a,,,2025,understat
30224,10832,RasenBallsport Leipzig,Loïs Openda,28,97.23,21.69,0.0467,Blocked,Right Foot,From Corner,a,,,2025,understat
30224,7783,RasenBallsport Leipzig,Xaver Schlager,43,90.51,22.3,0.0544,Blocked,Right Foot,Open Play,a,,,2025,understat
30224,13850,RasenBallsport Leipzig,Johan Bakayoko,49,94.08,20.6,0.0519,Blocked,Right Foot,Open Play,a,,,2025,understat
30224,13850,RasenBallsport Leipzig,Johan Bakayoko,45,86.2,21.28,0.029,Blocked,Left Foot,Open Play,a,,,2025,understat
30224,7783,RasenBallsport Leipzig,Xaver Schlager,45,80.32,28.56,0.0129,Off T,Left Foot,Open Play,a,,,2025,understat
30224,11871,RasenBallsport Leipzig,Nicolas Seiwald,57,95.97,40.26,0.0999,Blocked,Right Foot,Open Play,a,,,2025,understat
30224,6708,RasenBallsport Leipzig,Bote Baku,58,89.78,20.81,0.0302,Blocked,Left Foot,Open Play,a,,,2025,understat
30224,12941,RasenBallsport Leipzig,Antonio Nusa,61,86.52,34.2,0.056,Off T,Right Foot,Open Play,a,,,2025,understat
30224,7422,RasenBallsport Leipzig,Christoph Baumgartner,82,84.52,19.92,0.019,Saved,Right Foot,Open Play,a,,,2025,understat
30224,12941,RasenBallsport Leipzig,Antonio Nusa,93,84.42,45.08,0.0292,Blocked,Right Foot,From Corner,a,,,2025,understat
30224,7422,RasenBallsport Leipzig,Christoph Baumgartner,94,97.02,27.0,0.043,Off T,Head,From Corner,a,,,2025,understat
30225,12986,FC Heidenheim,Léo Scienza,24,84.52,48.82,0.0245,Off T,Right Foot,Open Play,h,,,2025,understat
30225,12986,FC Heidenheim,Léo Scienza,28,81.58,44.2,0.0712,Goal,Right Foot,Direct Freekick,h,,,2025,understat
30225,13323,FC Heidenheim,Budu Zivzivadze,29,73.4,34.41,0.013,Saved,Left Foot,Open Play,h,,,2025,understat
30225,8854,FC Heidenheim,Tim Siersleben,30,85.26,48.35,0.0217,Off T,Left Foot,Open Play,h,,,2025,understat
30225,13323,FC Heidenheim,Budu Zivzivadze,34,100.9,36.92,0.5702,Off T,Left Foot,Open Play,h,,,2025,understat
30225,12986,FC Heidenheim,Léo Scienza,47,76.75,50.05,0.0085,Blocked,Right Foot,Open Play,h,,,2025,understat
30225,11917,FC Heidenheim,Mathias Honsak,82,96.7,29.99,0.074,Off T,OtherBodyPart,Open Play,h,,,2025,understat
30225,11227,Wolfsburg,Dzenan Pejcinovic,1,92.72,36.65,0.1199,Off T,Left Foot,Open Play,a,,,2025,understat
30225,153,Wolfsburg,Maximilian Arnold,9,79.07,15.84,0.0123,Off T,Left Foot,Open Play,a,,,2025,understat
30225,9931,Wolfsburg,Lovro Majer,14,76.23,25.02,0.0143,Blocked,Left Foot,Open Play,a,,,2025,understat
30225,7934,Wolfsburg,Andreas Skov Olsen,19,83.79,21.08,0.0253,Goal,Left Foot,Open Play,a,,,2025,understat
30225,11031,Wolfsburg,Kilian Fischer,21,79.7,22.98,0.0236,Off T,Right Foot,Open Play,a,,,2025,understat
30225,153,Wolfsburg,Maximilian Arnold,23,80.53,28.63,0.0322,Off T,Left Foot,Open Play,a,,,2025,understat
30225,11227,Wolfsburg,Dzenan Pejcinovic,35,100.38,34.27,0.5937,Off T,Head,Open Play,a,,,2025,understat
30225,9730,Wolfsburg,Patrick Wimmer,37,85.89,31.21,0.3358,Saved,Right Foot,Open Play,a,,,2025,understat
30225,9730,Wolfsburg,Patrick Wimmer,38,91.03,32.64,0.0611,Off T,Right Foot,From Corner,a,,,2025,understat
30225,153,Wolfsburg,Maximilian Arnold,48,79.7,22.1,0.0166,Saved,Left Foot,Open Play,a,,,2025,understat
30225,11227,Wolfsburg,Dzenan Pejcinovic,57,100.8,40.05,0.0307,Off T,Head,From Corner,a,,,2025,understat
30225,10872,Wolfsburg,Vinicius Souza,63,76.55,34.34,0.0145,Off T,Right Foot,Open Play,a,,,2025,understat
30225,6974,Wolfsburg,Mattias Svanberg,65,97.23,32.44,0.4379,Goal,Head,Open Play,a,,,2025,understat
30225,13062,Wolfsburg,Mohammed Amoura,86,92.92,34.0,0.7578,Goal,Right Foot,Penalty,a,,,2025,understat
30225,6974,Wolfsburg,Mattias Svanberg,93,82.85,39.64,0.1015,Off T,Right Foot,Direct Freekick,a,,,2025,understat
30226,10187,Bayer Leverkusen,Jarell Quansah,5,96.08,35.16,0.3567,Goal,Head,Set Piece,h,,,2025,understat
30226,11866,Bayer Leverkusen,Álex Grimaldo,28,76.86,50.86,0.013,Blocked,Left Foot,Open Play,h,,,2025,understat
30226,8456,Bayer Leverkusen,Nathan Tella,33,75.81,32.16,0.0275,Blocked,Right Foot,Open Play,h,,,2025,understat
30226,9911,Bayer Leverkusen,Piero Hincapié,42,101.32,31.69,0.4576,Saved,OtherBodyPart,Set Piece,h,,,2025,understat
30226,11866,Bayer Leverkusen,Álex Grimaldo,59,78.22,25.64,0.0269,Blocked,Left Foot,From Corner,h,,,2025,understat
30226,1055,Bayer Leverkusen,Aleix García,62,80.95,43.93,0.0679,Off T,Right Foot,Direct Freekick,h,,,2025,understat
30226,8456,Bayer Leverkusen,Nathan Tella,77,95.34,23.6,0.0432,Off T,Right Foot,Open Play,h,,,2025,understat
30226,9911,Bayer Leverkusen,Piero Hincapié,93,91.45,45.29,0.0596,Off T,Left Foot,Open Play,h,,,2025,understat
30226,8407,Hoffenheim,Tim Lemperle,1,89.04,37.6,0.0923,Post,Left Foot,Open Play,a,,,2025,understat
30226,13427,Hoffenheim,Bazoumana Touré,15,95.97,45.9,0.0112,Off T,Head,Open Play,a,,,2025,understat
30226,10113,Hoffenheim,Fisnik Asllani,24,98.38,45.42,0.0647,Goal,Left Foot,Open Play,a,,,2025,understat
30226,10113,Hoffenheim,Fisnik Asllani,30,82.0,33.93,0.0339,Off T,Right Foot,Open Play,a,,,2025,understat
30226,8965,Hoffenheim,Vladimir Coufal,35,86.31,17.14,0.0242,Saved,Left Foot,Open Play,a,,,2025,understat
30226,13427,Hoffenheim,Bazoumana Touré,47,89.15,49.23,0.0559,Saved,Left Foot,Open Play,a,,,2025,understat
30226,8407,Hoffenheim,Tim Lemperle,51,81.9,30.26,0.0364,Goal,Right Foot,Open Play,a,,,2025,understat
30226,956,Hoffenheim,Andrej Kramaric,80,80.01,38.08,0.0342,Saved,Right Foot,Open Play,a,,,2025,understat
30226,10595,Hoffenheim,Umut Tohumcu,83,90.4,36.72,0.068,Off T,Left Foot,From Corner,a,,,2025,understat
30226,10113,Hoffenheim,Fisnik Asllani,91,93.66,22.98,0.0844,Blocked,Right Foot,Open Play,a,,,2025,understat
30227,12421,Union Berlin,Andrej Ilic,8,95.65,29.78,0.0218,Off T,Head,From Corner,h,,,2025,understat
30227,13866,Union Berlin,Ilyas Ansah,17,78.85,37.33,0.0192,Goal,Right Foot,Open Play,h,,,2025,understat
30227,7867,Union Berlin,Robert Skov,39,79.17,39.03,0.0325,Off T,Left Foot,Open Play,h,,,2025,understat
