whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1908319,Allianz Arena,Vincent Kompany,Ole Werner,3 : 0,6 : 0,75000,2447,Florian Badstübner,2025-08-22T20:30:00
1910598,MEWA ARENA,Bo Henriksen,Lukas Kwasniok,0 : 0,0 : 1,33305,1396,Tobias Stieler,2025-08-24T15:30:00
1910599,Millerntor-Stadion,Alexander Blessin,Niko Kovac,0 : 1,3 : 3,29546,2426,Dr. Matthias Jöllenbeck,2025-08-23T18:30:00
1910600,Voith-Arena,Frank Schmidt,Paul Simonis,1 : 1,1 : 3,13000,1440,Benjamin Brand,2025-08-23T15:30:00
1910601,BayArena,Erik ten Hag,Christian Ilzer,1 : 1,1 : 2,29390,1403,Daniel Siebert,2025-08-23T15:30:00
1910602,BORUSSIA-PARK,Gerardo Seoane,Merlin Polzin,0 : 0,0 : 0,54042,1416,Sascha Stegemann,2025-08-24T17:30:00
1910603,Stadion An der Alten Försterei,Steffen Baumgart,Sebastian Hoeneß,2 : 0,2 : 1,22012,1404,Robert Hartmann,2025-08-23T15:30:00
1910604,Deutsche Bank Park,Dino Toppmöller,Horst Steffen,2 : 0,4 : 1,59500,166,Harm Osmers,2025-08-23T15:30:00
1910605,Europa-Park Stadion,Julian Schuster,Sandro Wagner,0 : 3,1 : 3,33600,1128,Felix Zwayer,2025-08-23T15:30:00
1910606,SIGNAL IDUNA PARK,Niko Kovac,Steffen Baumgart,1 : 0,3 : 0,81365,2488,Daniel Schlager,2025-08-31T17:30:00
1910607,Red Bull Arena,Ole Werner,Frank Schmidt,0 : 0,2 : 0,43495,1233,Frank Willenborg,2025-08-30T15:30:00
1910608,Weserstadion,Horst Steffen,Erik ten Hag,1 : 2,3 : 3,42100,3689,Robin Braun,2025-08-30T15:30:00
1910609,MHPArena,Sebastian Hoeneß,Gerardo Seoane,0 : 0,1 : 0,60000,1398,Sven Jablonski,2025-08-30T15:30:00
1910610,Volkswagen Arena,Paul Simonis,Bo Henriksen,1 : 0,1 : 1,21893,1443,Sören Storks,2025-08-31T15:30:00
