whoscored_match_id,match_date,season,competition,attendance,data_source
1908319,2025-08-22,2025/26,Bundesliga,75000,whoscored
1910598,2025-08-24,2025/26,Bundesliga,33305,whoscored
1910599,2025-08-23,2025/26,Bundesliga,29546,whoscored
1910600,2025-08-23,2025/26,Bundesliga,13000,whoscored
1910601,2025-08-23,2025/26,Bundesliga,29390,whoscored
1910602,2025-08-24,2025/26,Bundesliga,54042,whoscored
1910603,2025-08-23,2025/26,Bundesliga,22012,whoscored
1910604,2025-08-23,2025/26,Bundesliga,59500,whoscored
1910605,2025-08-23,2025/26,Bundesliga,33600,whoscored
1910606,2025-08-31,2025/26,Bundesliga,81365,whoscored
1910607,2025-08-30,2025/26,Bundesliga,43495,whoscored
1910608,2025-08-30,2025/26,Bundesliga,42100,whoscored
1910609,2025-08-30,2025/26,Bundesliga,60000,whoscored
1910610,2025-08-31,2025/26,Bundesliga,21893,whoscored
1910611,2025-08-30,2025/26,Bundesliga,30660,whoscored
1910612,2025-08-30,2025/26,Bundesliga,30150,whoscored
1910613,2025-08-31,2025/26,Bundesliga,50000,whoscored
1910614,2025-08-29,2025/26,Bundesliga,57000,whoscored
1910615,2025-09-13,2025/26,Bundesliga,75000,whoscored
1910616,2025-09-12,2025/26,Bundesliga,30210,whoscored
1910617,2025-09-14,2025/26,Bundesliga,29546,whoscored
1910618,2025-09-13,2025/26,Bundesliga,34700,whoscored
1910619,2025-09-13,2025/26,Bundesliga,15000,whoscored
1910620,2025-09-13,2025/26,Bundesliga,33000,whoscored
1910621,2025-09-14,2025/26,Bundesliga,52653,whoscored
1910622,2025-09-13,2025/26,Bundesliga,28917,whoscored
1910623,2025-09-13,2025/26,Bundesliga,21732,whoscored
1910624,2025-10-04,2025/26,Bundesliga,30210,whoscored
1910625,2025-10-05,2025/26,Bundesliga,44709,whoscored
1910626,2025-10-04,2025/26,Bundesliga,81365,whoscored
1910627,2025-09-20,2025/26,Bundesliga,29162,whoscored
1910628,2025-10-04,2025/26,Bundesliga,59500,whoscored
1910629,2025-09-21,2025/26,Bundesliga,30210,whoscored
1910630,2025-10-05,2025/26,Bundesliga,57000,whoscored
1910631,2025-09-21,2025/26,Bundesliga,81365,whoscored
1910632,2025-10-03,2025/26,Bundesliga,30150,whoscored
1910633,2025-09-21,2025/26,Bundesliga,59500,whoscored
1910634,2025-10-05,2025/26,Bundesliga,60000,whoscored
1910635,2025-09-20,2025/26,Bundesliga,57000,whoscored
1910636,2025-12-06,2025/26,Bundesliga,60000,whoscored
1910637,2025-09-20,2025/26,Bundesliga,30150,whoscored
1910638,2025-12-06,2025/26,Bundesliga,23045,whoscored
1910639,2025-09-20,2025/26,Bundesliga,47117,whoscored
1910640,2025-12-13,2025/26,Bundesliga,30210,whoscored
1910641,2025-09-19,2025/26,Bundesliga,60000,whoscored
1910642,2025-12-14,2025/26,Bundesliga,75000,whoscored
1910643,2025-09-20,2025/26,Bundesliga,40500,whoscored
1910644,2025-12-13,2025/26,Bundesliga,47161,whoscored
1910645,2025-09-26,2025/26,Bundesliga,75000,whoscored
1910646,2025-12-13,2025/26,Bundesliga,58300,whoscored
1910647,2025-09-27,2025/26,Bundesliga,54042,whoscored
1910648,2025-12-14,2025/26,Bundesliga,34700,whoscored
1910649,2025-09-28,2025/26,Bundesliga,50000,whoscored
1910650,2025-12-13,2025/26,Bundesliga,30150,whoscored
1910651,2025-09-28,2025/26,Bundesliga,33700,whoscored
1910652,2025-12-13,2025/26,Bundesliga,29546,whoscored
1910653,2025-09-27,2025/26,Bundesliga,15000,whoscored
1910654,2025-12-12,2025/26,Bundesliga,22012,whoscored
1910655,2025-09-27,2025/26,Bundesliga,33305,whoscored
1910656,2025-12-14,2025/26,Bundesliga,42100,whoscored
1910657,2025-09-27,2025/26,Bundesliga,29546,whoscored
1910658,2025-12-20,2025/26,Bundesliga,30000,whoscored
1910659,2025-09-28,2025/26,Bundesliga,22012,whoscored
1910660,2025-12-19,2025/26,Bundesliga,81365,whoscored
1910661,2025-09-27,2025/26,Bundesliga,23236,whoscored
1910662,2025-12-20,2025/26,Bundesliga,50000,whoscored
1910663,2025-10-04,2025/26,Bundesliga,28200,whoscored
1910664,2025-12-20,2025/26,Bundesliga,57000,whoscored
1910665,2025-12-21,2025/26,Bundesliga,15000,whoscored
1910666,2025-12-21,2025/26,Bundesliga,33000,whoscored
1910667,2025-12-20,2025/26,Bundesliga,46053,whoscored
1910668,2025-10-04,2025/26,Bundesliga,42100,whoscored
1910669,2025-12-20,2025/26,Bundesliga,59000,whoscored
1910670,2025-10-18,2025/26,Bundesliga,75000,whoscored
1910671,2025-12-20,2025/26,Bundesliga,22045,whoscored
1910672,2025-10-18,2025/26,Bundesliga,50000,whoscored
1910673,2026-01-10,2025/26,Bundesliga,30210,whoscored
1910674,2026-01-11,2025/26,Bundesliga,75000,whoscored
1910675,2025-10-19,2025/26,Bundesliga,34700,whoscored
1910676,2026-01-11,2025/26,Bundesliga,51050,whoscored
1910677,2025-10-18,2025/26,Bundesliga,15000,whoscored
1910678,2026-01-09,2025/26,Bundesliga,59500,whoscored
1910679,2025-10-18,2025/26,Bundesliga,33305,whoscored
1910680,2026-01-10,2025/26,Bundesliga,34700,whoscored
1910681,2025-10-18,2025/26,Bundesliga,47800,whoscored
1910682,2026-01-10,2025/26,Bundesliga,15000,whoscored
1910683,2025-10-19,2025/26,Bundesliga,29240,whoscored
1910684,2026-01-27,2025/26,Bundesliga,29147,whoscored
1910685,2025-10-17,2025/26,Bundesliga,22012,whoscored
1910686,2026-01-10,2025/26,Bundesliga,22012,whoscored
1910687,2025-10-18,2025/26,Bundesliga,26145,whoscored
1910688,2026-01-27,2025/26,Bundesliga,39500,whoscored
1910689,2025-10-25,2025/26,Bundesliga,28600,whoscored
1910690,2026-01-15,2025/26,Bundesliga,27267,whoscored
1910691,2026-02-07,2025/26,Bundesliga,15000,whoscored
1910692,2026-02-07,2025/26,Bundesliga,31111,whoscored
1910693,2025-10-26,2025/26,Bundesliga,30210,whoscored
1910694,2026-02-07,2025/26,Bundesliga,29546,whoscored
1910695,2026-02-06,2025/26,Bundesliga,22012,whoscored
1910696,2025-10-25,2025/26,Bundesliga,54042,whoscored
1910697,2026-02-07,2025/26,Bundesliga,28917,whoscored
1910698,2025-10-25,2025/26,Bundesliga,81365,whoscored
1910699,2026-02-15,2025/26,Bundesliga,30107,whoscored
1910700,2025-10-25,2025/26,Bundesliga,59500,whoscored
1910701,2026-02-14,2025/26,Bundesliga,30210,whoscored
1910702,2025-10-25,2025/26,Bundesliga,57000,whoscored
1910703,2026-02-13,2025/26,Bundesliga,81365,whoscored
1910704,2025-10-25,2025/26,Bundesliga,24127,whoscored
1910705,2026-02-14,2025/26,Bundesliga,59500,whoscored
1910706,2025-10-26,2025/26,Bundesliga,59000,whoscored
1910707,2026-02-14,2025/26,Bundesliga,57000,whoscored
1910708,2025-10-24,2025/26,Bundesliga,42100,whoscored
1910709,2026-02-14,2025/26,Bundesliga,22679,whoscored
1910710,2025-10-31,2025/26,Bundesliga,30660,whoscored
1910711,2026-02-15,2025/26,Bundesliga,35787,whoscored
1910712,2025-11-01,2025/26,Bundesliga,75000,whoscored
1910713,2026-02-14,2025/26,Bundesliga,60000,whoscored
1910714,2025-11-02,2025/26,Bundesliga,50000,whoscored
1910715,2026-02-14,2025/26,Bundesliga,42100,whoscored
1910716,2025-11-01,2025/26,Bundesliga,15000,whoscored
1910717,2026-02-21,2025/26,Bundesliga,75000,whoscored
1910718,2025-11-01,2025/26,Bundesliga,33305,whoscored
1910719,2026-02-21,2025/26,Bundesliga,49600,whoscored
1910720,2025-11-01,2025/26,Bundesliga,47800,whoscored
1910721,2026-02-22,2025/26,Bundesliga,34700,whoscored
1910722,2025-11-01,2025/26,Bundesliga,29546,whoscored
1910723,2026-02-22,2025/26,Bundesliga,15000,whoscored
1910724,2025-11-01,2025/26,Bundesliga,22012,whoscored
1910725,2026-02-20,2025/26,Bundesliga,33305,whoscored
1910726,2025-11-02,2025/26,Bundesliga,19078,whoscored
1910727,2026-02-21,2025/26,Bundesliga,47800,whoscored
1910728,2025-11-08,2025/26,Bundesliga,29257,whoscored
1910729,2026-02-22,2025/26,Bundesliga,29546,whoscored
1910730,2025-11-08,2025/26,Bundesliga,54042,whoscored
1910731,2026-02-21,2025/26,Bundesliga,22012,whoscored
1910732,2025-11-09,2025/26,Bundesliga,59000,whoscored
1910733,2026-02-21,2025/26,Bundesliga,19631,whoscored
1910734,2025-11-09,2025/26,Bundesliga,34700,whoscored
1910735,2026-02-27,2025/26,Bundesliga,30660,whoscored
1910736,2025-11-08,2025/26,Bundesliga,57000,whoscored
1910737,2026-02-28,2025/26,Bundesliga,30210,whoscored
1910738,2025-11-08,2025/26,Bundesliga,26561,whoscored
1910739,2026-02-28,2025/26,Bundesliga,52488,whoscored
1910740,2025-11-09,2025/26,Bundesliga,58500,whoscored
1910741,2026-02-28,2025/26,Bundesliga,81365,whoscored
1910742,2025-11-08,2025/26,Bundesliga,22012,whoscored
1910743,2026-03-01,2025/26,Bundesliga,59500,whoscored
1910744,2025-11-07,2025/26,Bundesliga,40500,whoscored
1910745,2026-03-01,2025/26,Bundesliga,57000,whoscored
1910746,2025-11-22,2025/26,Bundesliga,30660,whoscored
1910747,2026-02-28,2025/26,Bundesliga,27786,whoscored
1910748,2025-11-22,2025/26,Bundesliga,75000,whoscored
1910749,2026-03-01,2025/26,Bundesliga,57500,whoscored
1910750,2025-11-22,2025/26,Bundesliga,81365,whoscored
1910751,2026-02-28,2025/26,Bundesliga,40000,whoscored
1910752,2025-11-22,2025/26,Bundesliga,50000,whoscored
1910753,2026-03-06,2025/26,Bundesliga,75000,whoscored
1910754,2025-11-22,2025/26,Bundesliga,15000,whoscored
1910755,2026-03-07,2025/26,Bundesliga,50000,whoscored
1910756,2025-11-21,2025/26,Bundesliga,30400,whoscored
1910757,2026-03-07,2025/26,Bundesliga,34100,whoscored
1910758,2025-11-23,2025/26,Bundesliga,47800,whoscored
1910759,2025-11-23,2025/26,Bundesliga,29546,whoscored
1910760,2026-03-07,2025/26,Bundesliga,15000,whoscored
1910761,2025-11-22,2025/26,Bundesliga,25036,whoscored
1910762,2026-03-07,2025/26,Bundesliga,33305,whoscored
1910763,2025-11-29,2025/26,Bundesliga,30210,whoscored
1910764,2026-03-07,2025/26,Bundesliga,41563,whoscored
1910765,2025-11-29,2025/26,Bundesliga,75000,whoscored
1910766,2026-03-08,2025/26,Bundesliga,29546,whoscored
1910767,2025-11-28,2025/26,Bundesliga,50029,whoscored
1910768,2026-03-08,2025/26,Bundesliga,22012,whoscored
1910769,2025-11-30,2025/26,Bundesliga,58000,whoscored
1910770,2026-03-07,2025/26,Bundesliga,28917,whoscored
1910771,2025-11-30,2025/26,Bundesliga,33200,whoscored
1910772,2025-11-30,2025/26,Bundesliga,57000,whoscored
1910773,2026-03-14,2025/26,Bundesliga,30210,whoscored
1910774,2025-11-29,2025/26,Bundesliga,20218,whoscored
1910775,2026-03-13,2025/26,Bundesliga,49202,whoscored
1910776,2025-11-29,2025/26,Bundesliga,22012,whoscored
1910777,2026-03-14,2025/26,Bundesliga,81365,whoscored
1910778,2025-11-29,2025/26,Bundesliga,41800,whoscored
1910779,2026-03-14,2025/26,Bundesliga,58700,whoscored
1910780,2025-12-06,2025/26,Bundesliga,30000,whoscored
1910781,2026-03-15,2025/26,Bundesliga,33200,whoscored
1910782,2026-03-14,2025/26,Bundesliga,57000,whoscored
1910783,2025-12-07,2025/26,Bundesliga,81365,whoscored
1910784,2025-12-06,2025/26,Bundesliga,50000,whoscored
1910785,2026-03-14,2025/26,Bundesliga,26252,whoscored
1910786,2025-12-07,2025/26,Bundesliga,57000,whoscored
1910787,2026-03-15,2025/26,Bundesliga,57500,whoscored
1910788,2025-12-06,2025/26,Bundesliga,15000,whoscored
1910789,2026-03-15,2025/26,Bundesliga,41800,whoscored
1910790,2026-03-22,2025/26,Bundesliga,30660,whoscored
1910791,2025-12-05,2025/26,Bundesliga,30500,whoscored
1910792,2026-03-21,2025/26,Bundesliga,75000,whoscored
1910793,2025-12-06,2025/26,Bundesliga,47012,whoscored
1910794,2026-03-21,2025/26,Bundesliga,81365,whoscored
1910795,2026-03-21,2025/26,Bundesliga,50000,whoscored
1910796,2026-03-21,2025/26,Bundesliga,15000,whoscored
1910797,2026-01-13,2025/26,Bundesliga,81365,whoscored
1910798,2026-01-14,2025/26,Bundesliga,50000,whoscored
1910799,2026-03-04,2025/26,Bundesliga,57000,whoscored
1910800,2026-01-14,2025/26,Bundesliga,20750,whoscored
1910801,2026-01-13,2025/26,Bundesliga,24500,whoscored
1910802,2026-01-14,2025/26,Bundesliga,30902,whoscored
1910803,2026-01-13,2025/26,Bundesliga,59500,whoscored
1910804,2026-01-14,2025/26,Bundesliga,22031,whoscored
1910805,2026-01-18,2025/26,Bundesliga,29160,whoscored
1910806,2026-01-17,2025/26,Bundesliga,81365,whoscored
1910807,2026-01-17,2025/26,Bundesliga,50000,whoscored
1910808,2026-01-17,2025/26,Bundesliga,57000,whoscored
1910809,2026-01-17,2025/26,Bundesliga,26957,whoscored
1910810,2026-01-17,2025/26,Bundesliga,47800,whoscored
1910811,2026-01-18,2025/26,Bundesliga,59500,whoscored
1910812,2026-01-16,2025/26,Bundesliga,41800,whoscored
1910813,2026-01-17,2025/26,Bundesliga,19361,whoscored
1910814,2026-01-24,2025/26,Bundesliga,30210,whoscored
1910815,2026-01-24,2025/26,Bundesliga,75000,whoscored
1910816,2026-01-25,2025/26,Bundesliga,48844,whoscored
1910817,2026-01-24,2025/26,Bundesliga,58500,whoscored
1910818,2026-01-25,2025/26,Bundesliga,34700,whoscored
1910819,2026-01-24,2025/26,Bundesliga,14000,whoscored
1910820,2026-01-24,2025/26,Bundesliga,30000,whoscored
1910821,2026-01-23,2025/26,Bundesliga,29546,whoscored
1910822,2026-01-24,2025/26,Bundesliga,22012,whoscored
1910823,2026-01-31,2025/26,Bundesliga,30660,whoscored
1910824,2026-02-01,2025/26,Bundesliga,81365,whoscored
1910825,2026-01-31,2025/26,Bundesliga,59000,whoscored
1910826,2026-01-30,2025/26,Bundesliga,50000,whoscored
1910827,2026-01-31,2025/26,Bundesliga,57000,whoscored
1910828,2026-01-31,2025/26,Bundesliga,19341,whoscored
1910829,2026-01-31,2025/26,Bundesliga,35487,whoscored
1910830,2026-02-01,2025/26,Bundesliga,60000,whoscored
1910831,2026-01-31,2025/26,Bundesliga,41800,whoscored
1910832,2026-02-08,2025/26,Bundesliga,75000,whoscored
1910833,2026-02-07,2025/26,Bundesliga,47599,whoscored
1910834,2026-02-08,2025/26,Bundesliga,49000,whoscored
1910835,2026-02-07,2025/26,Bundesliga,34700,whoscored
1910836,2026-03-22,2025/26,Bundesliga,33305,whoscored
1910837,2026-03-20,2025/26,Bundesliga,40980,whoscored
1910838,2026-03-22,2025/26,Bundesliga,29546,whoscored
1910839,2026-03-21,2025/26,Bundesliga,28917,whoscored
1910840,2026-04-04,2025/26,Bundesliga,29619,whoscored
1910841,2026-04-04,2025/26,Bundesliga,52129,whoscored
1910842,2026-04-05,2025/26,Bundesliga,59300,whoscored
1910843,2026-04-04,2025/26,Bundesliga,34700,whoscored
1910844,2026-04-04,2025/26,Bundesliga,57000,whoscored
1910845,2026-04-04,2025/26,Bundesliga,30150,whoscored
1910846,2026-04-04,2025/26,Bundesliga,60000,whoscored
1910847,2026-04-05,2025/26,Bundesliga,22012,whoscored
1910848,2026-04-04,2025/26,Bundesliga,40000,whoscored
1910849,2026-04-10,2025/26,Bundesliga,28600,whoscored
1910850,2026-04-11,2025/26,Bundesliga,81365,whoscored
1910851,2026-04-12,2025/26,Bundesliga,50000,whoscored
1910852,2026-04-11,2025/26,Bundesliga,15000,whoscored
1910853,2026-04-12,2025/26,Bundesliga,30000,whoscored
1910854,2026-04-11,2025/26,Bundesliga,47800,whoscored
1910855,2026-04-11,2025/26,Bundesliga,29546,whoscored
1910856,2026-04-12,2025/26,Bundesliga,60000,whoscored
1910857,2026-04-11,2025/26,Bundesliga,26132,whoscored
1910858,2026-04-18,2025/26,Bundesliga,29282,whoscored
1910859,2026-04-19,2025/26,Bundesliga,75000,whoscored
