whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
13754,Manuel Neuer,37,Bayern,GK,1,2025/26,Bundesliga,whoscored
248010,Konrad Laimer,37,Bayern,DR,27,2025/26,Bundesliga,whoscored
327721,Dayot Upamecano,37,Bayern,DC,2,2025/26,Bundesliga,whoscored
134946,Jonathan Tah,37,Bayern,DC,4,2025/26,Bundesliga,whoscored
413272,Josip Stanisic,37,Bayern,DL,44,2025/26,Bundesliga,whoscored
283323,Joshua Kimmich,37,Bayern,DMC,6,2025/26,Bundesliga,whoscored
115519,Leon Goretzka,37,Bayern,DMC,8,2025/26,Bundesliga,whoscored
371281,Michael Olise,37,Bayern,AMR,17,2025/26,Bundesliga,whoscored
119501,Serge Gnabry,37,Bayern,AMC,7,2025/26,Bundesliga,whoscored
377168,Luis Díaz,37,Bayern,AML,14,2025/26,Bundesliga,whoscored
83532,Harry Kane,37,Bayern,FW,9,2025/26,Bundesliga,whoscored
372280,Sacha Boey,37,Bayern,Sub,23,2025/26,Bundesliga,whoscored
481079,Aleksandar Pavlovic,37,Bayern,Sub,45,2025/26,Bundesliga,whoscored
370912,Kim Min-Jae,37,Bayern,Sub,3,2025/26,Bundesliga,whoscored
547830,Jonah Kusi-Asare,37,Bayern,Sub,41,2025/26,Bundesliga,whoscored
557706,Lennart Karl,37,Bayern,Sub,42,2025/26,Bundesliga,whoscored
35506,Sven Ulreich,37,Bayern,Sub,26,2025/26,Bundesliga,whoscored
552362,Wisdom Mike,37,Bayern,Sub,36,2025/26,Bundesliga,whoscored
423491,Jonas Urbig,37,Bayern,Sub,40,2025/26,Bundesliga,whoscored
115375,Raphaël Guerreiro,37,Bayern,Sub,22,2025/26,Bundesliga,whoscored
67369,Péter Gulácsi,7614,RBL,GK,1,2025/26,Bundesliga,whoscored
356183,Ridle Baku,7614,RBL,DR,17,2025/26,Bundesliga,whoscored
415172,Castello Lukeba,7614,RBL,DC,23,2025/26,Bundesliga,whoscored
104917,Willi Orbán,7614,RBL,DC,4,2025/26,Bundesliga,whoscored
330538,David Raum,7614,RBL,DL,22,2025/26,Bundesliga,whoscored
262856,Xaver Schlager,7614,RBL,MC,24,2025/26,Bundesliga,whoscored
418587,Nicolas Seiwald,7614,RBL,MC,13,2025/26,Bundesliga,whoscored
399772,Xavi Simons,7614,RBL,MC,10,2025/26,Bundesliga,whoscored
427824,Johan Bakayoko,7614,RBL,FWR,9,2025/26,Bundesliga,whoscored
363618,Loïs Openda,7614,RBL,FW,11,2025/26,Bundesliga,whoscored
557000,Yan Diomande,7614,RBL,FWL,49,2025/26,Bundesliga,whoscored
369979,Christoph Baumgartner,7614,RBL,Sub,14,2025/26,Bundesliga,whoscored
485929,Ezechiel Banzuzi,7614,RBL,Sub,6,2025/26,Bundesliga,whoscored
416030,Antonio Nusa,7614,RBL,Sub,7,2025/26,Bundesliga,whoscored
428330,Rômulo,7614,RBL,Sub,40,2025/26,Bundesliga,whoscored
487063,Assan Ouédraogo,7614,RBL,Sub,20,2025/26,Bundesliga,whoscored
365332,Maarten Vandevoordt,7614,RBL,Sub,26,2025/26,Bundesliga,whoscored
421405,El Chadaille Bitshiabu,7614,RBL,Sub,5,2025/26,Bundesliga,whoscored
345441,Lutsharel Geertruida,7614,RBL,Sub,2,2025/26,Bundesliga,whoscored
492955,Kosta Nedeljkovic,7614,RBL,Sub,19,2025/26,Bundesliga,whoscored
245634,Robin Zentner,219,Mainz,GK,27,2025/26,Bundesliga,whoscored
94934,Danny da Costa,219,Mainz,DC,21,2025/26,Bundesliga,whoscored
110165,Dominik Kohr,219,Mainz,DC,31,2025/26,Bundesliga,whoscored
320749,Andreas Hanche-Olsen,219,Mainz,DC,25,2025/26,Bundesliga,whoscored
321145,Anthony Caci,219,Mainz,DMR,19,2025/26,Bundesliga,whoscored
124021,Phillipp Mwene,219,Mainz,DML,2,2025/26,Bundesliga,whoscored
261021,Nadiem Amiri,219,Mainz,MC,10,2025/26,Bundesliga,whoscored
509815,Kaishu Sano,219,Mainz,MC,6,2025/26,Bundesliga,whoscored
401107,Paul Nebel,219,Mainz,AMC,8,2025/26,Bundesliga,whoscored
142959,Lee Jae-Sung,219,Mainz,AMC,7,2025/26,Bundesliga,whoscored
485184,Benedict Hollerbach,219,Mainz,FW,17,2025/26,Bundesliga,whoscored
410364,Armindo Sieb,219,Mainz,Sub,11,2025/26,Bundesliga,whoscored
459062,Nelson Weiper,219,Mainz,Sub,44,2025/26,Bundesliga,whoscored
83467,Stefan Bell,219,Mainz,Sub,16,2025/26,Bundesliga,whoscored
103622,Silvan Widmer,219,Mainz,Sub,30,2025/26,Bundesliga,whoscored
352891,Lennard Maloney,219,Mainz,Sub,15,2025/26,Bundesliga,whoscored
328288,Arnaud Nordin,219,Mainz,Sub,9,2025/26,Bundesliga,whoscored
422890,Ben Bobzien,219,Mainz,Sub,37,2025/26,Bundesliga,whoscored
433039,Lasse Rieß,219,Mainz,Sub,1,2025/26,Bundesliga,whoscored
321175,Maxim Leitsch,219,Mainz,Sub,5,2025/26,Bundesliga,whoscored
249897,Marvin Schwäbe,282,FC Koln,GK,1,2025/26,Bundesliga,whoscored
296983,Timo Hübers,282,FC Koln,DC,4,2025/26,Bundesliga,whoscored
367182,Tom Krauß,282,FC Koln,DC,5,2025/26,Bundesliga,whoscored
550581,Joël Schmied,282,FC Koln,DC,2,2025/26,Bundesliga,whoscored
395374,Sebastian Sebulonsen,282,FC Koln,DMR,28,2025/26,Bundesliga,whoscored
484859,Kristoffer Lund,282,FC Koln,DML,32,2025/26,Bundesliga,whoscored
404336,Eric Martel,282,FC Koln,MC,6,2025/26,Bundesliga,whoscored
