id_whoscored,canonical_name,data_source
6805,Alberto Arena,whoscored
3777,Simone Sozza,whoscored
1765,Gianluca Manganiello,whoscored
366,Davide Massa,whoscored
400,Federico La Penna,whoscored
4923,Matteo Marcenaro,whoscored
5888,Giuseppe Collu,whoscored
4910,Luca Zufferli,whoscored
3921,Giovanni Ayroldi,whoscored
5861,Paride Tremolada,whoscored
360,Daniele Doveri,whoscored
339,Marco Guida,whoscored
398,Daniele Chiffi,whoscored
4416,Matteo Marchetti,whoscored
6792,Valerio Crezzini,whoscored
2987,Livio Marinelli,whoscored
5893,Kevin Bonacina,whoscored
331,Maurizio Mariani,whoscored
383,Rosario Abisso,whoscored
3007,Francesco Fourneau,whoscored
2902,Marco Piccinini,whoscored
4913,Andrea Colombo,whoscored
356,Michael Fabbri,whoscored
2811,Antonio Rapuano,whoscored
367,Marco Di Bello,whoscored
1901,Juan Luca Sacchi,whoscored
5388,Ermanno Feliciani,whoscored
388,Fabio Maresca,whoscored
5370,Daniele Perenzoni,whoscored
386,Luca Pairetto,whoscored
3320,Federico Dionisi,whoscored
1895,Ivano Pezzuto,whoscored
6026,Davide Di Marco,whoscored
7200,Andrea Calzavara,whoscored
7185,Giuseppe Mucera,whoscored
5380,Maria Ferrieri Caputi,whoscored
3449,Luca Massimi,whoscored
6790,Simone Galipò,whoscored
6809,Mario Perri,whoscored
7175,Andrea Zanotti,whoscored
7184,Niccolò Turrini,whoscored
99,Anthony Taylor,whoscored
104,Craig Pawson,whoscored
3446,Samuel Barrott,whoscored
133,Peter Bankes,whoscored
89,Michael Oliver,whoscored
3151,Jarred Gillett,whoscored
132,Darren England,whoscored
113,Simon Hooper,whoscored
2447,Florian Badstübner,whoscored
1396,Tobias Stieler,whoscored
2426,Dr. Matthias Jöllenbeck,whoscored
1440,Benjamin Brand,whoscored
1403,Daniel Siebert,whoscored
1416,Sascha Stegemann,whoscored
1404,Robert Hartmann,whoscored
166,Harm Osmers,whoscored
1128,Felix Zwayer,whoscored
2488,Daniel Schlager,whoscored
1233,Frank Willenborg,whoscored
3689,Robin Braun,whoscored
1398,Sven Jablonski,whoscored
1443,Sören Storks,whoscored
3660,Florian Exner,whoscored
1412,Timo Gerach,whoscored
2614,Tobias Reichel,whoscored
848,Christian Dingert,whoscored
1055,Deniz Aytekin,whoscored
165,Bastian Dankert,whoscored
1432,Tobias Welz,whoscored
1399,Robert Schröder,whoscored
1430,Patrick Ittrich,whoscored
1442,Martin Petersen,whoscored
