whoscored_team_id,team_name,season,competition,data_source
37,Bayern,2025/26,Bundesliga,whoscored
7614,RBL,2025/26,Bundesliga,whoscored
219,Mainz,2025/26,Bundesliga,whoscored
282,FC Koln,2025/26,Bundesliga,whoscored
283,St. Pauli,2025/26,Bundesliga,whoscored
44,Borussia Dortmund,2025/26,Bundesliga,whoscored
4852,FC Heidenheim,2025/26,Bundesliga,whoscored
33,Wolfsburg,2025/26,Bundesliga,whoscored
36,Leverkusen,2025/26,Bundesliga,whoscored
1211,Hoffenheim,2025/26,Bundesliga,whoscored
134,Borussia M.Gladbach,2025/26,Bundesliga,whoscored
38,Hamburg,2025/26,Bundesliga,whoscored
796,Union Berlin,2025/26,Bundesliga,whoscored
41,Stuttgart,2025/26,Bundesliga,whoscored
45,Eintracht Frankfurt,2025/26,Bundesliga,whoscored
42,Werder Bremen,2025/26,Bundesliga,whoscored
50,Freiburg,2025/26,Bundesliga,whoscored
1730,Augsburg,2025/26,Bundesliga,whoscored
