whoscored_match_id,season,match_date,attendance,competition
1592101,2021/22,2021-09-15,38062.0,Champions League
1592102,2021/22,2021-09-15,27546.0,Champions League
1592103,2021/22,2021-09-28,37350.0,Champions League
1592104,2021/22,2021-09-28,23500.0,Champions League
1592105,2021/22,2021-10-19,24915.0,Champions League
1592106,2021/22,2021-10-19,47359.0,Champions League
1592107,2021/22,2021-11-03,50228.0,Champions League
1592108,2021/22,2021-11-03,39794.0,Champions League
1592109,2021/22,2021-11-24,52030.0,Champions League
1592110,2021/22,2021-11-24,24072.0,Champions League
1592111,2021/22,2021-12-07,47492.0,Champions League
1592112,2021/22,2021-12-07,,Champions League
1592113,2021/22,2021-09-15,40098.0,Champions League
1592114,2021/22,2021-09-15,51445.0,Champions League
1592115,2021/22,2021-09-28,35374.0,Champions League
1592116,2021/22,2021-09-28,23520.0,Champions League
1592117,2021/22,2021-10-19,60725.0,Champions League
1592118,2021/22,2021-10-19,32130.0,Champions League
1592119,2021/22,2021-11-03,39675.0,Champions League
1592120,2021/22,2021-11-03,51347.0,Champions League
1592121,2021/22,2021-11-24,61019.0,Champions League
1592122,2021/22,2021-11-24,52209.0,Champions League
1592123,2021/22,2021-12-07,38830.0,Champions League
1592124,2021/22,2021-12-07,56237.0,Champions League
1592185,2021/22,2021-09-14,39252.0,Champions League
1592186,2021/22,2021-09-14,5832.0,Champions League
1592187,2021/22,2021-09-29,15339.0,Champions League
1592188,2021/22,2021-09-29,19934.0,Champions League
1592189,2021/22,2021-10-20,39095.0,Champions League
1592190,2021/22,2021-10-20,18717.0,Champions League
1592191,2021/22,2021-11-02,19551.0,Champions League
1592192,2021/22,2021-11-02,20053.0,Champions League
1592193,2021/22,2021-11-23,15520.0,Champions League
1592194,2021/22,2021-11-23,39513.0,Champions League
1592195,2021/22,2021-12-08,17501.0,Champions League
1592196,2021/22,2021-12-08,29349.0,Champions League
1592137,2021/22,2021-09-15,5205.0,Champions League
1592138,2021/22,2021-09-15,37082.0,Champions League
1592139,2021/22,2021-09-28,26170.0,Champions League
1592140,2021/22,2021-09-28,24522.0,Champions League
1592141,2021/22,2021-10-19,34037.0,Champions League
1592142,2021/22,2021-10-19,43305.0,Champions League
1592143,2021/22,2021-11-03,38105.0,Champions League
1592144,2021/22,2021-11-03,5930.0,Champions League
1592145,2021/22,2021-11-24,46225.0,Champions League
1592146,2021/22,2021-11-24,5932.0,Champions League
1592147,2021/22,2021-12-07,46887.0,Champions League
1592148,2021/22,2021-12-07,6841.0,Champions League
1592125,2021/22,2021-09-15,22445.0,Champions League
1592126,2021/22,2021-09-15,20382.0,Champions League
1592127,2021/22,2021-09-28,52628.0,Champions League
1592128,2021/22,2021-09-28,25000.0,Champions League
1592129,2021/22,2021-10-19,22936.0,Champions League
1592130,2021/22,2021-10-19,54029.0,Champions League
1592131,2021/22,2021-11-03,40835.0,Champions League
1592132,2021/22,2021-11-03,54820.0,Champions League
1592133,2021/22,2021-11-24,11712.0,Champions League
1592134,2021/22,2021-11-24,41341.0,Champions League
1592135,2021/22,2021-12-07,15000.0,Champions League
1592136,2021/22,2021-12-07,,Champions League
1592173,2021/22,2021-09-14,18373.0,Champions League
1592174,2021/22,2021-09-14,34314.0,Champions League
1592175,2021/22,2021-09-29,24207.0,Champions League
1592176,2021/22,2021-09-29,11733.0,Champions League
1592177,2021/22,2021-10-20,29520.0,Champions League
1592178,2021/22,2021-10-20,34362.0,Champions League
1592179,2021/22,2021-11-02,16112.0,Champions League
1592180,2021/22,2021-11-02,29369.0,Champions League
1592181,2021/22,2021-11-23,28663.0,Champions League
1592182,2021/22,2021-11-23,33573.0,Champions League
1592183,2021/22,2021-12-08,,Champions League
1592184,2021/22,2021-12-08,6544.0,Champions League
1592161,2021/22,2021-09-14,31120.0,Champions League
1592162,2021/22,2021-09-14,12916.0,Champions League
1592163,2021/22,2021-09-29,8536.0,Champions League
1592164,2021/22,2021-09-29,73130.0,Champions League
1592165,2021/22,2021-10-20,27398.0,Champions League
1592166,2021/22,2021-10-20,72279.0,Champions League
1592167,2021/22,2021-11-02,14890.0,Champions League
1592168,2021/22,2021-11-02,14443.0,Champions League
1592169,2021/22,2021-11-23,20875.0,Champions League
1592170,2021/22,2021-11-23,31120.0,Champions League
1592171,2021/22,2021-12-08,73156.0,Champions League
1592172,2021/22,2021-12-09,11690.0,Champions League
1592149,2021/22,2021-09-14,39737.0,Champions League
1592150,2021/22,2021-09-14,21657.0,Champions League
1592151,2021/22,2021-09-29,25000.0,Champions League
1592152,2021/22,2021-09-29,29454.0,Champions League
1592153,2021/22,2021-10-20,45968.0,Champions League
