whoscored_team_id,name,season,source,competition
167,Man City,2021/22,whoscored,Champions League
7614,RBL,2021/22,whoscored,Champions League
124,Club Brugge,2021/22,whoscored,Champions League
304,PSG,2021/22,whoscored,Champions League
63,Atletico,2021/22,whoscored,Champions League
297,Porto,2021/22,whoscored,Champions League
26,Liverpool,2021/22,whoscored,Champions League
80,AC Milan,2021/22,whoscored,Champions League
15,Chelsea,2021/22,whoscored,Champions League
560,Zenit,2021/22,whoscored,Champions League
493,Malmoe FF,2021/22,whoscored,Champions League
87,Juventus,2021/22,whoscored,Champions League
2097,FC Sheriff,2021/22,whoscored,Champions League
1706,Shakhtar,2021/22,whoscored,Champions League
75,Inter,2021/22,whoscored,Champions League
52,Real Madrid,2021/22,whoscored,Champions League
133,Besiktas,2021/22,whoscored,Champions League
44,Borussia Dortmund,2021/22,whoscored,Champions League
296,Sporting,2021/22,whoscored,Champions League
130,Ajax,2021/22,whoscored,Champions League
67,Sevilla,2021/22,whoscored,Champions League
361,Salzburg,2021/22,whoscored,Champions League
607,Lille,2021/22,whoscored,Champions League
33,Wolfsburg,2021/22,whoscored,Champions League
587,Young Boys,2021/22,whoscored,Champions League
32,Man Utd,2021/22,whoscored,Champions League
839,Villarreal,2021/22,whoscored,Champions League
300,Atalanta,2021/22,whoscored,Champions League
65,Barcelona,2021/22,whoscored,Champions League
37,Bayern,2021/22,whoscored,Champions League
350,Dynamo Kyiv,2021/22,whoscored,Champions League
299,Benfica,2021/22,whoscored,Champions League
