team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
5,ac-mailand,2023,Giuseppe Meazza,75923,75923,,,304,,,1926,,Comune di Milano,,Giuseppe Meazza,,,"250,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/ac-mailand/stadion/verein/5/saison_id/2023,San Siro,,105,68,,,True,False,
11,fc-arsenal,2023,Emirates Stadium,60704,60704,,,152,,,2006,,Arsenal Holdings plc,,Emirates Stadium,,,"600,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-arsenal/stadion/verein/11/saison_id/2023,,,105,68,Emirates,,True,False,
13,atletico-madrid,2023,Riyadh Air Metropolitano,70460,70460,,,,,,2017,,Atlético Madrid,,Riyadh Air Metropolitano,,,,Césped natural,,https://www.transfermarkt.es/atletico-madrid/stadion/verein/13/saison_id/2023,"Estadio de la Comunidad de Madrid (bis 2017), Wanda Metropolitano (2017-2022), Civitas Metropolitano (2022-2024)",,105,68,Riyadh Air,2033,False,False,
16,borussia-dortmund,2023,SIGNAL IDUNA PARK,81365,53028,,,18,,,1974,,Westfalenstadion Dortmund GmbH & Co. KG,,SIGNAL IDUNA PARK,,,"45,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/borussia-dortmund/stadion/verein/16/saison_id/2023,Westfalenstadion (bis 30.11.2005),,105,68,SIGNAL IDUNA,2031,True,False,
27,fc-bayern-munchen,2023,Allianz Arena,75000,59230,,,106,,,2005,,FC Bayern München,,Allianz Arena,,,"365,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-bayern-munchen/stadion/verein/27/saison_id/2023,,,105,68,Allianz SE,2041,True,False,
46,inter-mailand,2023,Giuseppe Meazza,75923,75923,,,304,,,1926,,Comune di Milano,,Giuseppe Meazza,,,,Césped híbrido,,https://www.transfermarkt.es/inter-mailand/stadion/verein/46/saison_id/2023,San Siro,,105,68,,,True,False,
89,1-fc-union-berlin,2023,Stadion An der Alten Försterei,22012,3617,,,27,,,1920,,1.FC Union Berlin,,Stadion An der Alten Försterei,,,"17,00 mill. €",Césped natural,,https://www.transfermarkt.es/1-fc-union-berlin/stadion/verein/89/saison_id/2023,Sportplatz Sadowa,,105,68,,,True,False,
131,fc-barcelona,2023,Spotify Camp Nou,62657,99354,,,,,,1957,,Fútbol Club Barcelona,,Spotify Camp Nou,,España,,Césped híbrido,,https://www.transfermarkt.es/fc-barcelona/stadion/verein/131/saison_id/2023,,,105,68,Spotify AB,2034,True,False,
141,galatasaray-istanbul,2023,Ali Sami Yen Spor Kompleksi RAMS Park,53978,53978,,,180,,,2011,,Galatasaray SK,,Ali Sami Yen Spor Kompleksi RAMS Park,,Turquía,"128,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/galatasaray-istanbul/stadion/verein/141/saison_id/2023,Ali Sami Yen Spor Kompleksi Türk Telekom Arena,,105,68,RAMS,,True,False,
159,roter-stern-belgrad,2023,Rajko Mitić,51755,51755,,,5,,,1963,,SD Crvena zvezda,,Rajko Mitić,,,,Césped híbrido,,https://www.transfermarkt.es/roter-stern-belgrad/stadion/verein/159/saison_id/2023,Stadion FK Crvena zvezda - Marakana,,110,73,,,True,True,
