team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
5,ac-mailand,2024,AC Milan,75923,75923,,,304,,,,,Comune di Milano,,Giuseppe Meazza,,,"250,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/ac-mailand/stadion/verein/5/saison_id/2024
11,fc-arsenal,2024,Arsenal FC,60704,60704,,,152,,,,,Arsenal Holdings plc,,Emirates Stadium,,,"600,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-arsenal/stadion/verein/11/saison_id/2024
13,atletico-madrid,2024,Atlético de Madrid,70460,70460,,,,,,,,Atlético Madrid,,Riyadh Air Metropolitano,,,,Césped natural,,https://www.transfermarkt.es/atletico-madrid/stadion/verein/13/saison_id/2024
31,fc-liverpool,2024,Liverpool FC,61276,61276,,,160,,,,,Liverpool Football Club,,Anfield,,,,Césped híbrido,,https://www.transfermarkt.es/fc-liverpool/stadion/verein/31/saison_id/2024
46,inter-mailand,2024,Inter de Milán,75923,75923,,,304,,,,,Comune di Milano,,Giuseppe Meazza,,,,Césped híbrido,,https://www.transfermarkt.es/inter-mailand/stadion/verein/46/saison_id/2024
122,sk-sturm-graz,2024,SK Sturm Graz,16364,15322,,,,,,,,Grazer Messe,,Merkur Arena,,,,Césped natural,,https://www.transfermarkt.es/sk-sturm-graz/stadion/verein/122/saison_id/2024
131,fc-barcelona,2024,FC Barcelona,62657,99354,,,,,,,,Fútbol Club Barcelona,,Spotify Camp Nou,,,,Césped híbrido,,https://www.transfermarkt.es/fc-barcelona/stadion/verein/131/saison_id/2024
159,roter-stern-belgrad,2024,Estrella Roja de Belgrado,51755,51755,,,5,,,,,SD Crvena zvezda,,Rajko Mitić,,,,Césped híbrido,,https://www.transfermarkt.es/roter-stern-belgrad/stadion/verein/159/saison_id/2024
162,as-monaco,2024,AS Mónaco,18525,18525,,,,,,,,,,Stade Louis-II,,,,Césped natural,,https://www.transfermarkt.es/as-monaco/stadion/verein/162/saison_id/2024
197,ac-sparta-prag,2024,AC Sparta Praga,18243,17545,,,,,,,,AC Sparta Praha,,epet Arena,,,,Césped natural,,https://www.transfermarkt.es/ac-sparta-prag/stadion/verein/197/saison_id/2024
234,feyenoord-rotterdam,2024,Feyenoord,47500,51117,,,41,,,,,Stadion Feijenoord N.V.,,"Stadion Feyenoord ""De Kuip""",,,,Césped natural,,https://www.transfermarkt.es/feyenoord-rotterdam/stadion/verein/234/saison_id/2024
281,manchester-city,2024,Manchester City,55097,55097,,,,,,,,Manchester City Council,,Etihad Stadium,,,"119,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/manchester-city/stadion/verein/281/saison_id/2024
