whoscored_player_id,name,whoscored_team_id,position,shirt_no,season,source,competition
121774,Ederson,167,GK,31,2024/25,whoscored,Champions League
402664,Josko Gvardiol,167,DC,24,2024/25,whoscored,Champions League
313171,Rúben Dias,167,DC,3,2024/25,whoscored,Champions League
297390,Manuel Akanji,167,DC,25,2024/25,whoscored,Champions League
303139,Rodri,167,DMC,16,2024/25,whoscored,Champions League
444791,Rico Lewis,167,DMC,82,2024/25,whoscored,Champions League
397821,Savinho,167,AMR,26,2024/25,whoscored,Champions League
73084,Kevin De Bruyne,167,AMC,17,2024/25,whoscored,Champions League
136741,Bernardo Silva,167,AMC,20,2024/25,whoscored,Champions League
113069,Jack Grealish,167,AML,10,2024/25,whoscored,Champions League
315227,Erling Haaland,167,FW,9,2024/25,whoscored,Champions League
388098,Jérémy Doku,167,Sub,11,2024/25,whoscored,Champions League
77464,Ilkay Gündogan,167,Sub,19,2024/25,whoscored,Champions League
331254,Phil Foden,167,Sub,47,2024/25,whoscored,Champions League
93894,Mateo Kovacic,167,Sub,8,2024/25,whoscored,Champions League
133569,Stefan Ortega,167,Sub,18,2024/25,whoscored,Champions League
394933,Matheus Nunes,167,Sub,27,2024/25,whoscored,Champions League
425576,James McAtee,167,Sub,87,2024/25,whoscored,Champions League
8155,Scott Carson,167,Sub,33,2024/25,whoscored,Champions League
69778,Kyle Walker,167,Sub,2,2024/25,whoscored,Champions League
101374,John Stones,167,Sub,5,2024/25,whoscored,Champions League
35758,Yann Sommer,75,GK,1,2024/25,whoscored,Champions League
349126,Yann Bisseck,75,DC,31,2024/25,whoscored,Champions League
329665,Alessandro Bastoni,75,DC,95,2024/25,whoscored,Champions League
54968,Francesco Acerbi,75,DC,15,2024/25,whoscored,Champions League
23220,Matteo Darmian,75,DMR,36,2024/25,whoscored,Champions League
357897,Carlos Augusto,75,DML,30,2024/25,whoscored,Champions League
148684,Nicolò Barella,75,MC,23,2024/25,whoscored,Champions League
118169,Piotr Zielinski,75,MC,7,2024/25,whoscored,Champions League
110373,Hakan Çalhanoglu,75,MC,20,2024/25,whoscored,Champions League
296322,Marcus Thuram,75,FW,9,2024/25,whoscored,Champions League
358801,Mehdi Taremi,75,FW,99,2024/25,whoscored,Champions League
299344,Lautaro Martínez,75,Sub,10,2024/25,whoscored,Champions League
28421,Henrikh Mkhitaryan,75,Sub,22,2024/25,whoscored,Champions League
259648,Benjamin Pavard,75,Sub,28,2024/25,whoscored,Champions League
331425,Davide Frattesi,75,Sub,16,2024/25,whoscored,Champions League
322153,Denzel Dumfries,75,Sub,2,2024/25,whoscored,Champions League
423450,Kristjan Asllani,75,Sub,21,2024/25,whoscored,Champions League
122963,Raffaele Di Gennaro,75,Sub,12,2024/25,whoscored,Champions League
82399,Stefan de Vrij,75,Sub,6,2024/25,whoscored,Champions League
321236,Josep Martínez,75,Sub,13,2024/25,whoscored,Champions League
262515,Gianluigi Donnarumma,304,GK,1,2024/25,whoscored,Champions League
320834,Achraf Hakimi,304,DR,2,2024/25,whoscored,Champions League
101949,Marquinhos,304,DC,5,2024/25,whoscored,Champions League
432378,Willian Pacho,304,DC,51,2024/25,whoscored,Champions League
395221,Nuno Mendes,304,DL,25,2024/25,whoscored,Champions League
465388,João Neves,304,MC,87,2024/25,whoscored,Champions League
384887,Vitinha,304,MC,17,2024/25,whoscored,Champions League
294193,Fabián Ruiz,304,MC,8,2024/25,whoscored,Champions League
433183,Désiré Doué,304,FWR,14,2024/25,whoscored,Champions League
367780,Lee Kang-In,304,FW,19,2024/25,whoscored,Champions League
425366,Bradley Barcola,304,FWL,29,2024/25,whoscored,Champions League
139186,Lucas Hernández,304,Sub,21,2024/25,whoscored,Champions League
299513,Ousmane Dembélé,304,Sub,10,2024/25,whoscored,Champions League
444679,Warren Zaïre-Emery,304,Sub,33,2024/25,whoscored,Champions League
395802,Gonçalo Ramos,304,Sub,9,2024/25,whoscored,Champions League
247800,Presnel Kimpembe,304,Sub,3,2024/25,whoscored,Champions League
513663,Yoram Zague,304,Sub,42,2024/25,whoscored,Champions League
513665,Senny Mayulu,304,Sub,24,2024/25,whoscored,Champions League
329019,Matvey Safonov,304,Sub,39,2024/25,whoscored,Champions League
137467,Marco Asensio,304,Sub,11,2024/25,whoscored,Champions League
440085,Beraldo,304,Sub,35,2024/25,whoscored,Champions League
396147,Arnau Tenas,304,Sub,80,2024/25,whoscored,Champions League
546604,Axel Tape,304,Sub,48,2024/25,whoscored,Champions League
468847,Nico O'Reilly,167,Sub,75,2024/25,whoscored,Champions League
513616,Jacob Wright,167,Sub,56,2024/25,whoscored,Champions League
468845,Max Alleyne,167,Sub,68,2024/25,whoscored,Champions League
52197,Simon Mignolet,124,GK,22,2024/25,whoscored,Champions League
483461,Joaquin Seys,124,DR,65,2024/25,whoscored,Champions League
129832,Brandon Mechele,124,DC,44,2024/25,whoscored,Champions League
446053,Joel Ordóñez,124,DC,4,2024/25,whoscored,Champions League
392647,Maxim De Cuyper,124,DL,55,2024/25,whoscored,Champions League
425338,Raphael Onyedika,124,DMC,15,2024/25,whoscored,Champions League
435100,Ardon Jashari,124,DMC,30,2024/25,whoscored,Champions League
476110,Chemsdine Talbi,124,AMR,68,2024/25,whoscored,Champions League
243567,Hans Vanaken,124,AMC,20,2024/25,whoscored,Champions League
399296,Christos Tzolis,124,AML,8,2024/25,whoscored,Champions League
396158,Ferran Jutglà,124,FW,9,2024/25,whoscored,Champions League
476732,Romeo Vermant,124,Sub,17,2024/25,whoscored,Champions League
335698,Hugo Vetlesen,124,Sub,10,2024/25,whoscored,Champions League
401354,Michal Skóras,124,Sub,21,2024/25,whoscored,Champions League
143459,Nordin Jackers,124,Sub,29,2024/25,whoscored,Champions League
405314,Hugo Siquet,124,Sub,41,2024/25,whoscored,Champions League
459085,Jorne Spileers,124,Sub,58,2024/25,whoscored,Champions League
459256,Kyriani Sabbe,124,Sub,64,2024/25,whoscored,Champions League
115401,Casper Nielsen,124,Sub,27,2024/25,whoscored,Champions League
472366,Dani van den Heuvel,124,Sub,16,2024/25,whoscored,Champions League
320609,Gustaf Nilsson,124,Sub,19,2024/25,whoscored,Champions League
389191,Zaid Romero,124,Sub,2,2024/25,whoscored,Champions League
319696,Michele Di Gregorio,87,GK,29,2024/25,whoscored,Champions League
450289,Nicolò Savona,87,DR,37,2024/25,whoscored,Champions League
391836,Pierre Kalulu,87,DC,15,2024/25,whoscored,Champions League
439909,Federico Gatti,87,DC,4,2024/25,whoscored,Champions League
88300,Danilo,87,DL,6,2024/25,whoscored,Champions League
366379,Khéphren Thuram,87,DMC,19,2024/25,whoscored,Champions League
273539,Manuel Locatelli,87,DMC,5,2024/25,whoscored,Champions League
409221,Francisco Conceição,87,AMR,7,2024/25,whoscored,Champions League
343308,Teun Koopmeiners,87,AMC,8,2024/25,whoscored,Champions League
494525,Kenan Yildiz,87,AML,10,2024/25,whoscored,Champions League
315369,Dusan Vlahovic,87,FW,9,2024/25,whoscored,Champions League
468855,Samuel Mbangula,87,Sub,51,2024/25,whoscored,Champions League
337883,Douglas Luiz,87,Sub,26,2024/25,whoscored,Champions League
353991,Timothy Weah,87,Sub,22,2024/25,whoscored,Champions League
338275,Weston McKennie,87,Sub,16,2024/25,whoscored,Champions League
369426,Nicolò Fagioli,87,Sub,21,2024/25,whoscored,Champions League
78880,Mattia Perin,87,Sub,1,2024/25,whoscored,Champions League
83981,Carlo Pinsoglio,87,Sub,23,2024/25,whoscored,Champions League
484428,Vasilije Adzic,87,Sub,17,2024/25,whoscored,Champions League
450283,Jonas Rouhi,87,Sub,40,2024/25,whoscored,Champions League
425406,Josh Wilson-Esbrand,167,Sub,97,2024/25,whoscored,Champions League
534072,Jahmai Simpson-Pusey,167,Sub,66,2024/25,whoscored,Champions League
548061,Max Hudson,167,Sub,69,2024/25,whoscored,Champions League
122945,Nathan Aké,167,DC,6,2024/25,whoscored,Champions League
121821,Timon Wellenreuther,256,GK,22,2024/25,whoscored,Champions League
297527,Bart Nieuwkoop,256,DR,2,2024/25,whoscored,Champions League
384574,Gernot Trauner,256,DC,18,2024/25,whoscored,Champions League
362779,Dávid Hancko,256,DC,33,2024/25,whoscored,Champions League
400059,Gijs Smal,256,DL,5,2024/25,whoscored,Champions League
411078,Quinten Timber,256,MC,8,2024/25,whoscored,Champions League
422921,Antoni Milambo,256,MC,27,2024/25,whoscored,Champions League
371030,Hwang In-Beom,256,MC,4,2024/25,whoscored,Champions League
515829,Anis Hadj Moussa,256,FWR,23,2024/25,whoscored,Champions League
347863,Julián Carranza,256,FW,19,2024/25,whoscored,Champions League
436553,Igor Paixão,256,FWL,14,2024/25,whoscored,Champions League
379701,Ramiz Zerrouki,256,Sub,6,2024/25,whoscored,Champions League
445061,Santiago Giménez,256,Sub,29,2024/25,whoscored,Champions League
436114,Thomas Beelen,256,Sub,3,2024/25,whoscored,Champions League
345527,Jordan Lotomba,256,Sub,30,2024/25,whoscored,Champions League
444264,Facu González,256,Sub,15,2024/25,whoscored,Champions League
517344,Jeyland Mitchell,256,Sub,20,2024/25,whoscored,Champions League
298710,Luka Ivanusec,256,Sub,17,2024/25,whoscored,Champions League
489979,Gjivai Zechiël,256,Sub,24,2024/25,whoscored,Champions League
545314,Zépiqueno Redmond,256,Sub,49,2024/25,whoscored,Champions League
302709,Justin Bijlow,256,Sub,1,2024/25,whoscored,Champions League
545540,Ismail Ka,256,Sub,64,2024/25,whoscored,Champions League
406957,Franco Israel,296,GK,1,2024/25,whoscored,Champions League
410633,Zeno Debast,296,DC,6,2024/25,whoscored,Champions League
283978,Matheus Reis,296,DC,2,2024/25,whoscored,Champions League
443663,Ousmane Diomande,296,DC,26,2024/25,whoscored,Champions League
509068,Geovany Quenda,296,DMR,57,2024/25,whoscored,Champions League
460758,Maxi Araújo,296,DML,20,2024/25,whoscored,Champions League
403647,Morten Hjulmand,296,MC,42,2024/25,whoscored,Champions League
409279,Hidemasa Morita,296,MC,5,2024/25,whoscored,Champions League
344378,Pote,296,AMC,8,2024/25,whoscored,Champions League
368409,Trincão,296,AMC,17,2024/25,whoscored,Champions League
362815,Viktor Gyökeres,296,FW,9,2024/25,whoscored,Champions League
538807,Conrad Harder,296,Sub,19,2024/25,whoscored,Champions League
425093,Geny Catamo,296,Sub,21,2024/25,whoscored,Champions League
259929,Jeremiah St. Juste,296,Sub,3,2024/25,whoscored,Champions League
384888,Daniel Bragança,296,Sub,23,2024/25,whoscored,Champions League
394932,Eduardo Quaresma,296,Sub,72,2024/25,whoscored,Champions League
376862,Vladan Kovacevic,296,Sub,13,2024/25,whoscored,Champions League
540227,João Simões,296,Sub,52,2024/25,whoscored,Champions League
109474,Ricardo Esgaio,296,Sub,47,2024/25,whoscored,Champions League
444257,Iván Fresneda,296,Sub,22,2024/25,whoscored,Champions League
279177,Marcus Edwards,296,Sub,10,2024/25,whoscored,Champions League
480144,Diogo Pinto,296,Sub,51,2024/25,whoscored,Champions League
377279,Peter Vindahl,354,GK,1,2024/25,whoscored,Champions League
404249,Martin Vitík,354,DC,41,2024/25,whoscored,Champions League
425363,Filip Panák,354,DC,27,2024/25,whoscored,Champions League
328430,Asger Sørensen,354,DC,25,2024/25,whoscored,Champions League
409239,Ángelo Preciado,354,DMR,17,2024/25,whoscored,Champions League
407943,Matej Rynes,354,DML,32,2024/25,whoscored,Champions League
298657,Qazim Laçi,354,MC,20,2024/25,whoscored,Champions League
202261,Kaan Kairinen,354,MC,6,2024/25,whoscored,Champions League
425231,Veljko Birmancevic,354,FWR,14,2024/25,whoscored,Champions League
443589,Victor Olatunji,354,FW,7,2024/25,whoscored,Champions League
141794,Lukás Haraslín,354,FWL,22,2024/25,whoscored,Champions League
404751,Tomás Wiesner,354,Sub,28,2024/25,whoscored,Champions League
424308,Krystof Danek,354,Sub,13,2024/25,whoscored,Champions League
399621,Markus Solbakken,354,Sub,4,2024/25,whoscored,Champions League
399368,Ermal Krasniqi,354,Sub,29,2024/25,whoscored,Champions League
418516,Albion Rrahmani,354,Sub,10,2024/25,whoscored,Champions League
97913,David Pavelka,354,Sub,8,2024/25,whoscored,Champions League
254449,Vojtech Vorel,354,Sub,24,2024/25,whoscored,Champions League
399567,Jakub Pesek,354,Sub,21,2024/25,whoscored,Champions League
439969,Martin Suchomel,354,Sub,2,2024/25,whoscored,Champions League
476673,Lukás Sadílek,354,Sub,18,2024/25,whoscored,Champions League
424808,Mathias Ross,354,Sub,5,2024/25,whoscored,Champions League
493139,Jakub Surovcík,354,Sub,44,2024/25,whoscored,Champions League
439530,Dominik Takác,698,GK,71,2024/25,whoscored,Champions League
401721,César Blackman,698,DR,28,2024/25,whoscored,Champions League
69335,Guram Kashia,698,DC,4,2024/25,whoscored,Champions League
113515,Kenan Bajric,698,DC,12,2024/25,whoscored,Champions League
101550,Kevin Wimmer,698,DL,6,2024/25,whoscored,Champions League
146011,Kyriakos Savvidis,698,DMC,88,2024/25,whoscored,Champions League
383833,Danylo Ihnatenko,698,DMC,77,2024/25,whoscored,Champions League
203838,Tigran Barseghyan,698,AMR,11,2024/25,whoscored,Champions League
404276,Marko Tolic,698,AMC,10,2024/25,whoscored,Champions League
70286,Vladimír Weiss,698,AML,7,2024/25,whoscored,Champions League
383862,David Strelec,698,FW,13,2024/25,whoscored,Champions League
485515,Sharani Zuberu,698,Sub,23,2024/25,whoscored,Champions League
485514,Nino Marcelli,698,Sub,18,2024/25,whoscored,Champions League
485690,Július Szöke,698,Sub,37,2024/25,whoscored,Champions League
90987,Róbert Mak,698,Sub,21,2024/25,whoscored,Champions League
98079,Lukás Pauschek,698,Sub,25,2024/25,whoscored,Champions League
399960,Siemen Voet,698,Sub,2,2024/25,whoscored,Champions League
421777,Alen Mustafic,698,Sub,20,2024/25,whoscored,Champions League
276447,Jurij Medvedev,698,Sub,17,2024/25,whoscored,Champions League
484636,Artur Gajdos,698,Sub,26,2024/25,whoscored,Champions League
384571,Martin Trnovsky,698,Sub,31,2024/25,whoscored,Champions League
443907,Adam Hrdina,698,Sub,35,2024/25,whoscored,Champions League
447101,Idjessi Metsoko,698,Sub,93,2024/25,whoscored,Champions League
255929,Federico Dimarco,75,ML,32,2024/25,whoscored,Champions League
34693,Marko Arnautovic,75,Sub,8,2024/25,whoscored,Champions League
371027,Tajon Buchanan,75,Sub,17,2024/25,whoscored,Champions League
533879,Mike Aidoo,75,Sub,50,2024/25,whoscored,Champions League
67369,Péter Gulácsi,7614,GK,1,2024/25,whoscored,Champions League
345441,Lutsharel Geertruida,7614,DR,3,2024/25,whoscored,Champions League
415172,Castello Lukeba,7614,DC,23,2024/25,whoscored,Champions League
104917,Willi Orbán,7614,DC,4,2024/25,whoscored,Champions League
296769,Benjamin Henrichs,7614,DL,39,2024/25,whoscored,Champions League
369979,Christoph Baumgartner,7614,MR,14,2024/25,whoscored,Champions League
298837,Amadou Haidara,7614,MC,8,2024/25,whoscored,Champions League
80994,Kevin Kampl,7614,MC,44,2024/25,whoscored,Champions League
416030,Antonio Nusa,7614,ML,7,2024/25,whoscored,Champions League
363618,Loïs Openda,7614,FW,11,2024/25,whoscored,Champions League
299460,André Silva,7614,FW,19,2024/25,whoscored,Champions League
418587,Nicolas Seiwald,7614,Sub,13,2024/25,whoscored,Champions League
445430,Arthur Vermeeren,7614,Sub,18,2024/25,whoscored,Champions League
536132,Viggo Gebel,7614,Sub,47,2024/25,whoscored,Champions League
424191,Benjamin Sesko,7614,Sub,30,2024/25,whoscored,Champions League
