match_id_ss,player_id_ss,player_name,team_id_ss,event_type,minute,second,x,y,end_x,end_y,outcome,data_source
15632632,,,,period,90,,,,,,,sofascore
15632632,,,,substitution,90,,,,,,regular,sofascore
15632632,,,,injuryTime,90,,,,,,,sofascore
15632632,,,,substitution,84,,,,,,injury,sofascore
15632632,,,,substitution,84,,,,,,regular,sofascore
15632632,814594.0,Achraf Hakimi,,card,80,,,,,,yellow,sofascore
15632632,,,,substitution,79,,,,,,regular,sofascore
15632632,784655.0,Fabián Ruiz,,card,77,,,,,,yellow,sofascore
15632632,,,,substitution,70,,,,,,regular,sofascore
15632632,883537.0,Luis Díaz,,varDecision,70,,,,,,goalNotAwarded,sofascore
15632632,883537.0,Luis Díaz,,goal,68,,,,,,regular,sofascore
15632632,798583.0,Dayot Upamecano,,goal,65,,,,,,regular,sofascore
15632632,,,,substitution,64,,,,,,regular,sofascore
15632632,818244.0,Ousmane Dembélé,,goal,58,,,,,,regular,sofascore
15632632,889259.0,Khvicha Kvaratskhelia,,goal,56,,,,,,regular,sofascore
15632632,,,,substitution,46,,,,,,regular,sofascore
15632632,,,,period,45,,,,,,,sofascore
15632632,818244.0,Ousmane Dembélé,,goal,45,,,,,,penalty,sofascore
15632632,818244.0,Ousmane Dembélé,,varDecision,45,,,,,,penaltyNotAwarded,sofascore
15632632,,,,injuryTime,45,,,,,,,sofascore
15632632,978838.0,Michael Olise,,goal,41,,,,,,regular,sofascore
15632632,1190933.0,João Neves,,goal,33,,,,,,regular,sofascore
15632632,889259.0,Khvicha Kvaratskhelia,,goal,24,,,,,,regular,sofascore
15632632,108579.0,Harry Kane,,goal,17,,,,,,penalty,sofascore
15632632,155995.0,Marquinhos,,card,12,,,,,,yellow,sofascore
15632633,,,,period,90,,,,,,,sofascore
15632633,,,,injuryTime,90,,,,,,,sofascore
15632633,,,,substitution,88,,,,,,regular,sofascore
15632633,,,,substitution,86,,,,,,regular,sofascore
15632633,864921.0,Eberechi Eze,,varDecision,80,,,,,,penaltyAwarded,sofascore
15632633,807771.0,Dávid Hancko,,card,78,,,,,,yellow,sofascore
15632633,,,,substitution,77,,,,,,injury,sofascore
15632633,,,,substitution,69,,,,,,regular,sofascore
15632633,,,,substitution,68,,,,,,regular,sofascore
15632633,,,,substitution,68,,,,,,regular,sofascore
15632633,,,,substitution,58,,,,,,regular,sofascore
15632633,944656.0,Julián Alvarez,,goal,56,,,,,,penalty,sofascore
15632633,353138.0,Marcos Llorente,,varDecision,55,,,,,,penaltyNotAwarded,sofascore
15632633,,,,substitution,46,,,,,,regular,sofascore
15632633,,,,period,45,,,,,,,sofascore
15632633,,,,injuryTime,45,,,,,,,sofascore
15632633,804508.0,Viktor Gyökeres,,goal,44,,,,,,penalty,sofascore
15632635,,,,period,90,,,,,,,sofascore
15632635,84539.0,Koke,,card,90,,,,,,yellow,sofascore
15632635,,,,injuryTime,90,,,,,,,sofascore
15632635,,,,substitution,83,,,,,,regular,sofascore
15632635,1094106.0,Marc Pubill,,card,81,,,,,,yellow,sofascore
15632635,,,,substitution,74,,,,,,regular,sofascore
15632635,,,,substitution,66,,,,,,regular,sofascore
15632635,,,,substitution,66,,,,,,regular,sofascore
15632635,,,,substitution,59,,,,,,regular,sofascore
15632635,,,,substitution,58,,,,,,regular,sofascore
15632635,,,,substitution,58,,,,,,regular,sofascore
15632635,,,,substitution,57,,,,,,regular,sofascore
15632635,,,,substitution,57,,,,,,regular,sofascore
15632635,,,,substitution,57,,,,,,regular,sofascore
15632635,,,,period,45,,,,,,,sofascore
15632635,,,,injuryTime,45,,,,,,,sofascore
15632635,934235.0,Bukayo Saka,,goal,44,,,,,,regular,sofascore
15632635,232422.0,Kepa Arrizabalaga,,card,-5,,,,,,yellow,sofascore
15632635,,,,card,-5,,,,,,yellow,sofascore
15632635,,,,card,-5,,,,,,yellow,sofascore
15632634,,,,period,90,,,,,,,sofascore
15632634,259117.0,Joshua Kimmich,,card,90,,,,,,yellow,sofascore
15632634,108579.0,Harry Kane,,goal,90,,,,,,regular,sofascore
15632634,,,,injuryTime,90,,,,,,,sofascore
15632634,155995.0,Marquinhos,,card,86,,,,,,yellow,sofascore
15632634,,,,substitution,85,,,,,,injury,sofascore
15632634,,,,substitution,85,,,,,,regular,sofascore
15632634,,,,substitution,79,,,,,,regular,sofascore
15632634,883537.0,Luis Díaz,,card,78,,,,,,yellow,sofascore
15632634,,,,substitution,76,,,,,,regular,sofascore
15632634,,,,substitution,76,,,,,,regular,sofascore
15632634,,,,substitution,68,,,,,,regular,sofascore
15632634,,,,substitution,67,,,,,,regular,sofascore
15632634,,,,substitution,65,,,,,,regular,sofascore
15632634,,,,period,45,,,,,,,sofascore
15632634,889259.0,Khvicha Kvaratskhelia,,card,45,,,,,,yellow,sofascore
15632634,,,,injuryTime,45,,,,,,,sofascore
15632634,227672.0,Jonathan Tah,,card,33,,,,,,yellow,sofascore
15632634,989768.0,Nuno Mendes,,card,8,,,,,,yellow,sofascore
15632634,818244.0,Ousmane Dembélé,,goal,3,,,,,,regular,sofascore
15452735,,,,period,90,,,,,,,sofascore
15452735,,,,injuryTime,90,,,,,,,sofascore
15452735,,,,substitution,87,,,,,,regular,sofascore
15452735,,,,substitution,86,,,,,,regular,sofascore
15452735,,,,substitution,82,,,,,,regular,sofascore
15452735,,,,substitution,82,,,,,,regular,sofascore
15452735,,,,substitution,77,,,,,,regular,sofascore
15452735,,,,substitution,76,,,,,,regular,sofascore
15452735,,,,substitution,64,,,,,,regular,sofascore
15452735,,,,substitution,64,,,,,,regular,sofascore
15452735,,,,substitution,64,,,,,,regular,sofascore
