match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
15632632,259117,Joshua Kimmich,,90,12.2,52.8,0.0838,save,head,corner,sofascore
15632632,108579,Harry Kane,,90,26.0,27.0,0.0094,save,right-foot,assisted,sofascore
15632632,1473491,Senny Mayulu,,87,9.2,34.4,0.087,post,left-foot,assisted,sofascore
15632632,108579,Harry Kane,,79,4.6,50.2,0.2612,save,head,set-piece,sofascore
15632632,883537,Luis Díaz,,68,13.6,44.1,0.1943,goal,right-foot,assisted,sofascore
15632632,927407,Josip Stanišić,,67,10.2,57.0,0.07,block,right-foot,regular,sofascore
15632632,798583,Dayot Upamecano,,65,6.9,52.3,0.3736,goal,head,set-piece,sofascore
15632632,818244,Ousmane Dembélé,,58,15.1,35.4,0.0793,goal,right-foot,fast-break,sofascore
15632632,889259,Khvicha Kvaratskhelia,,56,13.1,36.8,0.093,goal,right-foot,assisted,sofascore
15632632,355492,Konrad Laimer,,54,8.1,43.1,0.5361,miss,left-foot,assisted,sofascore
15632632,818244,Ousmane Dembélé,,45,11.5,50.0,0.7884,goal,right-foot,penalty,sofascore
15632632,978838,Michael Olise,,41,15.1,46.4,0.1207,goal,left-foot,assisted,sofascore
15632632,818244,Ousmane Dembélé,,35,15.9,52.6,0.153,block,right-foot,fast-break,sofascore
15632632,1190933,João Neves,,33,7.0,43.3,0.0593,goal,head,corner,sofascore
15632632,1154605,Désiré Doué,,32,13.5,41.5,0.0583,block,right-foot,regular,sofascore
15632632,989768,Nuno Mendes,,31,26.9,32.2,0.0191,miss,left-foot,assisted,sofascore
15632632,818244,Ousmane Dembélé,,31,17.5,76.7,0.0286,block,left-foot,assisted,sofascore
15632632,1154605,Désiré Doué,,28,14.4,63.6,0.058,block,left-foot,assisted,sofascore
15632632,889259,Khvicha Kvaratskhelia,,24,11.7,34.4,0.0634,goal,right-foot,assisted,sofascore
15632632,818244,Ousmane Dembélé,,23,12.2,39.0,0.4083,miss,right-foot,fast-break,sofascore
15632632,978838,Michael Olise,,20,11.1,56.8,0.6243,save,left-foot,assisted,sofascore
15632632,108579,Harry Kane,,17,11.5,50.0,0.7884,goal,right-foot,penalty,sofascore
15632633,135666,Leandro Trossard,,90,14.1,35.6,0.0359,miss,left-foot,assisted,sofascore
15632633,831799,Nahuel Molina,,90,18.4,69.1,0.0271,miss,right-foot,assisted,sofascore
15632633,856714,Declan Rice,,90,15.8,69.7,0.0313,block,right-foot,assisted,sofascore
15632633,856714,Declan Rice,,89,29.9,40.1,0.0183,miss,right-foot,assisted,sofascore
15632633,1144630,Cristhian Mosquera,,87,18.4,55.5,0.0834,save,right-foot,assisted,sofascore
