id_sofascore,canonical_name,country
17,Manchester City,England
33,Tottenham Hotspur,England
38,Chelsea,England
39,Newcastle United,England
42,Arsenal,England
44,Liverpool FC,England
656,Bodø/Glimt,Norway
1159,SK Brann,Norway
1284,FC København,Denmark
1641,Olympique de Marseille,France
1644,Paris Saint-Germain,France
1653,AS Monaco,Monaco
1661,Nice,France
1892,Malmö FF,Sweden
1901,Breidablik Kópavogur,Iceland
1925,Ferencváros TC,Hungary
2039,HNK Rijeka,Croatia
2046,Red Bull Salzburg,Austria
2051,SK Sturm Graz,Austria
2216,SK Slavia Praha,Czechia
2244,Kuopion Palloseura,Finland
2351,Rangers,Scotland
2352,Celtic,Scotland
2404,ŠK Slovan Bratislava,Slovakia
2416,NK Olimpija Ljubljana,Slovenia
2448,Servette FC,Switzerland
2501,Basel,Switzerland
2672,FC Bayern München,Germany
2673,Borussia Dortmund,Germany
2674,Eintracht Frankfurt,Germany
2681,Bayer 04 Leverkusen,Germany
2686,Atalanta,Italy
2687,Juventus,Italy
2697,Inter,Italy
2714,SSC Napoli,Italy
2817,FC Barcelona,Spain
2819,Villarreal,Spain
2825,Athletic Club,Spain
2829,Real Madrid,Spain
2836,Atlético Madrid,Spain
2888,Club Brugge KV,Belgium
2952,PSV Eindhoven,Netherlands
2953,AFC Ajax,Netherlands
2959,Feyenoord,Netherlands
3001,Sporting CP,Portugal
3006,Benfica,Portugal
3052,Fenerbahçe,Türkiye
3061,Galatasaray,Türkiye
3121,Lech Poznań,Poland
3174,Shelbourne,Ireland
3245,Olympiacos FC,Greece
3248,Panathinaikos FC,Greece
3301,FCSB,Romania
3305,Dynamo Kyiv,Ukraine
3342,FCI Levadia Tallinn,Estonia
3361,Dinamo Minsk,Belarus
4502,FC Viktoria Plzeň,Czechia
4860,Royale Union Saint-Gilloise,Belgium
4921,The New Saints,Wales
5143,FK Budućnost Podgorica,Montenegro
5149,FK Crvena zvezda,Serbia
5172,Kairat Almaty,Kazakhstan
5178,HŠK Zrinjski Mostar,Bosnia & Herzegovina
5193,Víkingur Gøta,Faroe Islands
5198,Maccabi Tel Aviv,Israel
5272,Linfield FC,Northern Ireland
5345,FK Žalgiris,Lithuania
5413,KF Shkëndija,North Macedonia
5962,Qarabağ FK,Azerbaijan
7605,Differdange FC 03,Luxembourg
33583,Ħamrun Spartans FC,Malta
36261,SS Virtus,San Marino
37946,Inter Club d'Escaldes,Andorra
43840,Ludogorets,Bulgaria
53475,FC Milsami Orhei,Moldova
68718,RFS,Latvia
116312,FC Iberia 1999,Georgia
126304,Lincoln Red Imps,Gibraltar
171626,Pafos FC,Cyprus
229755,FC Drita,Kosovo
262228,FC Noah,Armenia
264619,KF Egnatia,Albania
