id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
7161,Jonas Hofmann,Alemania,1992-07-14,Mediocentro ofensivo,Champions League,Bayer 04 Leverkusen,bayer-04-leverkusen,15,2025,transfermarkt
17259,Manuel Neuer,Alemania,1986-03-27,Portero,Champions League,Bayern Múnich,fc-bayern-munchen,27,2025,transfermarkt
25520,Remko Pasveer,Países Bajos,1983-11-08,,Champions League,Ajax de Ámsterdam,ajax-amsterdam,610,2025,transfermarkt
29712,John Ruddy,Inglaterra,1986-10-24,Portero,Champions League,Newcastle United,newcastle-united,762,2025,transfermarkt
38253,Robert Lewandowski,Polonia,1988-08-21,Delantero centro,Champions League,FC Barcelona,fc-barcelona,131,2025,transfermarkt
40034,Jens Grahl,Alemania,1988-09-22,Portero,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
40680,Sven Ulreich,Alemania,1988-08-03,Portero,Champions League,Bayern Múnich,fc-bayern-munchen,27,2025,transfermarkt
42205,Yann Sommer,Suiza,1988-12-17,Portero,Champions League,Inter de Milán,inter-mailand,46,2025,transfermarkt
42460,Ivan Perišić,Croacia,1989-02-02,Extremo izquierdo,Champions League,PSV Eindhoven,psv-eindhoven,383,2025,transfermarkt
44058,Wojciech Szczesny,Polonia,1990-04-18,Portero,Champions League,FC Barcelona,fc-barcelona,131,2025,transfermarkt
46741,David Luiz,Brasil,1987-04-22,Defensa central,Champions League,Pafos FC,pafos-fc,45457,2025,transfermarkt
48015,Lukas Hradecky,Finlandia,1989-11-24,Portero,Champions League,AS Mónaco,as-monaco,162,2025,transfermarkt
49723,Timothy Chandler,Estados Unidos,1990-03-29,Lateral derecho,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
50219,Simon Mignolet,Bélgica,1988-03-06,Portero,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
51471,Mateo Kovacic,Croacia,1994-05-06,Mediocentro,Champions League,Manchester City,manchester-city,281,2025,transfermarkt
52059,Zanka,Dinamarca,1990-04-23,Defensa central,Champions League,FC Copenhague,fc-kopenhagen,190,2025,transfermarkt
53622,İlkay Gündoğan,Alemania,1990-10-24,,Champions League,Manchester City,manchester-city,281,2025,transfermarkt
54781,Nicolás Otamendi,Argentina,1988-02-12,Defensa central,Champions League,SL Benfica,benfica-lissabon,294,2025,transfermarkt
54906,Matteo Darmian,Italia,1989-12-02,Lateral derecho,Champions League,Inter de Milán,inter-mailand,46,2025,transfermarkt
55735,Henrikh Mkhitaryan,Armenia,1989-01-21,Mediocentro,Champions League,Inter de Milán,inter-mailand,46,2025,transfermarkt
58864,Pierre-Emerick Aubameyang,Gabón,1989-06-18,Delantero centro,Champions League,Olympique de Marsella,olympique-marseille,244,2025,transfermarkt
59016,David Alaba,Austria,1992-06-24,Defensa central,Champions League,Real Madrid CF,real-madrid,418,2025,transfermarkt
59352,Aleksandr Martynovich,Bielorrusia,1987-08-26,Defensa central,Champions League,Kairat Almaty,kairat-almaty,10482,2025,transfermarkt
59561,Dani Parejo,España,1989-04-16,Mediocentro,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
61812,Yuri Berchiche,España,1990-02-10,Lateral izquierdo,Champions League,Athletic Club,athletic-bilbao,621,2025,transfermarkt
68863,Mauro Icardi,Argentina,1993-02-19,Delantero centro,Champions League,Galatasaray,galatasaray-istanbul,141,2025,transfermarkt
70580,Raffaele Di Gennaro,Italia,1993-10-03,Portero,Champions League,Inter de Milán,inter-mailand,46,2025,transfermarkt
72736,Guillaume François,Bélgica,1990-06-03,Lateral derecho,Champions League,Union Saint-Gilloise,royale-union-saint-gilloise,3948,2025,transfermarkt
74229,Koke,España,1992-01-08,Mediocentro,Champions League,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
74842,Mario Götze,Alemania,1992-06-03,Mediocentro ofensivo,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
74857,Marc-André ter Stegen,Alemania,1992-04-30,,Champions League,FC Barcelona,fc-barcelona,131,2025,transfermarkt
75411,Carlo Pinsoglio,Italia,1990-03-16,Portero,Champions League,Juventus de Turín,juventus-turin,506,2025,transfermarkt
76158,Alexander Meyer,Alemania,1991-04-13,Portero,Champions League,Borussia Dortmund,borussia-dortmund,16,2025,transfermarkt
81173,Janis Blaswich,Alemania,1991-05-02,Portero,Champions League,Bayer 04 Leverkusen,bayer-04-leverkusen,15,2025,transfermarkt
82873,Pascal Groß,Alemania,1991-06-15,,Champions League,Borussia Dortmund,borussia-dortmund,16,2025,transfermarkt
85543,Niklas Lomb,Alemania,1993-07-28,Portero,Champions League,Bayer 04 Leverkusen,bayer-04-leverkusen,15,2025,transfermarkt
85941,Stefan Ortega,Alemania,1992-11-06,,Champions League,Manchester City,manchester-city,281,2025,transfermarkt
86202,Antonio Rüdiger,Alemania,1993-03-03,Defensa central,Champions League,Real Madrid CF,real-madrid,418,2025,transfermarkt
