whoscored_match_id,match_date,season,competition,attendance,data_source
1946345,2025-09-17,2025/26,Champions League,75000.0,whoscored
1946346,2026-01-28,2025/26,Champions League,35000.0,whoscored
1946347,2025-11-04,2025/26,Champions League,45747.0,whoscored
1946348,2025-11-25,2025/26,Champions League,39323.0,whoscored
1946349,2025-10-22,2025/26,Champions League,75000.0,whoscored
1946350,2025-09-30,2025/26,Champions League,38636.0,whoscored
1946351,2025-11-26,2025/26,Champions League,58780.0,whoscored
1946352,2025-12-09,2025/26,Champions League,20685.0,whoscored
1946353,2025-12-09,2025/26,Champions League,75000.0,whoscored
1946354,2025-10-22,2025/26,Champions League,38947.0,whoscored
1946355,2025-11-26,2025/26,Champions League,59964.0,whoscored
1946356,2026-01-21,2025/26,Champions League,66000.0,whoscored
1946357,2026-01-28,2025/26,Champions League,47637.0,whoscored
1946358,2025-09-30,2025/26,Champions League,9187.0,whoscored
1946359,2025-12-10,2025/26,Champions League,51772.0,whoscored
1946360,2025-11-25,2025/26,Champions League,50592.0,whoscored
1946361,2026-01-20,2025/26,Champions League,72649.0,whoscored
1946362,2025-10-21,2025/26,Champions League,20539.0,whoscored
1946363,2025-11-25,2025/26,Champions League,81365.0,whoscored
1946364,2026-01-28,2025/26,Champions League,46513.0,whoscored
1946365,2025-09-18,2025/26,Champions League,49531.0,whoscored
1946366,2025-09-16,2025/26,Champions League,41497.0,whoscored
1946367,2026-01-21,2025/26,Champions League,30774.0,whoscored
1946368,2025-12-10,2025/26,Champions League,81365.0,whoscored
1946369,2025-11-05,2025/26,Champions League,30887.0,whoscored
1946370,2026-01-20,2025/26,Champions League,8016.0,whoscored
1946371,2026-01-20,2025/26,Champions League,52713.0,whoscored
1946372,2025-12-10,2025/26,Champions League,76977.0,whoscored
1946373,2026-01-28,2025/26,Champions League,35259.0,whoscored
1946374,2025-10-01,2025/26,Champions League,81365.0,whoscored
1946375,2025-11-04,2025/26,Champions League,59916.0,whoscored
1946376,2025-10-01,2025/26,Champions League,11275.0,whoscored
1946377,2025-10-21,2025/26,Champions League,35058.0,whoscored
1946378,2025-10-22,2025/26,Champions League,76521.0,whoscored
1946379,2025-09-17,2025/26,Champions League,59507.0,whoscored
1946380,2026-01-28,2025/26,Champions League,64305.0,whoscored
1946381,2025-10-22,2025/26,Champions League,58700.0,whoscored
1946382,2025-09-16,2025/26,Champions League,74610.0,whoscored
1946383,2025-11-26,2025/26,Champions League,32325.0,whoscored
1946384,2026-01-21,2025/26,Champions League,65631.0,whoscored
1946385,2026-01-20,2025/26,Champions League,73599.0,whoscored
1946386,2026-01-28,2025/26,Champions League,60043.0,whoscored
1946387,2025-09-30,2025/26,Champions League,22788.0,whoscored
1946388,2025-09-30,2025/26,Champions League,50651.0,whoscored
1946389,2025-12-09,2025/26,Champions League,73892.0,whoscored
1946390,2025-10-01,2025/26,Champions League,50207.0,whoscored
1946391,2026-01-28,2025/26,Champions League,81365.0,whoscored
1946392,2025-12-09,2025/26,Champions League,38439.0,whoscored
1946393,2025-11-05,2025/26,Champions League,27037.0,whoscored
1946394,2025-11-26,2025/26,Champions League,68069.0,whoscored
1946395,2025-10-21,2025/26,Champions League,46264.0,whoscored
1946396,2025-09-30,2025/26,Champions League,62317.0,whoscored
1946398,2025-09-17,2025/26,Champions League,52288.0,whoscored
1946400,2025-11-05,2025/26,Champions League,69983.0,whoscored
1946401,2026-01-21,2025/26,Champions League,19242.0,whoscored
1946402,2025-10-21,2025/26,Champions League,16632.0,whoscored
1946403,2026-01-28,2025/26,Champions League,44609.0,whoscored
1946404,2025-11-05,2025/26,Champions League,50513.0,whoscored
1946405,2025-09-18,2025/26,Champions League,52084.0,whoscored
1946406,2025-09-17,2025/26,Champions League,47151.0,whoscored
1946407,2025-10-21,2025/26,Champions League,30210.0,whoscored
1946408,2025-11-26,2025/26,Champions League,47574.0,whoscored
1946409,2026-01-20,2025/26,Champions League,51428.0,whoscored
1946410,2025-10-21,2025/26,Champions League,59200.0,whoscored
1946411,2026-01-28,2025/26,Champions League,30210.0,whoscored
1946412,2025-12-10,2025/26,Champions League,26464.0,whoscored
1946413,2025-11-05,2025/26,Champions League,55796.0,whoscored
