id_whoscored,canonical_name,data_source
233,José María Sánchez Martínez,whoscored
2356,João Pinheiro,whoscored
331,Maurizio Mariani,whoscored
1072,Slavko Vincic,whoscored
3597,Donatas Rumsas,whoscored
1403,Daniel Siebert,whoscored
339,Marco Guida,whoscored
229,Alejandro José Hernández Hernández,whoscored
3595,Nick Walsh,whoscored
1128,Felix Zwayer,whoscored
3246,Rade Obrenovic,whoscored
2958,Manfredas Lukjancukas,whoscored
787,Serdar Gözübüyük,whoscored
366,Davide Massa,whoscored
961,Clément Turpin,whoscored
880,François Letexier,whoscored
4140,Erik Lambrechts,whoscored
3596,Sebastian Gishamer,whoscored
1398,Sven Jablonski,whoscored
2106,Glenn Nyberg,whoscored
1163,Szymon Marciniak,whoscored
1359,István Kovács,whoscored
189,Jesús Gil Manzano,whoscored
739,Danny Makkelie,whoscored
3353,Irfan Peljto,whoscored
89,Michael Oliver,whoscored
2166,Espen Eskås,whoscored
983,Ivan Kruzliak,whoscored
99,Anthony Taylor,whoscored
4950,Urs Schnyder,whoscored
780,Chris Kavanagh,whoscored
2380,Luís Miguel Branco Godinho,whoscored
861,Benoît Bastien,whoscored
2665,Sandro Schärer,whoscored
3777,Simone Sozza,whoscored
1344,Aliyar Aghayev,whoscored
169,Ricardo de Burgos Bengoetxea,whoscored
1396,Tobias Stieler,whoscored
5085,Marian Barbu,whoscored
3770,Damian Sylwestrzak,whoscored
206,Juan Martínez Munuera,whoscored
3509,Igor Pajac,whoscored
986,Pawel Raczkowski,whoscored
460,Halil Umut Meler,whoscored
