whoscored_team_id,team_name,season,competition,data_source
37,Bayern,2025/26,Champions League,whoscored
15,Chelsea,2025/26,Champions League,whoscored
129,PSV Eindhoven,2025/26,Champions League,whoscored
304,PSG,2025/26,Champions League,whoscored
65,Barcelona,2025/26,Champions League,whoscored
124,Club Brugge,2025/26,Champions League,whoscored
299,Benfica,2025/26,Champions League,whoscored
13,Arsenal,2025/26,Champions League,whoscored
300,Atalanta,2025/26,Champions League,whoscored
296,Sporting,2025/26,Champions League,whoscored
130,Ajax,2025/26,Champions League,whoscored
26,Liverpool,2025/26,Champions League,whoscored
2647,Union St.Gilloise,2025/26,Champions League,whoscored
23,Newcastle,2025/26,Champions League,whoscored
2748,Pafos FC,2025/26,Champions League,whoscored
53,Athletic Club,2025/26,Champions League,whoscored
167,Man City,2025/26,Champions League,whoscored
36,Leverkusen,2025/26,Champions League,whoscored
75,Inter,2025/26,Champions League,whoscored
839,Villarreal,2025/26,Champions League,whoscored
44,Borussia Dortmund,2025/26,Champions League,whoscored
276,Napoli,2025/26,Champions League,whoscored
87,Juventus,2025/26,Champions League,whoscored
439,Bodoe/Glimt,2025/26,Champions League,whoscored
2569,Qarabag FK,2025/26,Champions League,whoscored
30,Tottenham,2025/26,Champions League,whoscored
52,Real Madrid,2025/26,Champions League,whoscored
294,Galatasaray,2025/26,Champions League,whoscored
248,Monaco,2025/26,Champions League,whoscored
10,Copenhagen,2025/26,Champions League,whoscored
63,Atletico,2025/26,Champions League,whoscored
45,Eintracht Frankfurt,2025/26,Champions League,whoscored
249,Marseille,2025/26,Champions League,whoscored
843,Olympiacos,2025/26,Champions League,whoscored
1770,Kairat Almaty,2025/26,Champions League,whoscored
349,Slavia Prague,2025/26,Champions League,whoscored
