team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
164,blackburn-rovers,2023,Blackburn Rovers,31367,31367,,,,,,,,,,Ewood Park,,,,Césped natural,,https://www.transfermarkt.es/blackburn-rovers/stadion/verein/164/saison_id/2023
180,fc-southampton,2023,Southampton FC,32384,32384,,,,,,,,Markus Liebherr,,St Mary's Stadium,,,"35,50 mill. €",Césped natural,,https://www.transfermarkt.es/fc-southampton/stadion/verein/180/saison_id/2023
289,afc-sunderland,2023,Sunderland AFC,48707,48707,,,,,,,,Sunderland Association Football Club,,Stadium of Light,,,"25,50 mill. €",Césped natural,,https://www.transfermarkt.es/afc-sunderland/stadion/verein/289/saison_id/2023
337,birmingham-city,2023,Birmingham City,29409,29409,,,,,,,,Birmingham City Football Club,,St. Andrew’s @ Knighthead Park,,,,Césped híbrido,,https://www.transfermarkt.es/birmingham-city/stadion/verein/337/saison_id/2023
399,leeds-united,2023,Leeds United,37890,37890,,,,,,,,Greenfield Investment Pte Ltd,,Elland Road,,,,Césped híbrido,,https://www.transfermarkt.es/leeds-united/stadion/verein/399/saison_id/2023
466,preston-north-end,2023,Preston North End,23408,23408,,,,,,,,,,Deepdale,,,,Césped natural,,https://www.transfermarkt.es/preston-north-end/stadion/verein/466/saison_id/2023
512,stoke-city,2023,Stoke City,30089,30089,,,,,,,,Stoke City Football Club,,bet365 Stadium,,,"21,50 mill. €",Césped natural,,https://www.transfermarkt.es/stoke-city/stadion/verein/512/saison_id/2023
603,cardiff-city,2023,Cardiff City,33280,33280,,,,,,,,Cardiff City Stadium Ltd,,Cardiff City Stadium,,,"55,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/cardiff-city/stadion/verein/603/saison_id/2023
641,fc-middlesbrough,2023,Middlesbrough FC,33746,33746,,,1,,,,,Middlesbrough FC,,Riverside Stadium,,,"18,50 mill. €",Césped natural,,https://www.transfermarkt.es/fc-middlesbrough/stadion/verein/641/saison_id/2023
677,ipswich-town,2023,Ipswich Town,30056,30056,,,,,,,,Suffolk County Council,,Portman Road,,,,Césped híbrido,,https://www.transfermarkt.es/ipswich-town/stadion/verein/677/saison_id/2023
698,bristol-city,2023,Bristol City,27000,27000,,,,,,,,,,Ashton Gate,,,,Césped híbrido,,https://www.transfermarkt.es/bristol-city/stadion/verein/698/saison_id/2023
984,west-bromwich-albion,2023,West Bromwich Albion,26850,26850,,,,,,,,West Bromwich Albion Football Club,,The Hawthorns,,,,Césped híbrido,,https://www.transfermarkt.es/west-bromwich-albion/stadion/verein/984/saison_id/2023
990,coventry-city,2023,Coventry City,32609,32609,,,,,,,,Frasers Group,,Coventry Building Society Arena,,,"100,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/coventry-city/stadion/verein/990/saison_id/2023
1003,leicester-city,2023,Leicester City,32259,32259,,,,,,,,K Power Holdings Co Ltd,,King Power Stadium,,,"42,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/leicester-city/stadion/verein/1003/saison_id/2023
1010,fc-watford,2023,Watford FC,21577,21577,,,,,,,,Watford Football Club,,Vicarage Road,,,,Césped híbrido,,https://www.transfermarkt.es/fc-watford/stadion/verein/1010/saison_id/2023
1028,fc-millwall,2023,Millwall FC,20146,20146,,,,,,,,,,The Den,,,,Césped híbrido,,https://www.transfermarkt.es/fc-millwall/stadion/verein/1028/saison_id/2023
1035,sheffield-wednesday,2023,Sheffield Wednesday,39859,39859,,,,,,,,Sheffield Wednesday F.C. Ltd,,Hillsborough,,,,Césped híbrido,,https://www.transfermarkt.es/sheffield-wednesday/stadion/verein/1035/saison_id/2023
1039,queens-park-rangers,2023,Queens Park Rangers,18360,18360,,,17,,,,,Queens Park Rangers Football & Athletic Club Ltd,,Loftus Road Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/queens-park-rangers/stadion/verein/1039/saison_id/2023
1110,huddersfield-town,2023,Huddersfield Town,24500,24500,,,,,,,,Stadionkonsortium Huddersfield,,Accu Stadium,,,,Césped natural,,https://www.transfermarkt.es/huddersfield-town/stadion/verein/1110/saison_id/2023
1123,norwich-city,2023,Norwich City,27244,27244,,,,,,,,,,Carrow Road,,,,Césped híbrido,,https://www.transfermarkt.es/norwich-city/stadion/verein/1123/saison_id/2023
1194,rotherham-united,2023,Rotherham United,12000,12000,,,,,,,,Rotherham United FC,,New York Stadium,,,"21,00 mill. €",Césped natural,,https://www.transfermarkt.es/rotherham-united/stadion/verein/1194/saison_id/2023
2262,plymouth-argyle,2023,Plymouth Argyle,18173,18173,,,,,,,,Plymouth Argyle FC,,Home Park,,,,Césped híbrido,,https://www.transfermarkt.es/plymouth-argyle/stadion/verein/2262/saison_id/2023
2288,swansea-city,2023,Swansea City,21088,21088,,,,,,,,Swansea City FC,,Swansea.com Stadium,,,"40,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/swansea-city/stadion/verein/2288/saison_id/2023
3008,hull-city,2023,Hull City,25586,25586,,,,,,,,Hull City Council,,MKM Stadium,,,"65,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/hull-city/stadion/verein/3008/saison_id/2023
