team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
133,sc-cambuur-leeuwarden,2021,SC Cambuur Leeuwarden,14504,14504,,,18,,,,,Cambuur Leeuwarden,,Kooi Stadion,,,,Césped híbrido,,https://www.transfermarkt.es/sc-cambuur-leeuwarden/stadion/verein/133/saison_id/2021
200,fc-utrecht,2021,FC Utrecht,23750,23750,,,,,,,,,,"Stadion ""Galgenwaard""",,,,Césped natural,,https://www.transfermarkt.es/fc-utrecht/stadion/verein/200/saison_id/2021
202,fc-groningen,2021,FC Groningen,22550,22550,,,43,,,,,FC Groningen,,Euroborg,,,"29,40 mill. €",Césped natural,,https://www.transfermarkt.es/fc-groningen/stadion/verein/202/saison_id/2021
234,feyenoord-rotterdam,2021,Feyenoord,47500,51117,,,41,,,,,Stadion Feijenoord N.V.,,"Stadion Feyenoord ""De Kuip""",,,,Césped natural,,https://www.transfermarkt.es/feyenoord-rotterdam/stadion/verein/234/saison_id/2021
235,rkc-waalwijk,2021,RKC Waalwijk,7186,7186,,,,,,,,,,Mandemakers Stadion,,,,Césped natural,,https://www.transfermarkt.es/rkc-waalwijk/stadion/verein/235/saison_id/2021
306,sc-heerenveen,2021,SC Heerenveen,27224,26100,,,,,,,,Sportstad Heerenveen,,Abe Lenstra Stadion,,,,Césped híbrido,,https://www.transfermarkt.es/sc-heerenveen/stadion/verein/306/saison_id/2021
317,fc-twente-enschede,2021,FC Twente Enschede,30205,30205,,,125,,,,,FC Twente,,De Grolsch Veste,,,"33,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-twente-enschede/stadion/verein/317/saison_id/2021
383,psv-eindhoven,2021,PSV Eindhoven,35000,35000,,,46,,,,,PSV Eindhoven,,Philips Stadion,,,,Césped natural,,https://www.transfermarkt.es/psv-eindhoven/stadion/verein/383/saison_id/2021
385,fortuna-sittard,2021,Fortuna Sittard,12800,12800,,,14,,,,,Fortuna Sittard,,Fortuna Sittard Stadion,,,,Césped híbrido,,https://www.transfermarkt.es/fortuna-sittard/stadion/verein/385/saison_id/2021
403,willem-ii-tilburg,2021,Willem II Tilburg,14700,14700,,,,,,,,,,Koning Willem II Stadion,,,,Césped natural,,https://www.transfermarkt.es/willem-ii-tilburg/stadion/verein/403/saison_id/2021
467,nec-nijmegen,2021,NEC Nijmegen,12650,12650,,,,,,,,NEC Nijmegen,,Goffertstadion,,,,Césped natural,,https://www.transfermarkt.es/nec-nijmegen/stadion/verein/467/saison_id/2021
468,sparta-rotterdam,2021,Sparta Rotterdam,10599,10599,,,,,,,,,,Sparta-stadion - Het Kasteel,,,,Césped natural,,https://www.transfermarkt.es/sparta-rotterdam/stadion/verein/468/saison_id/2021
499,vitesse-arnheim,2021,Vitesse Arnhem,21248,21248,,,,,,,,Nedstede Groep,,GelreDome,,,"70,00 mill. €",Césped natural,,https://www.transfermarkt.es/vitesse-arnheim/stadion/verein/499/saison_id/2021
610,ajax-amsterdam,2021,Ajax de Ámsterdam,55885,55885,,,,,,,,Stad Amsterdam,,Johan Cruijff ArenA,,,"96,00 mill. €",Césped natural,,https://www.transfermarkt.es/ajax-amsterdam/stadion/verein/610/saison_id/2021
1090,az-alkmaar,2021,AZ Alkmaar,19500,19500,,,56,,,,,AZ Alkmaar,,AFAS Stadion,,,"38,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/az-alkmaar/stadion/verein/1090/saison_id/2021
1269,pec-zwolle,2021,PEC Zwolle,14000,14000,,,,,,,,,,MAC³PARK stadion,,,,Césped natural,,https://www.transfermarkt.es/pec-zwolle/stadion/verein/1269/saison_id/2021
1304,heracles-almelo,2021,Heracles Almelo,12242,12242,,,,,,,,Gemeente Almelo,,Asito Stadion,,,,Césped híbrido,,https://www.transfermarkt.es/heracles-almelo/stadion/verein/1304/saison_id/2021
1435,go-ahead-eagles-deventer,2021,Go Ahead Eagles Deventer,10400,7900,,,,,,,,,,De Adelaarshorst,,,,Césped natural,,https://www.transfermarkt.es/go-ahead-eagles-deventer/stadion/verein/1435/saison_id/2021
