team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
132,nac-breda,2024,Rat Verlegh Stadion,20500,20500,,,,,,1996,,Gemeente Breda,,Rat Verlegh Stadion,,,"13,20 mill. €",Césped natural,,https://www.transfermarkt.es/nac-breda/stadion/verein/132/saison_id/2024,"FUJIFILM Stadion (1996-2003)
MyCom Stadion (2003-2006)",,,,,,True,False,
200,fc-utrecht,2024,"Stadion ""Galgenwaard""",23750,23750,,,,,,1936,,,,"Stadion ""Galgenwaard""",,,,Césped natural,,https://www.transfermarkt.es/fc-utrecht/stadion/verein/200/saison_id/2024,,,105,68,,,False,False,
202,fc-groningen,2024,Euroborg,22550,22550,,,43,,,2006,,FC Groningen,,Euroborg,,,"29,40 mill. €",Césped natural,,https://www.transfermarkt.es/fc-groningen/stadion/verein/202/saison_id/2024,"Euroborg (2006-2016)
Noordlease Stadion (2016-2018)
Hitachi Capital Mobility Stadion (2018-2021)",,105,68,,,True,False,
234,feyenoord-rotterdam,2024,"Stadion Feyenoord ""De Kuip""",47500,51117,,,41,,,1937,,Stadion Feijenoord N.V.,,"Stadion Feyenoord ""De Kuip""",,,,Césped natural,,https://www.transfermarkt.es/feyenoord-rotterdam/stadion/verein/234/saison_id/2024,"Stadion Feijenoord, De Kuip",,105,68,Stadion Feijenoord N.V.,,True,False,
235,rkc-waalwijk,2024,Mandemakers Stadion,7186,7186,,,,,,1996,,,,Mandemakers Stadion,,,,Césped natural,,https://www.transfermarkt.es/rkc-waalwijk/stadion/verein/235/saison_id/2024,Sportpark Olympia (1996-2000),,,,Mandemakers Keukens,,True,False,
306,sc-heerenveen,2024,Abe Lenstra Stadion,27224,26100,,,,,,1994,,Sportstad Heerenveen,,Abe Lenstra Stadion,,,,Césped híbrido,,https://www.transfermarkt.es/sc-heerenveen/stadion/verein/306/saison_id/2024,,,105,68,,,True,False,
317,fc-twente-enschede,2024,De Grolsch Veste,30205,30205,,,125,,,1998,,FC Twente,,De Grolsch Veste,,,"33,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-twente-enschede/stadion/verein/317/saison_id/2024,Arke Stadion (1998-2008),,105,68,Grolsch Veste,,True,False,
383,psv-eindhoven,2024,Philips Stadion,35000,35000,,,46,,,1913,,PSV Eindhoven,,Philips Stadion,,,,Césped natural,,https://www.transfermarkt.es/psv-eindhoven/stadion/verein/383/saison_id/2024,Philips Sportpark,,105,70,Philips,,True,False,
385,fortuna-sittard,2024,Fortuna Sittard Stadion,12800,12800,,,14,,,1999,,Fortuna Sittard,,Fortuna Sittard Stadion,,,,Césped híbrido,,https://www.transfermarkt.es/fortuna-sittard/stadion/verein/385/saison_id/2024,"Wagner & Partners Stadion, Fortuna Stadion (2008-11/2009), Trendwork Arena (12/2009-9/2013), Offermans Joosten Stadion (12/2013 - 6/2014)",,,,,,True,False,
403,willem-ii-tilburg,2024,Koning Willem II Stadion,14700,14700,,,,,,1920,,,,Koning Willem II Stadion,,,,Césped natural,,https://www.transfermarkt.es/willem-ii-tilburg/stadion/verein/403/saison_id/2024,"Tilburgsch Sportpark (1920-1946), Gemeentelijk Sportpark Tilburg (1946-1995), Willem II Stadion (1995-2009)",,105,68,,,False,False,
467,nec-nijmegen,2024,Goffertstadion,12650,12650,,,,,,1939,,NEC Nijmegen,,Goffertstadion,,,,Césped natural,,https://www.transfermarkt.es/nec-nijmegen/stadion/verein/467/saison_id/2024,"De Goffert
McDOS Goffertstadion (2005-2011)",,105,68,,,False,False,
468,sparta-rotterdam,2024,Sparta-stadion - Het Kasteel,10599,10599,,,,,,1916,,,,Sparta-stadion - Het Kasteel,,,,Césped natural,,https://www.transfermarkt.es/sparta-rotterdam/stadion/verein/468/saison_id/2024,ENECO Stadion,,105,68,,,False,False,
610,ajax-amsterdam,2024,Johan Cruijff ArenA,55885,55885,,,,,,1996,,Stad Amsterdam,,Johan Cruijff ArenA,,,"96,00 mill. €",Césped natural,,https://www.transfermarkt.es/ajax-amsterdam/stadion/verein/610/saison_id/2024,Amsterdam ArenA,,105,68,,,True,False,
723,almere-city-fc,2024,Yanmar Stadion,4501,4200,,,,,,2005,,,,Yanmar Stadion,,,,Césped natural,,https://www.transfermarkt.es/almere-city-fc/stadion/verein/723/saison_id/2024,"Fanny-Blankers-Koen-Stadion, Mitsubishi Forklift Stadion (-2013), Almere City Stadion (-01.07.2015)",,,,YANMAR Europe B.V.,,False,False,
1090,az-alkmaar,2024,AFAS Stadion,19500,19500,,,56,,,2006,,AZ Alkmaar,,AFAS Stadion,,,"38,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/az-alkmaar/stadion/verein/1090/saison_id/2024,"DSB Stadion (2006-2009)
AZ-Stadion (2009–2010)",,105,68,AFAS,,True,False,
