match_id_ss,player_id_ss,player_name,team_id_ss,event_type,minute,second,x,y,end_x,end_y,outcome,data_source
14028550,,,,period,90,,,,,,,sofascore
14028550,922018.0,Peer Koopmeiners,,goal,90,,,,,,regular,sofascore
14028550,,,,injuryTime,90,,,,,,,sofascore
14028550,,,,substitution,83,,,,,,regular,sofascore
14028550,,,,substitution,80,,,,,,regular,sofascore
14028550,,,,substitution,80,,,,,,regular,sofascore
14028550,,,,substitution,79,,,,,,regular,sofascore
14028550,,,,substitution,79,,,,,,regular,sofascore
14028550,,,,substitution,71,,,,,,regular,sofascore
14028550,,,,substitution,71,,,,,,regular,sofascore
14028550,,,,substitution,69,,,,,,regular,sofascore
14028550,,,,substitution,60,,,,,,regular,sofascore
14028550,804901.0,Sam Lammers,,goal,55,,,,,,regular,sofascore
14028550,,,,period,45,,,,,,,sofascore
14028550,1145999.0,Rome Jayden Owusu-Oduro,,goal,32,,,,,,ownGoal,sofascore
14028550,116946.0,Jordy Clasie,,goal,13,,,,,,regular,sofascore
16115678,,,,period,90,,,,,,,sofascore
16115678,,,,injuryTime,90,,,,,,,sofascore
16115678,,,,substitution,86,,,,,,regular,sofascore
16115678,36781.0,Michiel Kramer,,card,83,,,,,,yellow,sofascore
16115678,1083404.0,Samuel Bamba,,card,83,,,,,,yellow,sofascore
16115678,,,,substitution,81,,,,,,regular,sofascore
16115678,,,,substitution,75,,,,,,regular,sofascore
16115678,,,,substitution,75,,,,,,regular,sofascore
16115678,,,,substitution,75,,,,,,injury,sofascore
16115678,,,,substitution,70,,,,,,regular,sofascore
16115678,825849.0,Godfried Roemeratoe,,goal,63,,,,,,ownGoal,sofascore
16115678,1475512.0,Jesper Uneken,,card,60,,,,,,yellowRed,sofascore
16115678,1475512.0,Jesper Uneken,,card,55,,,,,,yellow,sofascore
16115678,1146005.0,Loek Postma,,card,46,,,,,,yellow,sofascore
16115678,,,,substitution,46,,,,,,regular,sofascore
16115678,,,,substitution,46,,,,,,regular,sofascore
16115678,,,,period,45,,,,,,,sofascore
16115678,,,,injuryTime,45,,,,,,,sofascore
16115794,,,,period,90,,,,,,,sofascore
16115794,,,,injuryTime,90,,,,,,,sofascore
16115794,,,,substitution,89,,,,,,regular,sofascore
16115794,,,,substitution,85,,,,,,regular,sofascore
16115794,,,,substitution,85,,,,,,regular,sofascore
16115794,,,,substitution,81,,,,,,regular,sofascore
16115794,1887071.0,Emanuel Poku,,goal,77,,,,,,regular,sofascore
16115794,,,,substitution,71,,,,,,regular,sofascore
16115794,,,,substitution,71,,,,,,regular,sofascore
16115794,,,,substitution,71,,,,,,regular,sofascore
16115794,1648769.0,Marley  Dors,,goal,58,,,,,,regular,sofascore
16115794,,,,substitution,46,,,,,,regular,sofascore
16115794,,,,substitution,46,,,,,,regular,sofascore
16115794,,,,period,45,,,,,,,sofascore
16115794,1012924.0,Fedde De Jong,,goal,45,,,,,,regular,sofascore
16115794,,,,injuryTime,45,,,,,,,sofascore
16115794,1887071.0,Emanuel Poku,,goal,32,,,,,,regular,sofascore
16115794,,,,substitution,27,,,,,,injury,sofascore
16115797,,,,period,90,,,,,,,sofascore
16115797,36781.0,Michiel Kramer,,card,90,,,,,,yellow,sofascore
16115797,,,,injuryTime,90,,,,,,,sofascore
16115797,1084944.0,Calvin Twigt,,card,87,,,,,,yellow,sofascore
16115797,1477353.0,Nazjir Held,,card,84,,,,,,yellow,sofascore
16115797,,,,substitution,82,,,,,,regular,sofascore
16115797,,,,substitution,82,,,,,,regular,sofascore
16115797,,,,substitution,77,,,,,,regular,sofascore
16115797,,,,substitution,77,,,,,,regular,sofascore
16115797,876257.0,Daniel Van Kaam,,card,76,,,,,,yellow,sofascore
16115797,,,,substitution,71,,,,,,regular,sofascore
16115797,,,,substitution,71,,,,,,regular,sofascore
16115797,,,,substitution,71,,,,,,regular,sofascore
16115797,1146005.0,Loek Postma,,card,64,,,,,,yellow,sofascore
16115797,138830.0,Jean-Paul Boëtius,,goal,59,,,,,,regular,sofascore
16115797,1440801.0,Gijs Besselink,,card,51,,,,,,yellow,sofascore
16115797,539294.0,Mounir El Allouchi,,goal,46,,,,,,regular,sofascore
16115797,,,,substitution,46,,,,,,regular,sofascore
16115797,,,,period,45,,,,,,,sofascore
16115796,,,,period,90,,,,,,,sofascore
16115796,1405763.0,Teun Gijselhart,,card,90,,,,,,yellow,sofascore
16115796,2004127.0,Kyano Kwint,,goal,90,,,,,,regular,sofascore
16115796,,,,injuryTime,90,,,,,,,sofascore
16115796,1392464.0,Rowan Besselink,,card,84,,,,,,red,sofascore
16115796,,,,substitution,83,,,,,,regular,sofascore
16115796,,,,substitution,80,,,,,,regular,sofascore
16115796,,,,substitution,80,,,,,,regular,sofascore
16115796,,,,substitution,77,,,,,,regular,sofascore
16115796,,,,substitution,74,,,,,,regular,sofascore
16115796,,,,substitution,74,,,,,,regular,sofascore
16115796,,,,substitution,74,,,,,,regular,sofascore
16115796,,,,substitution,69,,,,,,regular,sofascore
16115796,,,,substitution,69,,,,,,regular,sofascore
16115796,825836.0,Boyd Reith,,card,68,,,,,,yellow,sofascore
16115796,1120949.0,Milan de Haan,,goal,62,,,,,,regular,sofascore
16115796,1539611.0,Hamza El Dahri,,card,61,,,,,,yellow,sofascore
16115796,,,,substitution,59,,,,,,injury,sofascore
16115796,,,,substitution,58,,,,,,regular,sofascore
16115796,1392464.0,Rowan Besselink,,goal,48,,,,,,regular,sofascore
16115796,,,,substitution,46,,,,,,regular,sofascore
16115796,,,,period,45,,,,,,,sofascore
16115796,,,,injuryTime,45,,,,,,,sofascore
16115796,893741.0,Ferdy Druijf,,goal,36,,,,,,regular,sofascore
16115796,893744.0,Jamie Jacobs,,card,2,,,,,,yellow,sofascore
14028546,,,,period,90,,,,,,,sofascore
14028546,,,,injuryTime,90,,,,,,,sofascore
14028546,860161.0,Alex Plat,,card,80,,,,,,yellow,sofascore
14028546,,,,substitution,80,,,,,,injury,sofascore
14028546,313264.0,Henk Veerman,,card,78,,,,,,yellow,sofascore
14028546,991039.0,Adam Carlén,,card,75,,,,,,yellow,sofascore
14028546,,,,substitution,72,,,,,,regular,sofascore
14028546,,,,substitution,71,,,,,,regular,sofascore
14028546,,,,substitution,71,,,,,,regular,sofascore
14028546,,,,substitution,68,,,,,,regular,sofascore
14028546,,,,substitution,62,,,,,,regular,sofascore
14028546,,,,substitution,62,,,,,,regular,sofascore
14028546,,,,substitution,61,,,,,,regular,sofascore
14028546,,,,period,45,,,,,,,sofascore
14028546,,,,injuryTime,45,,,,,,,sofascore
14028546,1523582.0,Nick Verschuren,,card,43,,,,,,yellow,sofascore
14028546,1095753.0,Gibson Yah,,goal,38,,,,,,ownGoal,sofascore
14028546,1520752.0,Benjamin Pauwels,,goal,2,,,,,,regular,sofascore
14028556,,,,period,90,,,,,,,sofascore
14028556,998999.0,Luka Kulenović,,card,90,,,,,,red,sofascore
14028556,998999.0,Luka Kulenović,,varDecision,90,,,,,,cardUpgrade,sofascore
14028556,,,,injuryTime,90,,,,,,,sofascore
14028556,,,,substitution,85,,,,,,regular,sofascore
14028556,860158.0,Kay Tejan,,card,82,,,,,,yellow,sofascore
14028556,,,,substitution,80,,,,,,regular,sofascore
14028556,,,,substitution,80,,,,,,regular,sofascore
14028556,,,,substitution,80,,,,,,regular,sofascore
14028556,385300.0,Jeff Hardeveld,,goal,77,,,,,,regular,sofascore
14028556,1469336.0,Tyrese Noslin,,goal,72,,,,,,regular,sofascore
14028556,1047396.0,Guus Offerhaus,,goal,70,,,,,,regular,sofascore
