id_sofascore,match_date,competition,season,home_team_id_ss,away_team_id_ss,home_team_name,away_team_name,home_score,away_score,attendance,data_source
14028550,2026-05-03,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2950,2955,AZ Alkmaar,FC Twente,2.0,2.0,,sofascore
16115678,2026-05-05,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2956,2961,RKC Waalwijk,Willem II Tilburg,0.0,1.0,,sofascore
16115794,2026-05-06,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2990,2949,Almere City FC,De Graafschap,3.0,1.0,,sofascore
16115797,2026-05-09,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2961,2956,Willem II Tilburg,RKC Waalwijk,1.0,1.0,,sofascore
16115796,2026-05-09,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2949,2990,De Graafschap,Almere City FC,2.0,2.0,,sofascore
14028546,2026-05-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2967,2968,Excelsior,FC Volendam,1.0,1.0,,sofascore
14028556,2026-05-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2972,2977,SC Telstar,Heracles Almelo,3.0,0.0,,sofascore
14028533,2026-05-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2957,2971,Fortuna Sittard,PEC Zwolle,3.0,2.0,,sofascore
14028544,2026-05-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2951,2962,FC Groningen,NEC Nijmegen,2.0,1.0,,sofascore
14028554,2026-05-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2955,2960,FC Twente,Sparta Rotterdam,4.0,0.0,,sofascore
14028558,2026-05-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2959,2950,Feyenoord,AZ Alkmaar,1.0,1.0,,sofascore
14028548,2026-05-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2979,2952,Go Ahead Eagles,PSV Eindhoven,1.0,4.0,,sofascore
14028534,2026-05-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2953,2948,AFC Ajax,FC Utrecht,1.0,2.0,,sofascore
14028555,2026-05-11,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2947,2964,NAC Breda,SC Heerenveen,2.0,0.0,,sofascore
16157212,2026-05-13,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2990,2961,Almere City FC,Willem II Tilburg,0.0,1.0,,sofascore
16157213,2026-05-16,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2961,2990,Willem II Tilburg,Almere City FC,2.0,0.0,,sofascore
14028531,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2968,2972,FC Volendam,SC Telstar,1.0,2.0,,sofascore
14028559,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2977,2951,Heracles Almelo,FC Groningen,1.0,2.0,,sofascore
14028557,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2960,2967,Sparta Rotterdam,Excelsior,2.0,3.0,,sofascore
14028528,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2948,2957,FC Utrecht,Fortuna Sittard,2.0,0.0,,sofascore
14028561,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2962,2979,NEC Nijmegen,Go Ahead Eagles,2.0,1.0,,sofascore
14028526,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2950,2947,AZ Alkmaar,NAC Breda,3.0,3.0,,sofascore
14028529,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2971,2959,PEC Zwolle,Feyenoord,0.0,2.0,,sofascore
14028525,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2964,2953,SC Heerenveen,AFC Ajax,0.0,0.0,,sofascore
14028530,2026-05-17,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2952,2955,PSV Eindhoven,FC Twente,5.0,1.0,,sofascore
16195914,2026-05-20,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2961,2968,Willem II Tilburg,FC Volendam,1.0,2.0,,sofascore
16196423,2026-05-21,"VriendenLoterij Eredivisie, Europa Playoffs",VriendenLoterij Eredivisie 25/26,2953,2951,AFC Ajax,FC Groningen,2.0,0.0,,sofascore
16196426,2026-05-21,"VriendenLoterij Eredivisie, Europa Playoffs",VriendenLoterij Eredivisie 25/26,2948,2964,FC Utrecht,SC Heerenveen,3.0,2.0,,sofascore
16195916,2026-05-23,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2968,2961,FC Volendam,Willem II Tilburg,5.0,7.0,,sofascore
16216345,2026-05-24,"VriendenLoterij Eredivisie, Europa Playoffs",VriendenLoterij Eredivisie 25/26,2953,2948,AFC Ajax,FC Utrecht,5.0,4.0,,sofascore
14053807,2026-04-10,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2955,2968,FC Twente,FC Volendam,2.0,1.0,,sofascore
14053795,2026-04-11,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2948,2972,FC Utrecht,SC Telstar,4.0,1.0,,sofascore
14053789,2026-04-11,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2960,2952,Sparta Rotterdam,PSV Eindhoven,0.0,2.0,,sofascore
14053792,2026-04-11,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2951,2979,FC Groningen,Go Ahead Eagles,0.0,0.0,,sofascore
14053785,2026-04-11,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2977,2953,Heracles Almelo,AFC Ajax,0.0,3.0,,sofascore
14053798,2026-04-12,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2957,2947,Fortuna Sittard,NAC Breda,1.0,1.0,,sofascore
14053782,2026-04-12,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2971,2967,PEC Zwolle,Excelsior,2.0,2.0,,sofascore
14053801,2026-04-12,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2962,2959,NEC Nijmegen,Feyenoord,1.0,1.0,,sofascore
14053804,2026-04-12,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2950,2964,AZ Alkmaar,SC Heerenveen,3.0,0.0,,sofascore
14028536,2026-04-22,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2972,2960,SC Telstar,Sparta Rotterdam,4.0,1.0,,sofascore
14028543,2026-04-23,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2979,2950,Go Ahead Eagles,AZ Alkmaar,0.0,0.0,,sofascore
14028551,2026-04-23,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2952,2971,PSV Eindhoven,PEC Zwolle,6.0,1.0,,sofascore
14028532,2026-04-25,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2959,2951,Feyenoord,FC Groningen,3.0,1.0,,sofascore
14028542,2026-04-25,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2964,2957,SC Heerenveen,Fortuna Sittard,2.0,1.0,,sofascore
14028527,2026-04-25,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2947,2953,NAC Breda,AFC Ajax,0.0,2.0,,sofascore
14028538,2026-04-25,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2955,2962,FC Twente,NEC Nijmegen,1.0,1.0,,sofascore
14028547,2026-04-26,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2967,2948,Excelsior,FC Utrecht,5.0,0.0,,sofascore
14028535,2026-04-26,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2977,2968,Heracles Almelo,FC Volendam,0.0,2.0,,sofascore
16072779,2026-04-28,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2954,2956,Roda JC Kerkrade,RKC Waalwijk,1.0,1.0,,sofascore
16072839,2026-04-29,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2963,2990,FC Den Bosch,Almere City FC,2.0,3.0,,sofascore
16072837,2026-05-01,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2956,2954,RKC Waalwijk,Roda JC Kerkrade,4.0,2.0,,sofascore
16074271,2026-05-02,Keuken Kampioen Playoffs,VriendenLoterij Eredivisie 25/26,2990,2963,Almere City FC,FC Den Bosch,3.0,0.0,,sofascore
14028549,2026-05-02,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2948,2947,FC Utrecht,NAC Breda,2.0,0.0,,sofascore
14028540,2026-05-02,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2951,2967,FC Groningen,Excelsior,2.0,3.0,,sofascore
14028539,2026-05-02,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2953,2952,AFC Ajax,PSV Eindhoven,2.0,2.0,,sofascore
14028537,2026-05-02,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2962,2972,NEC Nijmegen,SC Telstar,1.0,1.0,,sofascore
14028552,2026-05-03,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2968,2964,FC Volendam,SC Heerenveen,0.0,2.0,,sofascore
14028553,2026-05-03,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2971,2977,PEC Zwolle,Heracles Almelo,1.0,0.0,,sofascore
14028545,2026-05-03,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2957,2959,Fortuna Sittard,Feyenoord,1.0,2.0,,sofascore
14028541,2026-05-03,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2960,2979,Sparta Rotterdam,Go Ahead Eagles,2.0,2.0,,sofascore
14053675,2026-03-08,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2979,2955,Go Ahead Eagles,FC Twente,1.0,4.0,,sofascore
14053684,2026-03-08,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2947,2959,NAC Breda,Feyenoord,3.0,3.0,,sofascore
14053672,2026-03-08,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2962,2968,NEC Nijmegen,FC Volendam,3.0,0.0,,sofascore
14053719,2026-03-13,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2971,2951,PEC Zwolle,FC Groningen,1.0,1.0,,sofascore
14053703,2026-03-14,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2968,2957,FC Volendam,Fortuna Sittard,1.0,2.0,,sofascore
14053716,2026-03-14,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2952,2962,PSV Eindhoven,NEC Nijmegen,2.0,3.0,,sofascore
14053722,2026-03-14,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2964,2972,SC Heerenveen,SC Telstar,3.0,0.0,,sofascore
14053706,2026-03-14,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2953,2960,AFC Ajax,Sparta Rotterdam,4.0,0.0,,sofascore
14053709,2026-03-15,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2955,2948,FC Twente,FC Utrecht,0.0,2.0,,sofascore
14053700,2026-03-15,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2950,2977,AZ Alkmaar,Heracles Almelo,4.0,0.0,,sofascore
14053697,2026-03-15,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2959,2967,Feyenoord,Excelsior,2.0,1.0,,sofascore
14053712,2026-03-15,VriendenLoterij Eredivisie,VriendenLoterij Eredivisie 25/26,2979,2947,Go Ahead Eagles,NAC Breda,6.0,0.0,,sofascore
