match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
14028525,1015627,Jacob Trenskow,,90,15.3,69.1,0.0167,miss,right-foot,corner,sofascore
14028525,1597274,Maher Carrizo,,90,15.7,29.9,0.0328,save,left-foot,fast-break,sofascore
14028525,1120315,Anton Gaaei,,89,15.3,69.3,0.0558,miss,right-foot,regular,sofascore
14028525,1000228,Youri Baas,,87,12.0,45.2,0.0213,miss,head,corner,sofascore
14028525,1597274,Maher Carrizo,,86,15.1,51.7,0.0644,block,right-foot,regular,sofascore
14028525,1597274,Maher Carrizo,,86,15.0,53.8,0.0549,block,left-foot,regular,sofascore
14028525,1597274,Maher Carrizo,,85,14.3,54.8,0.2239,save,left-foot,assisted,sofascore
14028525,1015627,Jacob Trenskow,,83,13.9,48.1,0.0768,miss,right-foot,assisted,sofascore
14028525,825843,Dylan Vente,,82,2.3,47.3,0.495,save,right-foot,corner,sofascore
14028525,992018,Ringo Meerveld,,82,3.1,50.9,0.3559,save,right-foot,corner,sofascore
14028525,996986,Luca Oyen,,81,9.2,32.9,0.075,block,right-foot,assisted,sofascore
14028525,795761,Kasper Dolberg,,80,18.4,47.2,0.0759,save,right-foot,assisted,sofascore
14028525,1150061,Oliver Braude,,79,27.4,66.2,0.0148,miss,right-foot,assisted,sofascore
14028525,1015627,Jacob Trenskow,,74,8.3,51.3,0.2401,miss,left-foot,assisted,sofascore
14028525,1859920,Sean Steur,,72,20.1,59.6,0.0354,save,left-foot,corner,sofascore
14028525,1149146,Mika Godts,,72,9.9,37.8,0.0897,block,left-foot,assisted,sofascore
14028525,1403090,Rayane Bounida,,71,12.9,66.2,0.0425,block,left-foot,assisted,sofascore
14028525,1120315,Anton Gaaei,,67,23.8,41.2,0.0553,block,right-foot,free-kick,sofascore
14028525,100386,Steven Berghuis,,65,18.8,65.4,0.0365,miss,left-foot,assisted,sofascore
14028525,1563462,Jorthy Mokio,,63,4.0,60.9,0.0529,miss,head,corner,sofascore
14028525,825843,Dylan Vente,,62,5.4,72.4,0.0302,save,right-foot,assisted,sofascore
14028525,252215,Wout Weghorst,,56,9.5,46.6,0.0721,miss,head,assisted,sofascore
14028525,847072,Sam Kersten,,54,5.1,66.4,0.0738,miss,right-foot,assisted,sofascore
14028525,1015627,Jacob Trenskow,,49,20.6,63.0,0.0431,block,left-foot,corner,sofascore
14028525,825843,Dylan Vente,,48,9.7,47.9,0.0844,block,left-foot,assisted,sofascore
14028525,100386,Steven Berghuis,,47,22.9,47.2,0.0344,miss,left-foot,assisted,sofascore
14028525,1120315,Anton Gaaei,,45,22.9,75.6,0.0219,miss,right-foot,assisted,sofascore
14028525,1859920,Sean Steur,,42,21.2,57.5,0.0549,miss,right-foot,assisted,sofascore
14028525,1859920,Sean Steur,,40,10.5,60.7,0.1468,miss,left-foot,assisted,sofascore
14028525,252215,Wout Weghorst,,39,6.9,71.6,0.0269,miss,right-foot,assisted,sofascore
14028525,1120315,Anton Gaaei,,37,20.6,73.5,0.0199,save,right-foot,assisted,sofascore
14028525,970860,Lucas Rosa,,37,22.6,48.6,0.0332,block,right-foot,corner,sofascore
14028525,992018,Ringo Meerveld,,31,23.8,25.0,0.0144,miss,right-foot,assisted,sofascore
14028525,252215,Wout Weghorst,,23,7.6,48.5,0.1096,miss,head,assisted,sofascore
14028525,825843,Dylan Vente,,21,17.5,63.2,0.0326,save,right-foot,assisted,sofascore
14028525,996986,Luca Oyen,,14,14.2,56.2,0.1145,save,right-foot,corner,sofascore
14028525,1015627,Jacob Trenskow,,12,23.5,48.5,0.0191,block,left-foot,corner,sofascore
14028525,1015627,Jacob Trenskow,,6,21.2,45.2,0.0691,save,left-foot,assisted,sofascore
14028525,1859920,Sean Steur,,3,8.0,60.5,0.1691,save,right-foot,assisted,sofascore
14028526,1130306,Jayden Candelaria,,90,19.8,32.3,0.0456,miss,left-foot,assisted,sofascore
14028526,1004278,Alexandre Penetra,,90,8.3,52.9,0.1012,miss,head,corner,sofascore
14028526,1153117,Mexx Meerdink,,90,21.9,32.7,0.0259,miss,left-foot,regular,sofascore
14028526,1153117,Mexx Meerdink,,90,16.2,64.0,0.0706,goal,right-foot,assisted,sofascore
14028526,1149147,Juho Talvitie,,89,17.6,70.8,0.017,goal,left-foot,assisted,sofascore
14028526,1648756,Ayoub Oufkir,,84,5.0,34.2,0.1331,save,left-foot,assisted,sofascore
14028526,980671,Sven Mijnans,,84,10.2,51.5,0.1655,miss,left-foot,regular,sofascore
14028526,27035,André Ayew,,72,14.3,71.2,0.0476,save,left-foot,fast-break,sofascore
14028526,1461935,Moussa Soumano,,71,22.3,42.7,0.045,goal,right-foot,assisted,sofascore
14028526,1012927,Rio Hillen,,63,17.8,47.2,0.0401,miss,left-foot,assisted,sofascore
14028526,1461935,Moussa Soumano,,61,5.6,49.8,0.4982,goal,head,assisted,sofascore
14028526,922018,Peer Koopmeiners,,59,14.4,39.4,0.1035,block,left-foot,regular,sofascore
14028526,1148468,Weslley Patati,,59,14.4,64.3,0.0347,save,left-foot,assisted,sofascore
14028526,116946,Jordy Clasie,,57,20.8,53.4,0.0166,post,right-foot,corner,sofascore
14028526,336811,Clint Leemans,,52,20.3,45.0,0.0476,save,left-foot,assisted,sofascore
14028526,1461935,Moussa Soumano,,50,13.8,58.8,0.0548,save,right-foot,assisted,sofascore
14028526,1153117,Mexx Meerdink,,48,27.7,57.0,0.0199,save,left-foot,assisted,sofascore
14028526,980671,Sven Mijnans,,45,25.2,46.9,0.0434,block,left-foot,assisted,sofascore
14028526,336811,Clint Leemans,,34,18.7,50.1,0.0447,block,left-foot,regular,sofascore
14028526,1386461,Elijah Dijkstra,,33,8.6,53.4,0.1304,save,head,assisted,sofascore
14028526,927440,Kamal Sowah,,31,19.4,52.1,0.0575,save,left-foot,assisted,sofascore
14028526,1145989,Ro-Zangelo Daal,,29,9.1,42.4,0.0981,save,left-foot,assisted,sofascore
14028526,2197943,Pepijn Reulen,,25,6.0,50.9,0.4311,save,head,assisted,sofascore
