id_sofascore,canonical_name,country
2947,NAC Breda,Netherlands
2948,FC Utrecht,Netherlands
2949,De Graafschap,Netherlands
2950,AZ Alkmaar,Netherlands
2951,FC Groningen,Netherlands
2952,PSV Eindhoven,Netherlands
2953,AFC Ajax,Netherlands
2954,Roda JC Kerkrade,Netherlands
2955,FC Twente,Netherlands
2956,RKC Waalwijk,Netherlands
2957,Fortuna Sittard,Netherlands
2959,Feyenoord,Netherlands
2960,Sparta Rotterdam,Netherlands
2961,Willem II Tilburg,Netherlands
2962,NEC Nijmegen,Netherlands
2963,FC Den Bosch,Netherlands
2964,SC Heerenveen,Netherlands
2967,Excelsior,Netherlands
2968,FC Volendam,Netherlands
2971,PEC Zwolle,Netherlands
2972,SC Telstar,Netherlands
2977,Heracles Almelo,Netherlands
2979,Go Ahead Eagles,Netherlands
2990,Almere City FC,Netherlands
