season,injury_type,date_from,date_until,days_absent,matches_missed,player_id,player_id_tm,player_name,club_name,club_id_tm,club_slug,squad_team_slug
22/23,Problemas del tendón rotuliano,2022-11-07,2023-04-10,155.0,26.0,147051,147051,Yvon Mvogo,,,,
21/22,Lesión desconocida,2022-02-15,2022-02-22,8.0,2.0,147051,147051,Yvon Mvogo,,,,
21/22,Enfermo,2021-12-14,2021-12-18,5.0,1.0,147051,147051,Yvon Mvogo,,,,
18/19,Distorsión de banda interna,2019-04-07,2019-05-13,37.0,6.0,147051,147051,Yvon Mvogo,,,,
17/18,Problemas de espalda,2017-08-10,2017-08-14,5.0,1.0,147051,147051,Yvon Mvogo,,,,
14/15,Lesión de tobillo,2014-07-07,2014-07-17,11.0,,147051,147051,Yvon Mvogo,,,,
13/14,Enfermo,2013-09-12,2013-09-16,5.0,2.0,147051,147051,Yvon Mvogo,,,,
24/25,Herida menor,2025-05-16,2025-05-19,4.0,1.0,53696,53696,Lars Unnerstall,,,,
23/24,Lesión de espalda,2024-03-01,2024-03-07,7.0,1.0,53696,53696,Lars Unnerstall,,,,
22/23,Enfermo,2022-09-29,2022-10-03,5.0,1.0,53696,53696,Lars Unnerstall,,,,
21/22,Lesión de espalda,2022-01-20,2022-02-01,13.0,1.0,53696,53696,Lars Unnerstall,,,,
19/20,Lesión de rodilla,2019-05-22,2019-08-29,100.0,9.0,53696,53696,Lars Unnerstall,,,,
18/19,Lesión de espalda,2018-12-20,2018-12-24,5.0,1.0,53696,53696,Lars Unnerstall,,,,
17/18,Enfermo,2017-12-02,2017-12-04,3.0,1.0,53696,53696,Lars Unnerstall,,,,
16/17,Pulmonía,2017-01-09,2017-02-01,24.0,1.0,53696,53696,Lars Unnerstall,,,,
14/15,Problemas de espalda,2014-08-16,2014-08-22,7.0,1.0,53696,53696,Lars Unnerstall,,,,
12/13,Operación de rodilla,2013-02-12,2013-04-01,49.0,8.0,53696,53696,Lars Unnerstall,,,,
11/12,Luxación acromioclavicular,2012-02-19,2012-03-30,41.0,9.0,53696,53696,Lars Unnerstall,,,,
22/23,Problemas del tendón rotuliano,2023-05-08,2023-06-28,52.0,3.0,453807,453807,Vincent Müller,,,,
22/23,Lesión de hombro,2023-01-14,2023-02-08,26.0,3.0,453807,453807,Vincent Müller,,,,
22/23,Enfermo,2022-09-03,2022-09-09,7.0,1.0,453807,453807,Vincent Müller,,,,
21/22,Enfermo,2021-11-15,2021-12-05,21.0,7.0,453807,453807,Vincent Müller,,,,
21/22,Lesión en el muslo,2021-09-13,2021-09-19,7.0,2.0,453807,453807,Vincent Müller,,,,
21/22,Enfermo,2021-08-05,2021-08-22,18.0,4.0,453807,453807,Vincent Müller,,,,
20/21,Coronavirus,2020-10-31,2020-11-12,13.0,4.0,453807,453807,Vincent Müller,,,,
19/20,Fractura de la mandíbula,2020-06-02,2020-06-08,7.0,1.0,453807,453807,Vincent Müller,,,,
19/20,Gripe,2019-09-11,2019-09-22,12.0,2.0,453807,453807,Vincent Müller,,,,
20/21,Lesión de hombro,2021-05-06,2021-09-29,147.0,18.0,409490,409490,Maxime Delanghe,,,,
20/21,Coronavirus,2020-10-21,2020-11-12,23.0,6.0,409490,409490,Maxime Delanghe,,,,
24/25,Lesión de hombro,2024-07-27,2024-08-07,12.0,1.0,318508,318508,Olivier Boscagli,,,,
21/22,Lesión de rodilla,2022-04-11,2023-02-07,303.0,39.0,318508,318508,Olivier Boscagli,,,,
21/22,Enfermo,2022-03-09,2022-03-12,4.0,1.0,318508,318508,Olivier Boscagli,,,,
20/21,Lesión muscular,2021-03-18,2021-04-01,15.0,1.0,318508,318508,Olivier Boscagli,,,,
20/21,Traumatismo craneal,2021-02-18,2021-02-24,7.0,1.0,318508,318508,Olivier Boscagli,,,,
16/17,Lesión en el muslo,2017-01-14,2017-03-16,62.0,10.0,318508,318508,Olivier Boscagli,,,,
24/25,Lesión de rodilla,2025-06-27,2025-07-17,21.0,3.0,187491,187491,Timo Baumgartl,,,,
22/23,Coronavirus,2022-10-03,2022-10-13,11.0,2.0,187491,187491,Timo Baumgartl,,,,
22/23,Falta de condición física,2022-08-18,2022-09-05,19.0,3.0,187491,187491,Timo Baumgartl,,,,
21/22,Cáncer de testículo,2022-04-28,2022-08-18,113.0,6.0,187491,187491,Timo Baumgartl,,,,
21/22,Conmoción,2021-09-27,2021-10-11,15.0,2.0,187491,187491,Timo Baumgartl,,,,
20/21,Lesión de rodilla,2021-04-29,2021-05-13,15.0,2.0,187491,187491,Timo Baumgartl,,,,
20/21,Lesión de rodilla,2021-03-11,2021-04-01,22.0,2.0,187491,187491,Timo Baumgartl,,,,
20/21,Coronavirus,2020-10-22,2020-11-09,19.0,5.0,187491,187491,Timo Baumgartl,,,,
19/20,Problemas en el muslo,2019-07-22,2019-08-01,11.0,2.0,187491,187491,Timo Baumgartl,,,,
18/19,Gastroenteritis gripal,2019-05-09,2019-05-16,8.0,1.0,187491,187491,Timo Baumgartl,,,,
18/19,Falta de condición física,2019-02-25,2019-03-04,8.0,1.0,187491,187491,Timo Baumgartl,,,,
18/19,Conmoción,2019-01-24,2019-02-25,33.0,5.0,187491,187491,Timo Baumgartl,,,,
