id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
147051,Yvon Mvogo,Suiza,1994-06-06,Portero,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
53696,Lars Unnerstall,Alemania,1990-07-20,Portero,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
453807,Vincent Müller,Alemania,2000-08-23,Portero,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
409490,Maxime Delanghe,Bélgica,2001-05-23,Portero,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
318508,Olivier Boscagli,Francia,1997-11-18,Defensa central,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
187491,Timo Baumgartl,Alemania,1996-03-04,Defensa central,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
93081,Nick Viergever,Países Bajos,1989-08-03,Defensa central,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
339337,Armando Obispo,Curazao,1999-03-05,Defensa central,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
420196,Justin de Haas,Países Bajos,2000-02-01,Defensa central,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
700680,Luis Felipe,Brasil,2001-05-17,Defensa central,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
111275,Philipp Max,Alemania,1993-09-30,Lateral izquierdo,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
323910,Mauro Júnior,Brasil,1999-05-06,Lateral izquierdo,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
539665,Fredrik Oppegård,Noruega,2002-08-07,Lateral izquierdo,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
321528,Denzel Dumfries,Países Bajos,1996-04-18,Lateral derecho,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
364245,Jordan Teze,Países Bajos,1999-09-30,Lateral derecho,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
575367,Richard Ledezma,México,2000-09-06,Lateral derecho,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
412937,Shurandy Sambo,Curazao,2001-08-19,Lateral derecho,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
494282,Mees Kreekels,Países Bajos,2001-11-01,Lateral derecho,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
375885,Ibrahim Sangaré,Costa de Marfil,1997-12-02,Pivote,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
370791,Pablo Rosario,República Dominicana,1997-01-07,Pivote,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
203357,Ryan Thomas,Nueva Zelanda,1994-12-20,Pivote,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
486052,Emmanuel Matuta,Bélgica,2002-02-22,Pivote,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
528652,Mathias Kjølø,Noruega,2001-06-27,Pivote,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
379979,Adrian Fein,Alemania,1999-03-18,Mediocentro,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
298796,Érick Gutiérrez,México,1995-06-15,Mediocentro,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
321204,Michal Sadílek,República Checa,1999-05-31,Mediocentro,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
147034,Marco van Ginkel,Países Bajos,1992-12-01,Mediocentro,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
205004,Jorrit Hendrix,Países Bajos,1995-02-06,Interior izquierdo,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
503638,Mohamed Ihattaren,Marruecos,2002-02-12,Mediocentro ofensivo,Eredivisie,psv-eindhoven,psv-eindhoven,,2020,transfermarkt
