whoscored_match_id,match_date,season,competition,attendance,data_source
1903733,2025-08-08,2025/26,Eredivisie,8872.0,whoscored
1903734,2025-08-09,2025/26,Eredivisie,12650.0,whoscored
1903735,2025-08-09,2025/26,Eredivisie,47500.0,whoscored
1903736,2025-08-09,2025/26,Eredivisie,23764.0,whoscored
1903737,2025-08-09,2025/26,Eredivisie,34300.0,whoscored
1903738,2025-08-10,2025/26,Eredivisie,13789.0,whoscored
1903739,2025-08-10,2025/26,Eredivisie,54665.0,whoscored
1903740,2025-08-10,2025/26,Eredivisie,17935.0,whoscored
1903741,2025-08-10,2025/26,Eredivisie,21875.0,whoscored
1903742,2025-08-15,2025/26,Eredivisie,5293.0,whoscored
1903743,2025-08-16,2025/26,Eredivisie,22525.0,whoscored
1903744,2025-08-16,2025/26,Eredivisie,3845.0,whoscored
1903745,2025-08-16,2025/26,Eredivisie,11905.0,whoscored
1903746,2025-08-17,2025/26,Eredivisie,9997.0,whoscored
1903747,2025-08-17,2025/26,Eredivisie,10040.0,whoscored
1903748,2025-08-17,2025/26,Eredivisie,30000.0,whoscored
1903749,2025-08-17,2025/26,Eredivisie,6376.0,whoscored
1903750,2025-08-17,2025/26,Eredivisie,20012.0,whoscored
1903751,2025-08-23,2025/26,Eredivisie,9997.0,whoscored
1903752,2025-08-23,2025/26,Eredivisie,34800.0,whoscored
1903753,2025-08-23,2025/26,Eredivisie,5273.0,whoscored
1903754,2025-09-24,2025/26,Eredivisie,17322.0,whoscored
1903755,2025-08-24,2025/26,Eredivisie,21772.0,whoscored
1903756,2025-08-24,2025/26,Eredivisie,12650.0,whoscored
1903757,2025-08-24,2025/26,Eredivisie,21547.0,whoscored
1903758,2025-08-24,2025/26,Eredivisie,54683.0,whoscored
1903759,2025-08-29,2025/26,Eredivisie,22525.0,whoscored
1903760,2025-08-30,2025/26,Eredivisie,6864.0,whoscored
1903761,2025-08-30,2025/26,Eredivisie,22771.0,whoscored
1903762,2025-08-30,2025/26,Eredivisie,34500.0,whoscored
1903763,2025-08-30,2025/26,Eredivisie,3608.0,whoscored
1903764,2025-08-31,2025/26,Eredivisie,10573.0,whoscored
1903765,2025-08-31,2025/26,Eredivisie,10599.0,whoscored
1903766,2025-08-31,2025/26,Eredivisie,13789.0,whoscored
1903767,2025-08-31,2025/26,Eredivisie,20215.0,whoscored
1903768,2025-09-13,2025/26,Eredivisie,54081.0,whoscored
1903769,2025-09-13,2025/26,Eredivisie,10003.0,whoscored
1903770,2025-09-13,2025/26,Eredivisie,12650.0,whoscored
1903771,2025-09-13,2025/26,Eredivisie,47500.0,whoscored
1903772,2025-09-13,2025/26,Eredivisie,29500.0,whoscored
1903773,2025-09-14,2025/26,Eredivisie,4400.0,whoscored
1903774,2025-09-14,2025/26,Eredivisie,11964.0,whoscored
1903775,2025-09-14,2025/26,Eredivisie,22681.0,whoscored
1903776,2025-09-14,2025/26,Eredivisie,5293.0,whoscored
1903777,2025-09-17,2025/26,Eredivisie,47500.0,whoscored
1903778,2025-09-19,2025/26,Eredivisie,10468.0,whoscored
1903779,2025-09-20,2025/26,Eredivisie,6471.0,whoscored
1903780,2025-09-20,2025/26,Eredivisie,22525.0,whoscored
1903781,2025-09-20,2025/26,Eredivisie,10623.0,whoscored
1903782,2025-09-20,2025/26,Eredivisie,20113.0,whoscored
1903783,2025-09-21,2025/26,Eredivisie,14000.0,whoscored
1903784,2025-09-21,2025/26,Eredivisie,22411.0,whoscored
1903785,2025-09-21,2025/26,Eredivisie,35700.0,whoscored
1903786,2025-09-21,2025/26,Eredivisie,18351.0,whoscored
1903787,2025-09-26,2025/26,Eredivisie,29500.0,whoscored
1903788,2025-12-06,2025/26,Eredivisie,11920.0,whoscored
1903789,2025-11-08,2025/26,Eredivisie,4400.0,whoscored
1903790,2025-11-08,2025/26,Eredivisie,6784.0,whoscored
1903791,2026-01-18,2025/26,Eredivisie,6921.0,whoscored
1903792,2025-11-08,2025/26,Eredivisie,10196.0,whoscored
1903793,2025-11-08,2025/26,Eredivisie,13872.0,whoscored
1903794,2026-01-18,2025/26,Eredivisie,47500.0,whoscored
1903795,2025-11-09,2025/26,Eredivisie,22944.0,whoscored
1903796,2025-12-07,2025/26,Eredivisie,9741.0,whoscored
1903797,2025-11-09,2025/26,Eredivisie,19011.0,whoscored
1903798,2026-01-18,2025/26,Eredivisie,24105.0,whoscored
1903799,2025-12-07,2025/26,Eredivisie,23045.0,whoscored
1903800,2026-01-18,2025/26,Eredivisie,12274.0,whoscored
1903801,2025-11-09,2025/26,Eredivisie,12650.0,whoscored
1903802,2025-12-14,2025/26,Eredivisie,47506.0,whoscored
1903803,2026-01-17,2025/26,Eredivisie,20109.0,whoscored
1903804,2025-11-09,2025/26,Eredivisie,10116.0,whoscored
1903805,2026-01-21,2025/26,Eredivisie,16997.0,whoscored
1903806,2026-01-17,2025/26,Eredivisie,11787.0,whoscored
1903807,2025-12-13,2025/26,Eredivisie,22525.0,whoscored
1903808,2026-01-17,2025/26,Eredivisie,13745.0,whoscored
1903809,2025-11-22,2025/26,Eredivisie,54484.0,whoscored
1903810,2025-12-14,2025/26,Eredivisie,20108.0,whoscored
1903811,2025-11-22,2025/26,Eredivisie,6896.0,whoscored
