whoscored_match_id,whoscored_player_id,whoscored_team_id,player_name,side,is_starter,position,shirt_no,age,height_cm,weight_kg,is_man_of_the_match,subbed_in_minute,subbed_out_minute,rating,passes_total,passes_accurate,passes_key,pass_success_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,dribbles_lost,tackles_total,tackles_successful,interceptions,clearances,aerials_total,aerials_won,fouls_committed,was_dribbled_past,dispossessed,touches,offsides_caught,corners_total,corners_accurate,throw_ins_total,throw_ins_accurate,saves_total,saves_parried_safe,saves_parried_danger,claims_high,collected,possession_pct,data_source
1903733,97367,242,Mattijs Branderhorst,home,True,GK,31,32,192,88,False,,,5.15,28.0,19.0,,0.0,,,,,,,,,,,2.0,,,,,,36.0,,,,,,1.0,,,,,1.0,whoscored
1903733,70598,242,Ivo Pinto,home,True,DR,12,36,182,75,False,,78.0,6.88,45.0,41.0,3.0,100.0,1.0,,1.0,,,,,3.0,3.0,,1.0,1.0,1.0,,,,68.0,,,,7.0,7.0,,,,,,1.0,whoscored
1903733,400545,242,Shawn Adewoye,home,True,DC,4,25,181,81,False,,78.0,5.72,47.0,42.0,,100.0,,,,,,,,,,,3.0,3.0,2.0,2.0,,,53.0,,,,,,,,,,,1.0,whoscored
1903733,510856,242,Justin Hubner,home,True,DC,28,22,187,72,True,,,7.57,54.0,49.0,1.0,100.0,5.0,1.0,2.0,2.0,,,,2.0,2.0,2.0,5.0,6.0,5.0,,,,75.0,,2.0,,,,,,,,,1.0,whoscored
1903733,400011,242,Jasper Dahlhaus,home,True,DL,8,24,176,73,False,,,6.73,50.0,42.0,1.0,100.0,1.0,,,1.0,2.0,,2.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,77.0,,2.0,,4.0,4.0,,,,,,2.0,whoscored
1903733,410257,242,Édouard Michut,home,True,DMC,20,23,176,73,False,,92.0,6.57,66.0,63.0,3.0,100.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,,75.0,,,,1.0,1.0,,,,,,1.0,whoscored
1903733,531510,242,Ryan Fosso,home,True,DMC,80,23,183,70,False,,,6.73,74.0,67.0,2.0,100.0,4.0,,2.0,2.0,1.0,,1.0,3.0,3.0,,2.0,3.0,1.0,,,1.0,93.0,,1.0,,1.0,,,,,,,3.0,whoscored
1903733,363658,242,Dimitrios Limnios,home,True,AMR,18,28,180,71,False,,,7.43,32.0,29.0,6.0,100.0,2.0,2.0,,,3.0,,3.0,2.0,2.0,,,1.0,,,,,57.0,,2.0,1.0,1.0,1.0,,,,,,3.0,whoscored
1903733,568287,242,Philip Brittijn,home,True,AMC,23,22,182,74,False,,,7.34,31.0,27.0,1.0,50.0,3.0,1.0,,2.0,,,,,,,,1.0,1.0,,,,38.0,,,,,,,,,,,4.0,whoscored
1903733,140902,242,Kristoffer Peterson,home,True,AML,7,31,185,78,False,,78.0,6.91,29.0,26.0,2.0,100.0,4.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,,,1.0,,,,1.0,48.0,,,3.0,1.0,1.0,,,,,,2.0,whoscored
1903733,288873,242,Paul Gladon,home,True,FW,19,34,188,83,False,,,6.68,9.0,3.0,,100.0,6.0,,2.0,4.0,,,,1.0,,,,11.0,6.0,2.0,1.0,,18.0,,,,,,,,,,,1.0,whoscored
1903733,534227,242,Luka Tunjic,home,False,Sub,77,20,183,0,False,78.0,,7.42,7.0,7.0,2.0,100.0,6.0,1.0,3.0,2.0,,,,,,,,2.0,1.0,,,1.0,18.0,,,2.0,,,,,,,,1.0,whoscored
1903733,530987,242,Makan Aiko,home,False,Sub,11,25,180,0,False,78.0,,6.62,6.0,6.0,1.0,100.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,1.0,whoscored
1903733,527633,242,Tristan Schenkhuizen,home,False,Sub,38,21,178,0,False,92.0,,5.94,1.0,1.0,,100.0,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,whoscored
1903733,279967,242,Iván Márquez,home,False,Sub,44,31,191,82,False,78.0,,6.6,12.0,11.0,,100.0,2.0,1.0,1.0,,,,,1.0,1.0,,3.0,2.0,1.0,,,,19.0,,1.0,,,,,,,,,1.0,whoscored
1903733,451676,874,Jari De Busser,away,True,GK,22,26,190,0,False,,,7.52,33.0,16.0,,0.0,,,,,,,,,,,3.0,2.0,2.0,,,,48.0,,,,,,5.0,2.0,2.0,3.0,1.0,1.0,whoscored
1903733,422633,874,Mats Deijl,away,True,DR,2,28,181,72,False,,,6.98,18.0,11.0,,0.0,,,,,3.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,,,,47.0,,2.0,,10.0,9.0,,,,,,1.0,whoscored
