whoscored_team_id,team_name,season,competition,data_source
242,Fortuna Sittard,2025/26,Eredivisie,whoscored
874,Go Ahead Eagles,2025/26,Eredivisie,whoscored
116,NEC Nijmegen,2025/26,Eredivisie,whoscored
867,Excelsior,2025/26,Eredivisie,whoscored
256,Feyenoord,2025/26,Eredivisie,whoscored
783,NAC Breda,2025/26,Eredivisie,whoscored
287,SC Heerenveen,2025/26,Eredivisie,whoscored
762,FC Volendam,2025/26,Eredivisie,whoscored
129,PSV Eindhoven,2025/26,Eredivisie,whoscored
303,Sparta Rotterdam,2025/26,Eredivisie,whoscored
868,PEC Zwolle,2025/26,Eredivisie,whoscored
113,Twente,2025/26,Eredivisie,whoscored
130,Ajax,2025/26,Eredivisie,whoscored
876,Telstar,2025/26,Eredivisie,whoscored
243,AZ Alkmaar,2025/26,Eredivisie,whoscored
758,FC Groningen,2025/26,Eredivisie,whoscored
128,FC Utrecht,2025/26,Eredivisie,whoscored
870,Heracles,2025/26,Eredivisie,whoscored
