team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
11,fc-arsenal,2022,Arsenal FC,60704,60704,,,152,,,,,Arsenal Holdings plc,,Emirates Stadium,,,"600,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-arsenal/stadion/verein/11/saison_id/2022,,,,,,,,,
12,as-rom,2022,AS Roma,70634,70634,,,17,,,,,CONI,,Olimpico di Roma,,,,Césped natural,,https://www.transfermarkt.es/as-rom/stadion/verein/12/saison_id/2022,,,,,,,,,
15,bayer-04-leverkusen,2022,Bayer 04 Leverkusen,30210,25710,,,26,,,,,Bayer 04 Immobilien GmbH,,BayArena,,,"70,00 mill. €",Césped natural,,https://www.transfermarkt.es/bayer-04-leverkusen/stadion/verein/15/saison_id/2022,,,,,,,,,
36,fenerbahce-istanbul,2022,Fenerbahce,47430,47430,,,100,,,,,Fenerbahçe Spor Kulübü,,Chobani Stadyumu FB Şükrü Saracoğlu Spor Kompleksi,,,"70,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fenerbahce-istanbul/stadion/verein/36/saison_id/2022,,,,,,,,,
60,sc-freiburg,2022,SC Friburgo,34700,22300,,,20,,,,,Stadion Freiburg Objektträger GmbH & Co. KG (SFG),,Europa-Park Stadion,,,,Césped natural,,https://www.transfermarkt.es/sc-freiburg/stadion/verein/60/saison_id/2022,,,,,,,,,
89,1-fc-union-berlin,2022,1.FC Unión Berlín,22012,3617,,,27,,,,,1.FC Union Berlin,,Stadion An der Alten Försterei,,,"17,00 mill. €",Césped natural,,https://www.transfermarkt.es/1-fc-union-berlin/stadion/verein/89/saison_id/2022,,,,,,,,,
122,sk-sturm-graz,2022,SK Sturm Graz,16364,15322,,,,,,,,Grazer Messe,,Merkur Arena,,,,Césped natural,,https://www.transfermarkt.es/sk-sturm-graz/stadion/verein/122/saison_id/2022,,,,,,,,,
131,fc-barcelona,2022,FC Barcelona,62657,99354,,,,,,,,Fútbol Club Barcelona,,Spotify Camp Nou,,,,Césped híbrido,,https://www.transfermarkt.es/fc-barcelona/stadion/verein/131/saison_id/2022,,,,,,,,,
150,real-betis-sevilla,2022,Real Betis Balompié,70000,70000,,,,,,,,Sociedad Estadio Olímpico de Sevilla S.A.,,La Cartuja,,España,,Césped natural,,https://www.transfermarkt.es/real-betis-sevilla/stadion/verein/150/saison_id/2022,,,,,,,,,
159,roter-stern-belgrad,2022,Estrella Roja de Belgrado,51755,51755,,,5,,,,,SD Crvena zvezda,,Rajko Mitić,,Serbia,,Césped híbrido,,https://www.transfermarkt.es/roter-stern-belgrad/stadion/verein/159/saison_id/2022,,,,,,,,,
