team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
12,as-rom,2023,AS Roma,70634,70634,,,17,,,,,CONI,,Olimpico di Roma,,,,Césped natural,,https://www.transfermarkt.es/as-rom/stadion/verein/12/saison_id/2023
31,fc-liverpool,2023,Liverpool FC,61276,61276,,,160,,,,,Liverpool Football Club,,Anfield,,,,Césped híbrido,,https://www.transfermarkt.es/fc-liverpool/stadion/verein/31/saison_id/2023
61,servette-fc,2023,Servette FC,30084,30084,,,29,,,,,Fondation du Stade Genève,,Stade de Genève,,,"180,00 mill. €",Césped natural,,https://www.transfermarkt.es/servette-fc/stadion/verein/61/saison_id/2023
62,sk-slavia-prag,2023,SK Slavia Praga,19370,19370,,,40,,,,,Citic Group,,Fortuna Arena,,,"40,00 mill. €",Césped natural,,https://www.transfermarkt.es/sk-slavia-prag/stadion/verein/62/saison_id/2023
122,sk-sturm-graz,2023,SK Sturm Graz,16364,15322,,,,,,,,Grazer Messe,,Merkur Arena,,,,Césped natural,,https://www.transfermarkt.es/sk-sturm-graz/stadion/verein/122/saison_id/2023
124,glasgow-rangers,2023,Rangers FC,50987,50987,,,1,,,,,,,Ibrox Stadium,,,,Césped natural,,https://www.transfermarkt.es/glasgow-rangers/stadion/verein/124/saison_id/2023
150,real-betis-sevilla,2023,Real Betis Balompié,70000,70000,,,,,,,,Sociedad Estadio Olímpico de Sevilla S.A.,,La Cartuja,,,,Césped natural,,https://www.transfermarkt.es/real-betis-sevilla/stadion/verein/150/saison_id/2023
197,ac-sparta-prag,2023,AC Sparta Praga,18243,17545,,,,,,,,AC Sparta Praha,,epet Arena,,,,Césped natural,,https://www.transfermarkt.es/ac-sparta-prag/stadion/verein/197/saison_id/2023
244,olympique-marseille,2023,Olympique de Marsella,67394,67394,,,,,,,,Olympique de Marseille,,Orange Vélodrome,,,,Césped natural,,https://www.transfermarkt.es/olympique-marseille/stadion/verein/244/saison_id/2023
265,panathinaikos-athen,2023,Panathinaikos,15000,15000,,,,,,,,Panathinaikos,,Apostolos Nikolaidis,,,,Césped natural,,https://www.transfermarkt.es/panathinaikos-athen/stadion/verein/265/saison_id/2023
273,fc-stade-rennes,2023,Stade Rennais FC,29778,29778,,,,,,,,Stade Rennes,,Roazhon Park,,,"37,30 mill. €",Césped natural,,https://www.transfermarkt.es/fc-stade-rennes/stadion/verein/273/saison_id/2023
336,sporting-lissabon,2023,Sporting de Lisboa,52095,52095,,,,,,,,Sporting CP,,Estádio José Alvalade,,,"105,00 mill. €",Césped natural,,https://www.transfermarkt.es/sporting-lissabon/stadion/verein/336/saison_id/2023
379,west-ham-united,2023,West Ham United,62500,62500,,,,,,,,Greater London Authority,,London Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/west-ham-united/stadion/verein/379/saison_id/2023
413,lask,2023,LASK,19080,,,,,,,,,,,Raiffeisen Arena,,,,Césped híbrido,,https://www.transfermarkt.es/lask/stadion/verein/413/saison_id/2023
415,fc-toulouse,2023,Toulouse FC,33150,33150,,,,,,,,Stadt Toulouse,,Stadium Municipal,,,,Césped híbrido,,https://www.transfermarkt.es/fc-toulouse/stadion/verein/415/saison_id/2023
683,olympiakos-piraus,2023,Olympiacos El Pireo,33345,33345,,,43,,,,,Hellenic Olympic Committee,,Stadio Georgios Karaiskakis,,,"60,00 mill. €",Césped natural,,https://www.transfermarkt.es/olympiakos-piraus/stadion/verein/683/saison_id/2023
687,molde-fk,2023,Molde FK,11800,10100,,,13,,,,,Stadt Molde,,Aker Stadion,,,"26,00 mill. €",Césped artificial,,https://www.transfermarkt.es/molde-fk/stadion/verein/687/saison_id/2023
