id_sofascore,match_date,competition,season,home_team_id_ss,away_team_id_ss,home_team_name,away_team_name,home_score,away_score,attendance,referee_id_ss,referee_name,referee_country,data_source
15632626,2026-05-20,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2538,40,SC Freiburg,Aston Villa,0,3,,,,,sofascore
15632625,2026-05-07,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,40,14,Aston Villa,Nottingham Forest,4,0,,,,,sofascore
15632624,2026-05-07,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2538,2999,SC Freiburg,Sporting Braga,3,1,,,,,sofascore
15632623,2026-04-30,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,14,40,Nottingham Forest,Aston Villa,1,0,,,,,sofascore
15632622,2026-04-30,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2999,2538,Sporting Braga,SC Freiburg,2,1,,,,,sofascore
15632621,2026-04-16,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,40,2685,Aston Villa,Bologna,4,0,,,,,sofascore
15632620,2026-04-16,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,14,3002,Nottingham Forest,FC Porto,1,0,,,,,sofascore
15632618,2026-04-16,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2816,2999,Real Betis,Sporting Braga,2,4,,,,,sofascore
15632619,2026-04-16,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2821,2538,Celta Vigo,SC Freiburg,1,3,,,,,sofascore
15632617,2026-04-09,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2685,40,Bologna,Aston Villa,1,3,,,,,sofascore
15632616,2026-04-09,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,3002,14,FC Porto,Nottingham Forest,1,1,,,,,sofascore
15632615,2026-04-09,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2538,2821,SC Freiburg,Celta Vigo,3,0,,,,,sofascore
15632614,2026-04-08,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2999,2816,Sporting Braga,Real Betis,1,1,,,,,sofascore
15631843,2026-03-19,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,40,1643,Aston Villa,Lille,2,0,,,,,sofascore
15631841,2026-03-19,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2816,3248,Real Betis,Panathinaikos FC,4,0,,,,,sofascore
15631840,2026-03-19,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,3002,2677,FC Porto,VfB Stuttgart,2,0,,,,,sofascore
15631837,2026-03-19,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2702,2685,AS Roma,Bologna,3,4,,,,,sofascore
15631844,2026-03-19,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,1649,2821,Olympique Lyonnais,Celta Vigo,0,2,,,,,sofascore
15631842,2026-03-19,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,1289,14,FC Midtjylland,Nottingham Forest,1,5,,,,,sofascore
15631838,2026-03-19,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2538,2890,SC Freiburg,KRC Genk,5,1,,,,,sofascore
15631839,2026-03-18,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2999,1925,Sporting Braga,Ferencváros TC,4,0,,,,,sofascore
15631835,2026-03-12,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2821,1649,Celta Vigo,Olympique Lyonnais,1,1,,,,,sofascore
15631834,2026-03-12,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,14,1289,Nottingham Forest,FC Midtjylland,0,1,,,,,sofascore
15631830,2026-03-12,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,1925,2999,Ferencváros TC,Sporting Braga,2,0,,,,,sofascore
15631827,2026-03-12,"UEFA Europa League, Knockout stage",UEFA Europa League 25/26,2890,2538,KRC Genk,SC Freiburg,1,0,,,,,sofascore
