match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
15453093,985086,Morato,14.0,90,9.1,43.8,0.037,miss,head,corner,sofascore
15453093,1090963,Omari Hutchinson,14.0,89,18.9,53.4,0.3075,save,left-foot,fast-break,sofascore
15453093,361004,Marco Asensio,3052.0,88,19.3,72.3,0.0204,save,left-foot,assisted,sofascore
15453093,1085938,Levent Mercan,3052.0,87,18.5,35.8,0.0431,miss,left-foot,assisted,sofascore
15453093,903324,Kerem Aktürkoğlu,3052.0,80,24.9,54.3,0.0296,block,right-foot,assisted,sofascore
15453093,981619,Igor Jesus,14.0,79,13.6,37.5,0.0954,save,left-foot,fast-break,sofascore
15453093,867442,Callum Hudson Odoi,14.0,76,15.4,26.4,0.0365,miss,right-foot,regular,sofascore
15453093,867442,Callum Hudson Odoi,14.0,68,9.2,32.4,0.0889,goal,left-foot,assisted,sofascore
15453093,1090963,Omari Hutchinson,14.0,62,19.2,74.5,0.0106,block,left-foot,assisted,sofascore
15453093,952600,İsmail Yüksek,3052.0,55,24.8,58.5,0.0215,block,right-foot,regular,sofascore
15453093,927356,Neco Williams,14.0,54,22.8,38.2,0.0318,miss,right-foot,assisted,sofascore
15453093,871765,Nicolás Domínguez,14.0,50,19.0,66.0,0.0256,miss,right-foot,regular,sofascore
15453093,1170722,Jair,14.0,50,8.9,66.2,0.2054,save,right-foot,regular,sofascore
15453093,903324,Kerem Aktürkoğlu,3052.0,48,11.5,50.0,0.7884,goal,right-foot,penalty,sofascore
15453093,1514916,Sidiki Cherif,3052.0,45,15.1,50.4,0.1641,save,left-foot,assisted,sofascore
15453093,903324,Kerem Aktürkoğlu,3052.0,41,16.3,53.6,0.1117,miss,right-foot,assisted,sofascore
15453093,1514916,Sidiki Cherif,3052.0,39,2.9,67.7,0.0439,miss,right-foot,regular,sofascore
15453093,1003334,James McAtee,14.0,36,8.3,68.7,0.0348,miss,head,assisted,sofascore
15453093,1009738,Archie Brown,3052.0,35,9.3,29.6,0.0344,block,right-foot,assisted,sofascore
15453093,994546,Elliot Anderson,14.0,34,19.3,47.3,0.0526,miss,right-foot,regular,sofascore
15453093,994546,Elliot Anderson,14.0,30,15.0,29.9,0.0169,block,right-foot,corner,sofascore
15453093,994546,Elliot Anderson,14.0,24,3.8,28.8,0.0478,miss,right-foot,assisted,sofascore
15453093,903324,Kerem Aktürkoğlu,3052.0,22,8.2,45.0,0.518,goal,right-foot,fast-break,sofascore
15453093,903324,Kerem Aktürkoğlu,3052.0,17,11.3,61.1,0.0485,block,right-foot,assisted,sofascore
15631833,887055,Cucho Hernández,2816.0,90,10.6,39.9,0.0819,save,left-foot,assisted,sofascore
15631833,318967,Renato Sanches,3248.0,90,26.8,38.7,0.0271,block,right-foot,assisted,sofascore
15631833,1131037,Vicente Taborda,3248.0,88,11.5,50.0,0.7884,goal,right-foot,penalty,sofascore
15631833,958380,Antony,2816.0,81,18.8,63.8,0.0343,miss,left-foot,set-piece,sofascore
15631833,958380,Antony,2816.0,78,24.7,65.3,0.0265,save,left-foot,corner,sofascore
15631833,893062,Aitor Ruibal,2816.0,73,12.5,52.3,0.0428,save,head,regular,sofascore
15631833,887055,Cucho Hernández,2816.0,55,13.2,72.8,0.0195,miss,right-foot,assisted,sofascore
15631833,1011375,Abdessamad Ezzalzouli,2816.0,52,14.4,45.2,0.0307,save,head,assisted,sofascore
15631833,1165457,Andreas Tetteh,3248.0,37,24.4,69.7,0.0251,miss,left-foot,assisted,sofascore
15631833,887055,Cucho Hernández,2816.0,33,10.9,64.1,0.0534,save,right-foot,assisted,sofascore
15631833,305278,Diego Llorente,2816.0,23,5.2,59.3,0.0629,miss,head,corner,sofascore
15631833,1011375,Abdessamad Ezzalzouli,2816.0,19,8.4,52.6,0.0871,block,head,assisted,sofascore
15631833,377302,Georgios Kyriakopoulos,3248.0,15,12.3,29.3,0.0416,miss,left-foot,assisted,sofascore
15631833,377302,Georgios Kyriakopoulos,3248.0,11,11.9,33.3,0.0318,block,left-foot,regular,sofascore
15631833,305278,Diego Llorente,2816.0,9,4.8,37.8,0.0258,block,head,corner,sofascore
15631833,887055,Cucho Hernández,2816.0,8,8.9,41.7,0.1382,save,head,assisted,sofascore
15631833,1011375,Abdessamad Ezzalzouli,2816.0,7,24.1,41.1,0.0311,miss,right-foot,regular,sofascore
15631833,1011375,Abdessamad Ezzalzouli,2816.0,5,24.3,62.4,0.047,miss,right-foot,regular,sofascore
15631833,877036,Anass Zaroury,3248.0,3,24.4,52.2,0.0179,miss,left-foot,corner,sofascore
15631833,1131037,Vicente Taborda,3248.0,2,9.2,59.7,0.0391,block,right-foot,corner,sofascore
15631832,1010505,Gabri Veiga,3002.0,90,17.4,34.7,0.052,save,right-foot,assisted,sofascore
15631832,891510,Chris Führich,2677.0,90,22.5,43.0,0.0372,miss,right-foot,assisted,sofascore
15631832,1126569,Bilal El Khannouss,2677.0,89,6.4,29.5,0.0436,save,right-foot,assisted,sofascore
15631832,1407720,Deniz Gül,3002.0,87,9.2,37.2,0.0692,block,left-foot,throw-in-set-piece,sofascore
15631832,891510,Chris Führich,2677.0,82,22.1,37.8,0.0315,save,right-foot,assisted,sofascore
15631832,882664,Pepê,3002.0,68,12.6,34.4,0.0316,miss,right-foot,assisted,sofascore
15631832,1126569,Bilal El Khannouss,2677.0,66,18.9,26.1,0.044,miss,right-foot,free-kick,sofascore
15631832,794298,Deniz Undav,2677.0,60,37.2,60.5,0.0092,save,right-foot,fast-break,sofascore
15631832,1639250,William Gomes,3002.0,59,15.7,47.2,0.0578,save,left-foot,assisted,sofascore
15631832,987510,Zaidu Sanusi,3002.0,57,3.3,40.8,0.102,save,head,assisted,sofascore
15631832,1160957,Alberto Costa,3002.0,53,30.6,69.9,0.013,miss,right-foot,set-piece,sofascore
15631832,1639250,William Gomes,3002.0,49,15.6,53.1,0.0563,block,left-foot,assisted,sofascore
15631832,1126569,Bilal El Khannouss,2677.0,47,20.1,61.3,0.0239,miss,left-foot,regular,sofascore
15631832,861981,Nikolas Nartey,2677.0,45,26.6,57.3,0.0194,save,left-foot,assisted,sofascore
15631832,1418649,Finn Jeltsch,2677.0,44,10.4,72.6,0.0281,save,right-foot,assisted,sofascore
