id_sofascore,canonical_name,country
14,Nottingham Forest,England
40,Aston Villa,England
687,Fredrikstad FK,Norway
1159,SK Brann,Norway
1289,FC Midtjylland,Denmark
1643,Lille,France
1649,Olympique Lyonnais,France
1661,Nice,France
1760,BK Häcken,Sweden
1892,Malmö FF,Sweden
1901,Breidablik Kópavogur,Iceland
1925,Ferencváros TC,Hungary
2032,GNK Dinamo Zagreb,Croatia
2039,HNK Rijeka,Croatia
2046,Red Bull Salzburg,Austria
2051,SK Sturm Graz,Austria
2076,Wolfsberger AC,Austria
2204,Baník Ostrava,Czechia
2207,SK Sigma Olomouc,Czechia
2244,Kuopion Palloseura,Finland
2351,Rangers,Scotland
2352,Celtic,Scotland
2354,Hibernian,Scotland
2355,Aberdeen,Scotland
2404,ŠK Slovan Bratislava,Slovakia
2406,FC Spartak Trnava,Slovakia
2413,NK Celje,Slovenia
2443,FC Lugano,Switzerland
2445,BSC Young Boys,Switzerland
2448,Servette FC,Switzerland
2501,Basel,Switzerland
2538,SC Freiburg,Germany
2677,VfB Stuttgart,Germany
2685,Bologna,Italy
2702,AS Roma,Italy
2816,Real Betis,Spain
2821,Celta Vigo,Spain
2890,KRC Genk,Belgium
2900,RSC Anderlecht,Belgium
2948,FC Utrecht,Netherlands
2959,Feyenoord,Netherlands
2979,Go Ahead Eagles,Netherlands
2999,Sporting Braga,Portugal
3002,FC Porto,Portugal
3050,Beşiktaş JK,Türkiye
3052,Fenerbahçe,Türkiye
3053,Samsunspor,Türkiye
3106,Legia Warszawa,Poland
3121,Lech Poznań,Poland
3174,Shelbourne,Ireland
3248,Panathinaikos FC,Greece
3251,PAOK,Greece
3273,Levski Sofia,Bulgaria
3301,FCSB,Romania
3305,Dynamo Kyiv,Ukraine
3313,Shakhtar Donetsk,Ukraine
3404,AEK Larnaca,Cyprus
4502,FC Viktoria Plzeň,Czechia
5149,FK Crvena zvezda,Serbia
5152,FK Partizan,Serbia
5173,Sheriff Tiraspol,Moldova
5178,HŠK Zrinjski Mostar,Bosnia & Herzegovina
5198,Maccabi Tel Aviv,Israel
5202,Hapoel Be'er Sheva,Israel
5287,CFR 1907 Cluj,Romania
5355,FK Aktobe,Kazakhstan
5413,KF Shkëndija,North Macedonia
6059,Paksi FC,Hungary
22386,Ilves,Finland
33583,Ħamrun Spartans FC,Malta
43840,Ludogorets,Bulgaria
68718,RFS,Latvia
126304,Lincoln Red Imps,Gibraltar
229752,FC Prishtina,Kosovo
229755,FC Drita,Kosovo
262228,FC Noah,Armenia
267828,Sabah FK,Azerbaijan
