season,injury_type,date_from,date_until,days_absent,matches_missed,player_id,player_id_tm,player_name,club_name,club_id_tm,club_slug,squad_team_slug
23/24,Cirugía de nariz,2023-11-10,2023-11-26,17.0,2.0,72476,72476,Bernd Leno,,,,
19/20,Estiramiento de banda,2020-06-21,2020-08-27,68.0,11.0,72476,72476,Bernd Leno,,,,
18/19,Lesión de ligamentos,2019-05-31,2019-07-05,36.0,2.0,72476,72476,Bernd Leno,,,,
17/18,Estiramiento de banda,2018-04-10,2018-04-13,4.0,,72476,72476,Bernd Leno,,,,
13/14,Problemas musculares,2013-10-10,2013-10-14,5.0,1.0,72476,72476,Bernd Leno,,,,
12/13,Lesión de codo,2012-10-29,2012-11-15,18.0,5.0,72476,72476,Bernd Leno,,,,
24/25,Lesión de cadera,2025-02-07,2025-02-21,15.0,2.0,128969,128969,Mathew Ryan,,,,
24/25,Lesión desconocida,2025-01-01,2025-01-11,11.0,1.0,128969,128969,Mathew Ryan,,,,
23/24,Fractura de pómulo,2023-12-11,2024-01-01,22.0,3.0,128969,128969,Mathew Ryan,,,,
22/23,Problemas de rodilla,2022-08-10,2022-08-15,6.0,1.0,128969,128969,Mathew Ryan,,,,
21/22,Lesión de rodilla,2021-07-22,2021-09-11,52.0,3.0,128969,128969,Mathew Ryan,,,,
20/21,Lesión inguinal,2021-01-28,2021-02-05,9.0,2.0,128969,128969,Mathew Ryan,,,,
18/19,Lesión de tobillo,2018-11-25,2018-11-30,6.0,,128969,128969,Mathew Ryan,,,,
18/19,Golpe,2018-10-07,2018-10-19,13.0,1.0,128969,128969,Mathew Ryan,,,,
16/17,Problemas de cadera,2016-12-13,2017-01-23,42.0,5.0,128969,128969,Mathew Ryan,,,,
16/17,Quiste en la rodilla,2016-12-12,2017-01-02,22.0,1.0,128969,128969,Mathew Ryan,,,,
16/17,Esguince de tobillo,2016-09-13,2016-10-06,24.0,4.0,128969,128969,Mathew Ryan,,,,
15/16,Lesión meniscal,2015-08-31,2015-11-14,76.0,16.0,128969,128969,Mathew Ryan,,,,
25/26,Enfermo,2026-02-07,2026-02-09,3.0,1.0,205657,205657,Rúnar Alex Rúnarsson,,,,
24/25,Fractura de mano,2025-06-29,2025-07-31,33.0,4.0,205657,205657,Rúnar Alex Rúnarsson,,,,
23/24,Lesión desconocida,2024-05-04,2024-05-11,8.0,1.0,205657,205657,Rúnar Alex Rúnarsson,,,,
23/24,Enfermo,2024-04-06,2024-04-06,1.0,,205657,205657,Rúnar Alex Rúnarsson,,,,
19/20,Lesión en el pie,2020-01-18,2020-01-24,7.0,2.0,205657,205657,Rúnar Alex Rúnarsson,,,,
19/20,Traumatismo craneal,2019-11-02,2019-11-28,27.0,4.0,205657,205657,Rúnar Alex Rúnarsson,,,,
18/19,Infección gripal,2018-12-03,2018-12-07,5.0,1.0,205657,205657,Rúnar Alex Rúnarsson,,,,
15/16,Lesión de tobillo,2015-12-30,2016-02-28,61.0,,205657,205657,Rúnar Alex Rúnarsson,,,,
15/16,Fractura de muñeca,2015-09-03,2015-12-15,104.0,15.0,205657,205657,Rúnar Alex Rúnarsson,,,,
25/26,Lesión de pulgar,2026-03-20,,47.0,6.0,493513,493513,Karl Hein,,,,
24/25,Lesión de hombro,2025-03-22,2025-05-01,41.0,5.0,493513,493513,Karl Hein,,,,
21/22,Lesión en el dedo de la mano,2022-02-23,2022-05-14,81.0,9.0,493513,493513,Karl Hein,,,,
18/19,Fractura de mano,2019-01-10,2019-03-31,81.0,9.0,493513,493513,Karl Hein,,,,
21/22,Problemas en el muslo,2022-02-27,2022-04-04,37.0,4.0,220491,220491,Matt Macey,,,,
25/26,Lesión desconocida,2026-04-18,,18.0,3.0,205757,205757,Dejan Iliev,,,,
24/25,Problemas musculares,2025-01-31,2025-02-16,17.0,3.0,205757,205757,Dejan Iliev,,,,
24/25,Problemas musculares,2024-08-05,2024-12-03,121.0,20.0,205757,205757,Dejan Iliev,,,,
23/24,Lesión de codo,2023-07-30,2023-12-01,125.0,25.0,205757,205757,Dejan Iliev,,,,
22/23,Operación de rodilla,2022-07-12,2022-10-12,93.0,17.0,205757,205757,Dejan Iliev,,,,
21/22,Lesión desconocida,2021-10-13,2022-04-13,183.0,24.0,205757,205757,Dejan Iliev,,,,
24/25,Fractura de muñeca,2024-11-09,2024-12-27,49.0,10.0,503769,503769,Arthur Okonkwo,,,,
25/26,Lesión de rodilla,2026-03-22,2026-04-01,11.0,,435338,435338,Gabriel,,,,
25/26,Lesión en el muslo,2025-11-16,2025-12-27,42.0,9.0,435338,435338,Gabriel,,,,
24/25,Lesión en el muslo,2025-04-02,2025-07-14,104.0,14.0,435338,435338,Gabriel,,,,
24/25,Lesión de rodilla,2024-12-01,2024-12-13,13.0,3.0,435338,435338,Gabriel,,,,
24/25,Lesión de rodilla,2024-10-27,2024-11-01,6.0,1.0,435338,435338,Gabriel,,,,
21/22,Lesión de rodilla,2021-07-06,2021-08-25,51.0,2.0,435338,435338,Gabriel,,,,
20/21,Coronavirus,2020-12-26,2021-01-13,19.0,4.0,435338,435338,Gabriel,,,,
20/21,Enfermo,2020-08-01,2020-08-31,31.0,2.0,435338,435338,Gabriel,,,,
19/20,Lesión en el pie,2019-08-01,2019-08-25,25.0,2.0,435338,435338,Gabriel,,,,
23/24,Lesión en el muslo,2024-04-23,2024-05-01,9.0,2.0,253341,253341,Rob Holding,,,,
23/24,Cirugía del tobillo,2024-02-29,2025-08-21,540.0,51.0,253341,253341,Rob Holding,,,,
23/24,Lesión desconocida,2023-12-01,2024-01-10,41.0,8.0,253341,253341,Rob Holding,,,,
21/22,Falta de condición física,2021-08-01,2021-08-09,9.0,,253341,253341,Rob Holding,,,,
20/21,Lesión en el muslo,2020-10-16,2020-10-30,15.0,4.0,253341,253341,Rob Holding,,,,
19/20,Lesión de rodilla,2019-11-10,2019-12-31,52.0,15.0,253341,253341,Rob Holding,,,,
18/19,Rotura del ligamento cruzado,2018-12-05,2019-08-31,270.0,42.0,253341,253341,Rob Holding,,,,
25/26,Lesión de muñeca,2026-04-07,2026-05-31,55.0,6.0,215118,215118,Calum Chambers,,,,
19/20,Rotura del ligamento cruzado,2019-12-29,2020-11-08,316.0,39.0,215118,215118,Calum Chambers,,,,
18/19,Golpe,2018-12-07,2018-12-14,8.0,1.0,215118,215118,Calum Chambers,,,,
18/19,Lesión de tobillo,2018-10-21,2018-11-05,16.0,2.0,215118,215118,Calum Chambers,,,,
17/18,Lesión de cadera,2017-09-21,2017-11-16,57.0,14.0,215118,215118,Calum Chambers,,,,
16/17,Lesión en el pie,2017-02-20,2017-04-17,57.0,9.0,215118,215118,Calum Chambers,,,,
16/17,Lesión en el pie,2017-01-26,2017-02-02,8.0,2.0,215118,215118,Calum Chambers,,,,
25/26,Lesión muscular,2025-12-19,2026-01-02,15.0,2.0,210178,210178,Pablo Marí,,,,
24/25,Cansancio muscular,2025-01-13,2025-02-11,30.0,5.0,210178,210178,Pablo Marí,,,,
23/24,Reacción de estrés del hueso,2023-12-08,2023-12-22,15.0,2.0,210178,210178,Pablo Marí,,,,
23/24,Lesión desconocida,2023-11-11,2023-11-25,15.0,1.0,210178,210178,Pablo Marí,,,,
22/23,Contusión,2023-05-07,2023-05-12,6.0,,210178,210178,Pablo Marí,,,,
22/23,Cirugía,2022-10-27,2022-12-22,57.0,4.0,210178,210178,Pablo Marí,,,,
22/23,Lesión de los músculos abdominales,2022-08-18,2022-09-05,19.0,3.0,210178,210178,Pablo Marí,,,,
20/21,Lesión en el gemelo,2021-01-14,2021-02-08,26.0,6.0,210178,210178,Pablo Marí,,,,
20/21,Lesión de tobillo,2020-06-15,2020-12-03,172.0,29.0,210178,210178,Pablo Marí,,,,
17/18,Lesión de tobillo,2017-10-19,2017-11-16,29.0,2.0,210178,210178,Pablo Marí,,,,
15/16,Desgarro fibrilar,2016-04-07,2016-05-23,47.0,6.0,210178,210178,Pablo Marí,,,,
25/26,Cansancio muscular,2026-02-26,2026-02-28,3.0,,94005,94005,Sead Kolasinac,,,,
25/26,Lesión de banda lateral,2026-01-05,2026-01-15,11.0,2.0,94005,94005,Sead Kolasinac,,,,
25/26,Lesión desconocida,2025-10-31,2025-11-02,3.0,1.0,94005,94005,Sead Kolasinac,,,,
24/25,Rotura del ligamento cruzado,2025-04-14,2025-10-27,197.0,23.0,94005,94005,Sead Kolasinac,,,,
24/25,Lesión del músculo flexor de la pierna,2025-02-02,2025-02-17,16.0,4.0,94005,94005,Sead Kolasinac,,,,
24/25,Lesión muscular,2024-11-06,2024-11-25,20.0,4.0,94005,94005,Sead Kolasinac,,,,
24/25,Fiebre,2024-10-19,2024-10-21,3.0,1.0,94005,94005,Sead Kolasinac,,,,
24/25,Cansancio muscular,2024-08-14,2024-09-09,27.0,4.0,94005,94005,Sead Kolasinac,,,,
23/24,Problemas musculares,2024-05-22,2024-06-03,13.0,2.0,94005,94005,Sead Kolasinac,,,,
23/24,Problemas musculares,2024-05-02,2024-05-20,19.0,5.0,94005,94005,Sead Kolasinac,,,,
23/24,Problemas musculares,2024-04-11,2024-04-15,5.0,1.0,94005,94005,Sead Kolasinac,,,,
23/24,Problemas musculares,2024-01-07,2024-01-09,3.0,,94005,94005,Sead Kolasinac,,,,
23/24,Distorsión del tobillo,2023-12-09,2023-12-17,9.0,2.0,94005,94005,Sead Kolasinac,,,,
23/24,Problemas musculares,2023-11-13,2023-11-23,11.0,2.0,94005,94005,Sead Kolasinac,,,,
22/23,Molestias en el aductor,2023-03-13,2023-03-30,18.0,3.0,94005,94005,Sead Kolasinac,,,,
25/26,Lesión muscular,2026-04-08,2026-04-21,14.0,2.0,46741,46741,David Luiz,,,,
25/26,Lesión muscular,2026-01-18,2026-01-26,9.0,1.0,46741,46741,David Luiz,,,,
