whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1946520,Stadio Olimpico,Gian Piero Gasperini,Bruno Génésio,0 : 1,0 : 1,61561,4140,Erik Lambrechts,2025-10-02T18:45:00
1946521,Stadio Olimpico,Gian Piero Gasperini,Martin Hysky,0 : 2,1 : 2,52263,460,Halil Umut Meler,2025-10-23T21:00:00
1946522,Stadio Olimpico,Gian Piero Gasperini,Mike Tullberg,1 : 0,2 : 1,61653,2952,Nikola Dabanovic,2025-11-27T18:45:00
1946523,Stadio Olimpico,Gian Piero Gasperini,Sebastian Hoeneß,1 : 0,2 : 0,65183,103,John Brooks,2026-01-22T21:00:00
1946524,Estádio do Dragão,Francesco Farioli,Danny Röhl,3 : 1,3 : 1,38213,4141,Jasper Vergoote,2026-01-29T21:00:00
1946525,Estádio do Dragão,Francesco Farioli,Vladan Milojevic,1 : 1,2 : 1,42812,166,Harm Osmers,2025-10-02T21:00:00
1946526,Estádio do Dragão,Francesco Farioli,Franck Haise,2 : 0,3 : 0,37254,1294,Matej Jug,2025-11-27T18:45:00
1946527,Estádio do Dragão,Francesco Farioli,Anes Mravac,2 : 0,2 : 1,33364,2156,Rohit Saggi,2025-12-11T21:00:00
1946528,Stadion Feijenoord,Robin van Persie,Unai Emery,0 : 0,0 : 2,42634,3246,Rade Obrenovic,2025-10-02T21:00:00
1946529,Stadion Feijenoord,Robin van Persie,Martin O'Neill,1 : 2,1 : 3,31582,3596,Sebastian Gishamer,2025-11-27T18:45:00
1946530,Stadion Feijenoord,Robin van Persie,Fabio Ingolitsch,1 : 0,3 : 0,32858,460,Halil Umut Meler,2026-01-22T18:45:00
1946531,Stadion Feijenoord,Robin van Persie,Christos Kontis,1 : 1,3 : 1,37169,166,Harm Osmers,2025-10-23T21:00:00
1946532,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Mario Kovacevic,2 : 0,4 : 0,22146,1240,John Beaton,2025-11-27T18:45:00
1946533,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Razvan Lucescu,0 : 3,3 : 4,23666,2952,Nikola Dabanovic,2025-10-23T21:00:00
1946534,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Julian Schuster,0 : 0,1 : 0,22583,3770,Damian Sylwestrzak,2026-01-29T21:00:00
1946535,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Freyr Alexandersson,0 : 0,2 : 1,17529,746,Allard Lindhout,2025-09-25T18:45:00
1946536,Ibrox Stadium,Danny Röhl,Gian Piero Gasperini,0 : 2,0 : 2,41847,3752,Morten Krogh,2025-11-06T21:00:00
1946537,Ibrox Stadium,Danny Röhl,Carlos Vicens,1 : 0,1 : 1,38014,746,Allard Lindhout,2025-11-27T21:00:00
1946538,Ibrox Stadium,Danny Röhl,Per-Mathias Høgmo,1 : 0,1 : 0,37105,2958,Manfredas Lukjancukas,2026-01-22T21:00:00
1946539,Ibrox Stadium,Russell Martin,Thorsten Fink,0 : 0,0 : 1,37898,1294,Matej Jug,2025-09-25T21:00:00
1946540,Maksimir,Mario Kovacevic,Manuel Pellegrini,0 : 3,1 : 3,11437,4941,Goga Kikacheishvili,2025-12-11T18:45:00
1946541,Maksimir,Mario Kovacevic,Domenico Tedesco,1 : 1,3 : 1,13926,867,Jerome Brisard,2025-09-24T21:00:00
1946542,Maksimir,Mario Kovacevic,Ilias Charalampous,2 : 1,4 : 1,9040,2338,Sander van der Eijk,2026-01-22T21:00:00
1946543,Maksimir,Mario Kovacevic,Claudio Giráldez,0 : 3,0 : 3,19431,2942,Anastasios Papapetrou,2025-11-06T18:45:00
1946544,Estadio La Cartuja de Sevilla,Manuel Pellegrini,Robin van Persie,2 : 0,2 : 1,42688,2952,Nikola Dabanovic,2026-01-29T21:00:00
1946545,Estadio La Cartuja de Sevilla,Manuel Pellegrini,Paulo Alexandre Rodrigues Fonseca,2 : 0,2 : 0,55836,1294,Matej Jug,2025-11-06T21:00:00
1946546,Estadio La Cartuja de Sevilla,Manuel Pellegrini,Ange Postecoglou,1 : 2,2 : 2,57257,1416,Sascha Stegemann,2025-09-24T21:00:00
1946547,Estadio La Cartuja de Sevilla,Manuel Pellegrini,Ron Jans,1 : 0,2 : 1,46170,5292,Nenad Minakovic,2025-11-27T21:00:00
1946548,Red Bull Arena Salzburg,Thomas Letsch,Francesco Farioli,0 : 0,0 : 1,9993,4348,Vasilis Fotias,2025-09-25T21:00:00
1946549,Red Bull Arena Salzburg,Thomas Letsch,Robbie Keane,1 : 0,2 : 3,8342,4941,Goga Kikacheishvili,2025-10-23T18:45:00
1946550,Red Bull Arena Salzburg,Thomas Letsch,Ludovic Magnin,3 : 0,3 : 1,6741,2942,Anastasios Papapetrou,2026-01-22T21:00:00
1946551,Red Bull Arena Salzburg,Thomas Letsch,Melvin Boel,0 : 0,2 : 0,10852,3043,Giorgi Kruashvili,2025-11-06T18:45:00
1946552,Villa Park,Unai Emery,Thomas Letsch,0 : 1,3 : 2,37457,2156,Rohit Saggi,2026-01-29T21:00:00
1946553,Villa Park,Unai Emery,Zarko Lazetic,1 : 0,2 : 0,29429,2336,Julian Weinberger,2025-11-06T21:00:00
1946554,Villa Park,Unai Emery,Gerardo Seoane,2 : 0,2 : 1,32158,2963,Georgi Kabakov,2025-11-27T18:45:00
1946555,Villa Park,Unai Emery,Vincenzo Italiano,1 : 0,1 : 0,30909,189,Jesús Gil Manzano,2025-09-25T21:00:00
1946556,Chobani Stadyumu,Domenico Tedesco,Unai Emery,0 : 1,0 : 1,41414,2380,Luís Miguel Branco Godinho,2026-01-22T18:45:00
1946557,Chobani Stadyumu,Domenico Tedesco,Robbie Keane,0 : 0,1 : 1,37898,169,Ricardo de Burgos Bengoetxea,2025-11-27T18:45:00
1946558,Chobani Stadyumu,Domenico Tedesco,Franck Haise,2 : 1,2 : 1,35523,2439,Srdjan Jovanovic,2025-10-02T18:45:00
1946559,Chobani Stadyumu,Domenico Tedesco,Sebastian Hoeneß,1 : 0,1 : 0,38891,1228,Jakob Kehlet,2025-10-23T18:45:00
1946560,Estádio Municipal de Braga,Carlos Vicens,Robin van Persie,0 : 0,1 : 0,12769,2952,Nikola Dabanovic,2025-09-24T21:00:00
1946561,Estádio Municipal de Braga,Carlos Vicens,Vladan Milojevic,1 : 0,2 : 0,10056,2166,Espen Eskås,2025-10-23T18:45:00
1946562,Estádio Municipal de Braga,Carlos Vicens,Sean Dyche,0 : 0,1 : 0,12377,3509,Igor Pajac,2026-01-22T21:00:00
1946563,Estádio Municipal de Braga,Carlos Vicens,Thorsten Fink,1 : 1,3 : 4,11265,3587,Balazs Berke,2025-11-06T21:00:00
1946564,Rajko Mitic Stadium,Vladan Milojevic,Bruno Génésio,0 : 0,1 : 0,32711,103,John Brooks,2025-11-06T18:45:00
1946565,Rajko Mitic Stadium,Vladan Milojevic,Brendan Rodgers,0 : 0,1 : 1,35721,1681,Radu Marian Petrescu,2025-09-24T21:00:00
1946566,Rajko Mitic Stadium,Vladan Milojevic,Ilias Charalampous,0 : 0,1 : 0,26054,867,Jerome Brisard,2025-11-27T21:00:00
1946567,Rajko Mitic Stadium,Dejan Stankovic,Claudio Giráldez,0 : 0,1 : 1,39116,4913,Andrea Colombo,2026-01-29T21:00:00
1946568,Groupama Stadium,Paulo Alexandre Rodrigues Fonseca,Thomas Letsch,1 : 0,2 : 0,31767,1315,Andris Treimanis,2025-10-02T21:00:00
1946569,Groupama Stadium,Paulo Alexandre Rodrigues Fonseca,Razvan Lucescu,1 : 1,4 : 2,26149,169,Ricardo de Burgos Bengoetxea,2026-01-29T21:00:00
1946570,Groupama Stadium,Paulo Alexandre Rodrigues Fonseca,Ludovic Magnin,1 : 0,2 : 0,35586,2958,Manfredas Lukjancukas,2025-10-23T18:45:00
1946571,Groupama Stadium,Paulo Alexandre Rodrigues Fonseca,Melvin Boel,2 : 1,2 : 1,26403,3586,Juxhin Xhaja,2025-12-11T21:00:00
1946572,Toumba Stadium,Razvan Lucescu,Manuel Pellegrini,0 : 0,2 : 0,22221,3777,Simone Sozza,2026-01-22T18:45:00
1946573,Toumba Stadium,Razvan Lucescu,Zarko Lazetic,0 : 0,0 : 0,19667,1398,Sven Jablonski,2025-09-24T18:45:00
1946574,Toumba Stadium,Razvan Lucescu,Gerardo Seoane,0 : 0,4 : 0,21608,2439,Srdjan Jovanovic,2025-11-06T21:00:00
