whoscored_match_id,match_date,season,competition,attendance,data_source
1946520,2025-10-02,2025/26,Europa League,61561,whoscored
1946521,2025-10-23,2025/26,Europa League,52263,whoscored
1946522,2025-11-27,2025/26,Europa League,61653,whoscored
1946523,2026-01-22,2025/26,Europa League,65183,whoscored
1946524,2026-01-29,2025/26,Europa League,38213,whoscored
1946525,2025-10-02,2025/26,Europa League,42812,whoscored
1946526,2025-11-27,2025/26,Europa League,37254,whoscored
1946527,2025-12-11,2025/26,Europa League,33364,whoscored
1946528,2025-10-02,2025/26,Europa League,42634,whoscored
1946529,2025-11-27,2025/26,Europa League,31582,whoscored
1946530,2026-01-22,2025/26,Europa League,32858,whoscored
1946531,2025-10-23,2025/26,Europa League,37169,whoscored
1946532,2025-11-27,2025/26,Europa League,22146,whoscored
1946533,2025-10-23,2025/26,Europa League,23666,whoscored
1946534,2026-01-29,2025/26,Europa League,22583,whoscored
1946535,2025-09-25,2025/26,Europa League,17529,whoscored
1946536,2025-11-06,2025/26,Europa League,41847,whoscored
1946537,2025-11-27,2025/26,Europa League,38014,whoscored
1946538,2026-01-22,2025/26,Europa League,37105,whoscored
1946539,2025-09-25,2025/26,Europa League,37898,whoscored
1946540,2025-12-11,2025/26,Europa League,11437,whoscored
1946541,2025-09-24,2025/26,Europa League,13926,whoscored
1946542,2026-01-22,2025/26,Europa League,9040,whoscored
1946543,2025-11-06,2025/26,Europa League,19431,whoscored
1946544,2026-01-29,2025/26,Europa League,42688,whoscored
1946545,2025-11-06,2025/26,Europa League,55836,whoscored
1946546,2025-09-24,2025/26,Europa League,57257,whoscored
1946547,2025-11-27,2025/26,Europa League,46170,whoscored
1946548,2025-09-25,2025/26,Europa League,9993,whoscored
1946549,2025-10-23,2025/26,Europa League,8342,whoscored
1946550,2026-01-22,2025/26,Europa League,6741,whoscored
1946551,2025-11-06,2025/26,Europa League,10852,whoscored
1946552,2026-01-29,2025/26,Europa League,37457,whoscored
1946553,2025-11-06,2025/26,Europa League,29429,whoscored
1946554,2025-11-27,2025/26,Europa League,32158,whoscored
1946555,2025-09-25,2025/26,Europa League,30909,whoscored
1946556,2026-01-22,2025/26,Europa League,41414,whoscored
1946557,2025-11-27,2025/26,Europa League,37898,whoscored
1946558,2025-10-02,2025/26,Europa League,35523,whoscored
1946559,2025-10-23,2025/26,Europa League,38891,whoscored
1946560,2025-09-24,2025/26,Europa League,12769,whoscored
1946561,2025-10-23,2025/26,Europa League,10056,whoscored
1946562,2026-01-22,2025/26,Europa League,12377,whoscored
1946563,2025-11-06,2025/26,Europa League,11265,whoscored
1946564,2025-11-06,2025/26,Europa League,32711,whoscored
1946565,2025-09-24,2025/26,Europa League,35721,whoscored
1946566,2025-11-27,2025/26,Europa League,26054,whoscored
1946567,2026-01-29,2025/26,Europa League,39116,whoscored
1946568,2025-10-02,2025/26,Europa League,31767,whoscored
1946569,2026-01-29,2025/26,Europa League,26149,whoscored
1946570,2025-10-23,2025/26,Europa League,35586,whoscored
1946571,2025-12-11,2025/26,Europa League,26403,whoscored
1946572,2026-01-22,2025/26,Europa League,22221,whoscored
1946573,2025-09-24,2025/26,Europa League,19667,whoscored
1946574,2025-11-06,2025/26,Europa League,21608,whoscored
1946575,2025-11-27,2025/26,Europa League,16005,whoscored
1946576,2026-01-22,2025/26,Europa League,11108,whoscored
1946577,2025-11-06,2025/26,Europa League,11090,whoscored
1946578,2025-11-27,2025/26,Europa League,10182,whoscored
1946579,2025-10-02,2025/26,Europa League,10811,whoscored
1946580,2025-12-11,2025/26,Europa League,19567,whoscored
1946581,2025-09-25,2025/26,Europa League,16117,whoscored
1946582,2025-11-06,2025/26,Europa League,18789,whoscored
1946583,2026-01-22,2025/26,Europa League,17879,whoscored
1946584,2025-12-11,2025/26,Europa League,56188,whoscored
1946585,2025-10-02,2025/26,Europa League,46232,whoscored
1946586,2025-10-23,2025/26,Europa League,48278,whoscored
1946587,2026-01-29,2025/26,Europa League,55559,whoscored
1946588,2025-10-02,2025/26,Europa League,255,whoscored
1946589,2025-11-27,2025/26,Europa League,320,whoscored
1946590,2025-10-23,2025/26,Europa League,487,whoscored
1946591,2026-01-29,2025/26,Europa League,81,whoscored
1946592,2025-12-11,2025/26,Europa League,20168,whoscored
1946593,2026-01-22,2025/26,Europa League,22746,whoscored
1946594,2025-10-23,2025/26,Europa League,17526,whoscored
1946595,2025-09-25,2025/26,Europa League,20023,whoscored
1946596,2025-12-11,2025/26,Europa League,27509,whoscored
1946597,2026-01-29,2025/26,Europa League,20454,whoscored
1946598,2025-11-06,2025/26,Europa League,21925,whoscored
1946599,2025-10-02,2025/26,Europa League,33650,whoscored
1946600,2026-01-29,2025/26,Europa League,8297,whoscored
1946601,2025-11-06,2025/26,Europa League,10387,whoscored
1946602,2025-09-24,2025/26,Europa League,8331,whoscored
1946603,2025-12-11,2025/26,Europa League,9820,whoscored
1946604,2025-12-11,2025/26,Europa League,31016,whoscored
1946605,2026-01-22,2025/26,Europa League,17956,whoscored
1946606,2025-09-24,2025/26,Europa League,34300,whoscored
1946607,2025-10-23,2025/26,Europa League,34195,whoscored
1946608,2025-10-02,2025/26,Europa League,5844,whoscored
1946609,2025-12-11,2025/26,Europa League,6433,whoscored
1946610,2026-01-29,2025/26,Europa League,4792,whoscored
1946611,2025-11-27,2025/26,Europa League,4779,whoscored
1946612,2025-10-23,2025/26,Europa League,29195,whoscored
1946613,2026-01-29,2025/26,Europa League,26304,whoscored
1946614,2025-10-02,2025/26,Europa League,29323,whoscored
1946615,2025-11-27,2025/26,Europa League,28941,whoscored
1946616,2025-10-02,2025/26,Europa League,15532,whoscored
1946617,2025-12-11,2025/26,Europa League,16077,whoscored
1946618,2025-11-06,2025/26,Europa League,16192,whoscored
1946619,2026-01-29,2025/26,Europa League,10725,whoscored
1946620,2025-12-11,2025/26,Europa League,22857,whoscored
1946621,2026-01-29,2025/26,Europa League,27752,whoscored
1946622,2025-10-02,2025/26,Europa League,25056,whoscored
1946623,2025-10-23,2025/26,Europa League,27643,whoscored
1946624,2025-09-24,2025/26,Europa League,23089,whoscored
1946625,2025-12-11,2025/26,Europa League,12169,whoscored
1946626,2025-11-06,2025/26,Europa League,15274,whoscored
1946627,2026-01-22,2025/26,Europa League,13037,whoscored
1946628,2025-11-27,2025/26,Europa League,21025,whoscored
1946629,2026-01-22,2025/26,Europa League,23791,whoscored
1946630,2025-10-02,2025/26,Europa League,24428,whoscored
1946631,2025-11-06,2025/26,Europa League,22508,whoscored
1946632,2026-01-22,2025/26,Europa League,20015,whoscored
1946633,2025-10-02,2025/26,Europa League,20849,whoscored
1946634,2025-10-23,2025/26,Europa League,20631,whoscored
1946635,2025-12-11,2025/26,Europa League,20302,whoscored
1946636,2025-11-06,2025/26,Europa League,60000,whoscored
1946637,2025-12-11,2025/26,Europa League,57000,whoscored
1946638,2026-01-29,2025/26,Europa League,57000,whoscored
1946639,2025-09-25,2025/26,Europa League,58000,whoscored
1946640,2026-01-29,2025/26,Europa League,27432,whoscored
1946641,2025-12-11,2025/26,Europa League,17335,whoscored
1946642,2025-11-27,2025/26,Europa League,21013,whoscored
1946643,2025-10-02,2025/26,Europa League,18808,whoscored
1946644,2025-10-23,2025/26,Europa League,14212,whoscored
1946645,2026-01-22,2025/26,Europa League,16852,whoscored
1946646,2025-09-24,2025/26,Europa League,11478,whoscored
1946647,2025-11-06,2025/26,Europa League,12531,whoscored
1946648,2025-10-23,2025/26,Europa League,9598,whoscored
1946649,2026-01-29,2025/26,Europa League,9480,whoscored
1946650,2025-09-25,2025/26,Europa League,9578,whoscored
1946651,2025-11-27,2025/26,Europa League,9448,whoscored
1946652,2025-11-06,2025/26,Europa League,23053,whoscored
1946653,2025-09-25,2025/26,Europa League,22083,whoscored
1946654,2025-12-11,2025/26,Europa League,22865,whoscored
1946655,2026-01-22,2025/26,Europa League,21416,whoscored
1946656,2025-10-23,2025/26,Europa League,16780,whoscored
1946657,2025-10-02,2025/26,Europa League,10630,whoscored
1946658,2025-11-27,2025/26,Europa League,13104,whoscored
1946659,2026-01-29,2025/26,Europa League,11450,whoscored
1946660,2025-10-23,2025/26,Europa League,15800,whoscored
1946661,2025-12-11,2025/26,Europa League,15620,whoscored
1946662,2026-01-22,2025/26,Europa League,15385,whoscored
1946663,2025-10-02,2025/26,Europa League,15366,whoscored
1967253,2026-02-26,2025/26,Europa League,11244,whoscored
1967254,2026-02-19,2025/26,Europa League,20448,whoscored
1967255,2026-02-26,2025/26,Europa League,17989,whoscored
1967256,2026-02-26,2025/26,Europa League,21344,whoscored
1967257,2026-02-26,2025/26,Europa League,11225,whoscored
1967258,2026-02-19,2025/26,Europa League,39840,whoscored
1967259,2026-02-26,2025/26,Europa League,26883,whoscored
1967260,2026-02-26,2025/26,Europa League,58500,whoscored
1967261,2026-02-26,2025/26,Europa League,46477,whoscored
1967262,2026-02-19,2025/26,Europa League,22087,whoscored
1967263,2026-02-26,2025/26,Europa League,19710,whoscored
1967264,2026-02-19,2025/26,Europa League,52901,whoscored
1967265,2026-02-19,2025/26,Europa League,3145,whoscored
1967266,2026-02-19,2025/26,Europa League,10554,whoscored
1967267,2026-02-19,2025/26,Europa League,15680,whoscored
1967268,2026-02-19,2025/26,Europa League,20227,whoscored
1972360,2026-03-12,2025/26,Europa League,19859,whoscored
1972361,2026-03-12,2025/26,Europa League,15550,whoscored
1972362,2026-03-12,2025/26,Europa League,60000,whoscored
1972363,2026-03-12,2025/26,Europa League,26277,whoscored
1972364,2026-03-12,2025/26,Europa League,27479,whoscored
1972365,2026-03-12,2025/26,Europa League,21673,whoscored
1972366,2026-03-12,2025/26,Europa League,29502,whoscored
1972367,2026-03-12,2025/26,Europa League,40187,whoscored
1972368,2026-03-18,2025/26,Europa League,15078,whoscored
1972369,2026-03-19,2025/26,Europa League,33000,whoscored
1972370,2026-03-19,2025/26,Europa League,40675,whoscored
1972371,2026-03-19,2025/26,Europa League,63908,whoscored
1972372,2026-03-19,2025/26,Europa League,60207,whoscored
1972373,2026-03-19,2025/26,Europa League,41764,whoscored
1972374,2026-03-19,2025/26,Europa League,10554,whoscored
1972375,2026-03-19,2025/26,Europa League,37583,whoscored
1974996,2026-04-09,2025/26,Europa League,32600,whoscored
1974997,2026-04-16,2025/26,Europa League,21981,whoscored
1975000,2026-04-09,2025/26,Europa League,46479,whoscored
1975001,2026-04-16,2025/26,Europa League,29560,whoscored
1975002,2026-04-08,2025/26,Europa League,20847,whoscored
1975003,2026-04-16,2025/26,Europa League,66694,whoscored
1975010,2026-04-09,2025/26,Europa League,31142,whoscored
1975011,2026-04-16,2025/26,Europa League,41662,whoscored
1978426,2026-04-30,2025/26,Europa League,29790,whoscored
1978427,2026-05-07,2025/26,Europa League,43028,whoscored
1978428,2026-04-30,2025/26,Europa League,27161,whoscored
1978429,2026-05-07,2025/26,Europa League,33700,whoscored
1979616,2026-05-20,2025/26,Europa League,37324,whoscored
