whoscored_match_id,whoscored_player_id,whoscored_team_id,player_name,side,is_starter,position,shirt_no,age,height_cm,weight_kg,is_man_of_the_match,subbed_in_minute,subbed_out_minute,rating,passes_total,passes_accurate,passes_key,pass_success_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,dribbles_lost,tackles_total,tackles_successful,interceptions,clearances,aerials_total,aerials_won,fouls_committed,was_dribbled_past,dispossessed,touches,offsides_caught,corners_total,corners_accurate,throw_ins_total,throw_ins_accurate,saves_total,saves_parried_safe,saves_parried_danger,claims_high,collected,possession_pct,data_source
1946520,331422,84,Mile Svilar,home,True,GK,99,26,189,77,False,,,7.11,39.0,21.0,,0.0,,,,,,,,,,,,1.0,1.0,,,,54.0,,,,,,4.0,2.0,1.0,,1.0,1.0,whoscored
1946520,344156,84,Mario Hermoso,home,True,DC,22,30,184,75,False,,57.0,6.0,45.0,37.0,,100.0,,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,49.0,,,,,,,,,,,2.0,whoscored
1946520,136481,84,Zeki Çelik,home,True,DC,19,29,180,78,False,,,6.68,44.0,35.0,1.0,100.0,,,,,1.0,,1.0,4.0,4.0,3.0,2.0,3.0,,2.0,,,64.0,,,,1.0,1.0,,,,,,1.0,whoscored
1946520,323450,84,Evan Ndicka,home,True,DC,5,26,192,82,False,,,6.22,49.0,41.0,,0.0,1.0,,1.0,,,,,1.0,,3.0,2.0,3.0,1.0,3.0,1.0,,56.0,,,,,,,,,,,1.0,whoscored
1946520,429481,84,Wesley,home,True,MR,43,22,173,73,False,,,6.6,34.0,25.0,2.0,0.0,1.0,,,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,,,,5.0,80.0,,2.0,,14.0,13.0,,,,,,1.0,whoscored
1946520,486734,84,Neil El Aynaoui,home,True,MC,8,24,185,77,False,,,6.52,45.0,41.0,1.0,100.0,2.0,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,2.0,1.0,2.0,,63.0,,1.0,,,,,,,,,1.0,whoscored
1946520,109149,84,Bryan Cristante,home,True,MC,4,31,186,80,False,,71.0,6.15,47.0,36.0,1.0,100.0,1.0,,1.0,,,,,1.0,,1.0,,5.0,4.0,3.0,1.0,,51.0,,,,,,,,,,,2.0,whoscored
1946520,301455,84,Kostas Tsimikas,home,True,ML,12,30,179,77,False,,48.0,5.54,19.0,15.0,,100.0,2.0,1.0,,1.0,,,,,,1.0,2.0,1.0,,2.0,,1.0,34.0,,1.0,,4.0,4.0,,,,,,1.0,whoscored
1946520,148546,84,Lorenzo Pellegrini,home,True,AMC,7,29,186,77,False,,57.0,6.53,19.0,15.0,3.0,50.0,2.0,1.0,1.0,,,,,1.0,,2.0,,2.0,,2.0,1.0,,28.0,,,1.0,,,,,,,,2.0,whoscored
1946520,425079,84,Matías Soulé,home,True,FW,18,23,182,74,False,,,6.34,41.0,34.0,2.0,100.0,5.0,2.0,1.0,2.0,7.0,1.0,6.0,2.0,,,,2.0,1.0,,2.0,3.0,71.0,,1.0,4.0,,,,,,,,1.0,whoscored
1946520,423720,84,Evan Ferguson,home,True,FW,11,21,183,78,False,,80.0,5.61,9.0,3.0,,0.0,2.0,,1.0,1.0,1.0,,1.0,,,,,5.0,1.0,3.0,,1.0,22.0,,1.0,,,,,,,,,1.0,whoscored
1946520,369570,84,Manu Koné,home,False,Sub,17,25,185,80,False,71.0,,5.99,6.0,5.0,,100.0,2.0,,2.0,,1.0,,1.0,1.0,,1.0,,,,,1.0,2.0,13.0,,,,,,,,,,,1.0,whoscored
1946520,70087,84,Stephan El Shaarawy,home,False,Sub,92,33,178,72,False,57.0,,6.39,14.0,11.0,2.0,100.0,1.0,1.0,,,2.0,,2.0,,,,,2.0,,1.0,,,27.0,,,,1.0,1.0,,,,,,1.0,whoscored
1946520,244804,84,Gianluca Mancini,home,False,Sub,23,30,190,77,False,57.0,,6.51,23.0,15.0,,100.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,,,31.0,,,,,,,,,,,2.0,whoscored
1946520,400165,84,Devyne Rensch,home,False,Sub,2,23,181,75,False,48.0,,6.32,19.0,16.0,1.0,0.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,28.0,,,,3.0,2.0,,,,,,1.0,whoscored
