whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
331422,Mile Svilar,84,Roma,GK,99,2025/26,Europa League,whoscored
344156,Mario Hermoso,84,Roma,DC,22,2025/26,Europa League,whoscored
136481,Zeki Çelik,84,Roma,DC,19,2025/26,Europa League,whoscored
323450,Evan Ndicka,84,Roma,DC,5,2025/26,Europa League,whoscored
429481,Wesley,84,Roma,MR,43,2025/26,Europa League,whoscored
486734,Neil El Aynaoui,84,Roma,MC,8,2025/26,Europa League,whoscored
109149,Bryan Cristante,84,Roma,MC,4,2025/26,Europa League,whoscored
301455,Kostas Tsimikas,84,Roma,ML,12,2025/26,Europa League,whoscored
148546,Lorenzo Pellegrini,84,Roma,AMC,7,2025/26,Europa League,whoscored
425079,Matías Soulé,84,Roma,FW,18,2025/26,Europa League,whoscored
423720,Evan Ferguson,84,Roma,FW,11,2025/26,Europa League,whoscored
369570,Manu Koné,84,Roma,Sub,17,2025/26,Europa League,whoscored
70087,Stephan El Shaarawy,84,Roma,Sub,92,2025/26,Europa League,whoscored
244804,Gianluca Mancini,84,Roma,Sub,23,2025/26,Europa League,whoscored
400165,Devyne Rensch,84,Roma,Sub,2,2025/26,Europa League,whoscored
296975,Artem Dovbyk,84,Roma,Sub,9,2025/26,Europa League,whoscored
476440,Niccolò Pisilli,84,Roma,Sub,61,2025/26,Europa League,whoscored
240990,Pierluigi Gollini,84,Roma,Sub,95,2025/26,Europa League,whoscored
486744,Daniele Ghilardi,84,Roma,Sub,87,2025/26,Europa League,whoscored
551081,Alessio Marcaccini,84,Roma,Sub,73,2025/26,Europa League,whoscored
566741,Jan Ziólkowski,84,Roma,Sub,24,2025/26,Europa League,whoscored
255089,Angeliño,84,Roma,Sub,3,2025/26,Europa League,whoscored
361843,Berke Özer,607,Lille,GK,1,2025/26,Europa League,whoscored
104376,Thomas Meunier,607,Lille,DR,12,2025/26,Europa League,whoscored
90115,Aïssa Mandi,607,Lille,DC,23,2025/26,Europa League,whoscored
104368,Chancel Mbemba,607,Lille,DC,18,2025/26,Europa League,whoscored
271086,Calvin Verdonk,607,Lille,DL,24,2025/26,Europa League,whoscored
412831,Félix Correia,607,Lille,MR,27,2025/26,Europa League,whoscored
137521,Nabil Bentaleb,607,Lille,MC,6,2025/26,Europa League,whoscored
504830,Ayyoub Bouaddi,607,Lille,MC,32,2025/26,Europa League,whoscored
366886,Osame Sahraoui,607,Lille,ML,11,2025/26,Europa League,whoscored
24444,Olivier Giroud,607,Lille,FW,9,2025/26,Europa League,whoscored
424252,Hákon Haraldsson,607,Lille,FW,10,2025/26,Europa League,whoscored
43415,Benjamin André,607,Lille,Sub,21,2025/26,Europa League,whoscored
331466,Romain Perraud,607,Lille,Sub,15,2025/26,Europa League,whoscored
470816,Hamza Igamane,607,Lille,Sub,29,2025/26,Europa League,whoscored
475462,Matias Fernandez-Pardo,607,Lille,Sub,7,2025/26,Europa League,whoscored
468938,Ngal'ayel Mukau,607,Lille,Sub,17,2025/26,Europa League,whoscored
336370,Arnaud Bodart,607,Lille,Sub,16,2025/26,Europa League,whoscored
414495,Nathan Ngoy,607,Lille,Sub,3,2025/26,Europa League,whoscored
432214,Ugo Raghouber,607,Lille,Sub,28,2025/26,Europa League,whoscored
575106,Maxima Goffi,607,Lille,Sub,38,2025/26,Europa League,whoscored
584647,Samy Merzouk,607,Lille,Sub,50,2025/26,Europa League,whoscored
419552,Marius Broholm,607,Lille,Sub,14,2025/26,Europa League,whoscored
447025,Tiago Santos,607,Lille,Sub,22,2025/26,Europa League,whoscored
114863,Paulo Dybala,84,Roma,AMC,21,2025/26,Europa League,whoscored
327682,Leon Bailey,84,Roma,Sub,31,2025/26,Europa League,whoscored
549368,Giorgio De Marzi,84,Roma,Sub,70,2025/26,Europa League,whoscored
401720,Martin Jedlicka,1076,Viktoria Plzen,GK,23,2025/26,Europa League,whoscored
533873,Jan Paluska,1076,Viktoria Plzen,DR,22,2025/26,Europa League,whoscored
399564,Václav Jemelka,1076,Viktoria Plzen,DC,21,2025/26,Europa League,whoscored
455993,Sampson Dweh,1076,Viktoria Plzen,DC,40,2025/26,Europa League,whoscored
409339,Cheick Souaré,1076,Viktoria Plzen,DL,19,2025/26,Europa League,whoscored
538857,Karel Spácil,1076,Viktoria Plzen,DMC,5,2025/26,Europa League,whoscored
428102,Amar Memic,1076,Viktoria Plzen,MR,99,2025/26,Europa League,whoscored
424307,Lukás Cerv,1076,Viktoria Plzen,MC,6,2025/26,Europa League,whoscored
405261,Tomás Ladra,1076,Viktoria Plzen,MC,18,2025/26,Europa League,whoscored
533865,Prince Adu,1076,Viktoria Plzen,ML,80,2025/26,Europa League,whoscored
472299,Rafiu Durosinmi,1076,Viktoria Plzen,FW,17,2025/26,Europa League,whoscored
339639,Milan Havel,1076,Viktoria Plzen,Sub,24,2025/26,Europa League,whoscored
