id_whoscored,canonical_name,data_source
4140,Erik Lambrechts,whoscored
460,Halil Umut Meler,whoscored
2952,Nikola Dabanovic,whoscored
103,John Brooks,whoscored
4141,Jasper Vergoote,whoscored
166,Harm Osmers,whoscored
1294,Matej Jug,whoscored
2156,Rohit Saggi,whoscored
3246,Rade Obrenovic,whoscored
3596,Sebastian Gishamer,whoscored
1240,John Beaton,whoscored
3770,Damian Sylwestrzak,whoscored
746,Allard Lindhout,whoscored
3752,Morten Krogh,whoscored
2958,Manfredas Lukjancukas,whoscored
4941,Goga Kikacheishvili,whoscored
867,Jerome Brisard,whoscored
2338,Sander van der Eijk,whoscored
2942,Anastasios Papapetrou,whoscored
1416,Sascha Stegemann,whoscored
5292,Nenad Minakovic,whoscored
4348,Vasilis Fotias,whoscored
3043,Giorgi Kruashvili,whoscored
2336,Julian Weinberger,whoscored
2963,Georgi Kabakov,whoscored
189,Jesús Gil Manzano,whoscored
2380,Luís Miguel Branco Godinho,whoscored
169,Ricardo de Burgos Bengoetxea,whoscored
2439,Srdjan Jovanovic,whoscored
1228,Jakob Kehlet,whoscored
2166,Espen Eskås,whoscored
3509,Igor Pajac,whoscored
3587,Balazs Berke,whoscored
1681,Radu Marian Petrescu,whoscored
4913,Andrea Colombo,whoscored
1315,Andris Treimanis,whoscored
3586,Juxhin Xhaja,whoscored
3777,Simone Sozza,whoscored
1398,Sven Jablonski,whoscored
2935,Enea Jorgji,whoscored
2167,Mohammed Al Hakim,whoscored
3520,Mykola Balakin,whoscored
1359,István Kovács,whoscored
1396,Tobias Stieler,whoscored
206,Juan Martínez Munuera,whoscored
4992,Mohammed Al Emara,whoscored
2353,António Nobre,whoscored
1319,Kristo Tohver,whoscored
1344,Aliyar Aghayev,whoscored
366,Davide Massa,whoscored
4218,Elchin Masiyev,whoscored
1221,Orel Grinfeeld,whoscored
3742,Horatiu Fesnic,whoscored
4928,Ondrej Berka,whoscored
960,Willy Delajod,whoscored
3234,Guillermo Cuadra Fernández,whoscored
1151,Anastasios Sidiropoulos,whoscored
5654,Oleksiy Derevinskyi,whoscored
2488,Daniel Schlager,whoscored
5085,Marian Barbu,whoscored
2912,Javier Alberola Rojas,whoscored
3595,Nick Walsh,whoscored
3283,Filip Glova,whoscored
3353,Irfan Peljto,whoscored
3739,Robert Hennessy,whoscored
3597,Donatas Rumsas,whoscored
983,Ivan Kruzliak,whoscored
780,Chris Kavanagh,whoscored
339,Marco Guida,whoscored
1128,Felix Zwayer,whoscored
2665,Sandro Schärer,whoscored
331,Maurizio Mariani,whoscored
99,Anthony Taylor,whoscored
861,Benoît Bastien,whoscored
1163,Szymon Marciniak,whoscored
233,José María Sánchez Martínez,whoscored
2106,Glenn Nyberg,whoscored
89,Michael Oliver,whoscored
739,Danny Makkelie,whoscored
2356,João Pinheiro,whoscored
880,François Letexier,whoscored
