whoscored_team_id,team_name,season,competition,data_source
84,Roma,2025/26,Europa League,whoscored
607,Lille,2025/26,Europa League,whoscored
1076,Viktoria Plzen,2025/26,Europa League,whoscored
395,FC Midtjylland,2025/26,Europa League,whoscored
41,Stuttgart,2025/26,Europa League,whoscored
297,Porto,2025/26,Europa League,whoscored
306,Rangers,2025/26,Europa League,whoscored
579,FK Crvena Zvezda,2025/26,Europa League,whoscored
613,Nice,2025/26,Europa League,whoscored
493,Malmoe FF,2025/26,Europa League,whoscored
256,Feyenoord,2025/26,Europa League,whoscored
24,Aston Villa,2025/26,Europa League,whoscored
103,Celtic,2025/26,Europa League,whoscored
390,Sturm Graz,2025/26,Europa League,whoscored
685,Panathinaikos,2025/26,Europa League,whoscored
684,Dinamo Zagreb,2025/26,Europa League,whoscored
851,PAOK Thessaloniki FC,2025/26,Europa League,whoscored
50,Freiburg,2025/26,Europa League,whoscored
446,Brann,2025/26,Europa League,whoscored
288,Braga,2025/26,Europa League,whoscored
9449,Ludogorets Razgrad,2025/26,Europa League,whoscored
140,Genk,2025/26,Europa League,whoscored
54,Real Betis,2025/26,Europa League,whoscored
223,Fenerbahce,2025/26,Europa League,whoscored
1202,FC FCSB,2025/26,Europa League,whoscored
62,Celta Vigo,2025/26,Europa League,whoscored
228,Lyon,2025/26,Europa League,whoscored
174,Nottingham Forest,2025/26,Europa League,whoscored
128,FC Utrecht,2025/26,Europa League,whoscored
361,Salzburg,2025/26,Europa League,whoscored
994,Ferencvaros,2025/26,Europa League,whoscored
401,FC Basel 1893,2025/26,Europa League,whoscored
874,Go Ahead Eagles,2025/26,Europa League,whoscored
1268,Maccabi Tel Aviv,2025/26,Europa League,whoscored
587,Young Boys,2025/26,Europa League,whoscored
71,Bologna,2025/26,Europa League,whoscored
