id_sofascore,canonical_name,team_id_ss,team_name,competition,season,source
770.0,Gerard Piqué,,,La Liga,2021_2022,sofascore
1749.0,Joaquín,,,La Liga,2021_2022,sofascore
3041.0,Raúl Albiol,,,La Liga,2021_2022,sofascore
3306.0,Karim Benzema,,,La Liga,2021_2022,sofascore
4419.0,Dani Alves,,,La Liga,2021_2022,sofascore
4581.0,Raúl García,,,La Liga,2021_2022,sofascore
4697.0,Diego López,2814.0,Espanyol,La Liga,2021_2022,sofascore
7635.0,Ivan Rakitić,,,La Liga,2021_2022,sofascore
9645.0,Antonio Barragán,,,La Liga,2021_2022,sofascore
11781.0,David Silva,,,La Liga,2021_2022,sofascore
11869.0,Jesús Navas,,,La Liga,2021_2022,sofascore
13208.0,Roberto Soldado,,,La Liga,2021_2022,sofascore
13249.0,Claudio Bravo,2816.0,Real Betis,La Liga,2021_2022,sofascore
14046.0,Mario Suárez,,,La Liga,2021_2022,sofascore
14942.0,Andrés Guardado,,,La Liga,2021_2022,sofascore
15354.0,Gareth Bale,,,La Liga,2021_2022,sofascore
15466.0,Luka Modrić,,,La Liga,2021_2022,sofascore
16701.0,Étienne Capoue,,,La Liga,2021_2022,sofascore
16943.0,Luis Suárez,,,La Liga,2021_2022,sofascore
17094.0,Sergio Agüero,,,La Liga,2021_2022,sofascore
17787.0,Marcelo,,,La Liga,2021_2022,sofascore
18184.0,Kiko Casilla,2846.0,Elche,La Liga,2021_2022,sofascore
19356.0,Iago Aspas,,,La Liga,2021_2022,sofascore
21949.0,Óscar Trejo,,,La Liga,2021_2022,sofascore
22141.0,Oier,,,La Liga,2021_2022,sofascore
25682.0,Radamel Falcao,,,La Liga,2021_2022,sofascore
26502.0,Toni Kroos,,,La Liga,2021_2022,sofascore
27583.0,Eden Hazard,,,La Liga,2021_2022,sofascore
27838.0,Álvaro Negredo,,,La Liga,2021_2022,sofascore
28186.0,Martín Cáceres,2849.0,Levante UD,La Liga,2021_2022,sofascore
31517.0,Ángel Montoro,,,La Liga,2021_2022,sofascore
32185.0,Oier Olazábal,2814.0,Espanyol,La Liga,2021_2022,sofascore
32606.0,Fran Mérida,,,La Liga,2021_2022,sofascore
32690.0,Vicente Iborra,,,La Liga,2021_2022,sofascore
33381.0,Papu Gómez,,,La Liga,2021_2022,sofascore
33959.0,Pablo Piatti,,,La Liga,2021_2022,sofascore
34265.0,Manolo Reina,,,La Liga,2021_2022,sofascore
35199.0,Jordi Alba,,,La Liga,2021_2022,sofascore
35219.0,Daniel Wass,,,La Liga,2021_2022,sofascore
36982.0,Damián Suárez,,,La Liga,2021_2022,sofascore
37191.0,John Guidetti,,,La Liga,2021_2022,sofascore
37318.0,Ante Budimir,,,La Liga,2021_2022,sofascore
39009.0,Clément Grenier,,,La Liga,2021_2022,sofascore
39182.0,Dani Parejo,,,La Liga,2021_2022,sofascore
39433.0,Sergio Busquets,,,La Liga,2021_2022,sofascore
40672.0,Francis Coquelin,,,La Liga,2021_2022,sofascore
40878.0,Luuk de Jong,,,La Liga,2021_2022,sofascore
40984.0,Juan Cala,,,La Liga,2021_2022,sofascore
41011.0,Sergio Asenjo,2819.0,Villarreal,La Liga,2021_2022,sofascore
41013.0,Aridane Hernández,,,La Liga,2021_2022,sofascore
41218.0,Aleix Vidal,,,La Liga,2021_2022,sofascore
41560.0,Sergio Canales,,,La Liga,2021_2022,sofascore
41668.0,Coke,,,La Liga,2021_2022,sofascore
41837.0,Fernando,,,La Liga,2021_2022,sofascore
41963.0,Mikel Balenziaga,,,La Liga,2021_2022,sofascore
44577.0,Jaume Costa,,,La Liga,2021_2022,sofascore
46125.0,José Ángel,,,La Liga,2021_2022,sofascore
47625.0,David Timor,,,La Liga,2021_2022,sofascore
48751.0,Mario Gaspar,,,La Liga,2021_2022,sofascore
50730.0,Lago Júnior,,,La Liga,2021_2022,sofascore
51498.0,Pierre-Emerick Aubameyang,,,La Liga,2021_2022,sofascore
52093.0,Ángel Rodríguez,,,La Liga,2021_2022,sofascore
52125.0,Alberto Perea,,,La Liga,2021_2022,sofascore
52663.0,Óscar de Marcos,,,La Liga,2021_2022,sofascore
66471.0,Martin Braithwaite,,,La Liga,2021_2022,sofascore
66477.0,Thomas Delaney,,,La Liga,2021_2022,sofascore
66492.0,David Alaba,,,La Liga,2021_2022,sofascore
67608.0,Varazdat Haroyan,,,La Liga,2021_2022,sofascore
67739.0,Nikola Vukčević,,,La Liga,2021_2022,sofascore
68332.0,Nemanja Gudelj,,,La Liga,2021_2022,sofascore
69256.0,Kieran Trippier,,,La Liga,2021_2022,sofascore
69404.0,Nacho Fernández,,,La Liga,2021_2022,sofascore
69418.0,Joselu,,,La Liga,2021_2022,sofascore
69768.0,Jan Oblak,,,La Liga,2021_2022,sofascore
70630.0,Šime Vrsaljko,,,La Liga,2021_2022,sofascore
70988.0,Thibaut Courtois,2829.0,Real Madrid,La Liga,2021_2022,sofascore
71707.0,Iker Muniain,,,La Liga,2021_2022,sofascore
76265.0,Stefan Savić,,,La Liga,2021_2022,sofascore
79853.0,Javier Pastore,,,La Liga,2021_2022,sofascore
81992.0,Leandro Cabrera,,,La Liga,2021_2022,sofascore
82400.0,Víctor Ruiz,,,La Liga,2021_2022,sofascore
82401.0,Dídac Vila,2814.0,Espanyol,La Liga,2021_2022,sofascore
82555.0,Maxime Gonalons,,,La Liga,2021_2022,sofascore
83506.0,Hugo Mallo,,,La Liga,2021_2022,sofascore
83618.0,Jorge Molina,,,La Liga,2021_2022,sofascore
83864.0,Salva Sevilla,,,La Liga,2021_2022,sofascore
84298.0,Víctor Laguardia,,,La Liga,2021_2022,sofascore
84531.0,Yuri Berchiche,,,La Liga,2021_2022,sofascore
84539.0,Koke,,,La Liga,2021_2022,sofascore
84972.0,Kike García,,,La Liga,2021_2022,sofascore
85859.0,Antoine Griezmann,,,La Liga,2021_2022,sofascore
88528.0,Florian Lejeune,,,La Liga,2021_2022,sofascore
88625.0,Marc-André Ter Stegen,2817.0,FC Barcelona,La Liga,2021_2022,sofascore
88859.0,Sergio Escudero,,,La Liga,2021_2022,sofascore
89894.0,Shkodran Mustafi,,,La Liga,2021_2022,sofascore
94527.0,Marko Dmitrović,2833.0,Sevilla,La Liga,2021_2022,sofascore
94539.0,Darko Brašanac,,,La Liga,2021_2022,sofascore
96363.0,Jonas Ramalho,,,La Liga,2021_2022,sofascore
96365.0,Iñigo Ruiz de Galarreta,,,La Liga,2021_2022,sofascore
96366.0,Paco Alcácer,,,La Liga,2021_2022,sofascore
96367.0,Rafinha Alcântara,,,La Liga,2021_2022,sofascore
96369.0,Juanmi,,,La Liga,2021_2022,sofascore
96370.0,Suso,,,La Liga,2021_2022,sofascore
96373.0,José Campaña,,,La Liga,2021_2022,sofascore
