team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
13,atletico-madrid,2021,Atlético de Madrid,70460,70460,,,,,,,,Atlético Madrid,,Riyadh Air Metropolitano,,España,,Césped natural,,https://www.transfermarkt.es/atletico-madrid/stadion/verein/13/saison_id/2021,,,,,,,,,
131,fc-barcelona,2021,FC Barcelona,62657,99354,,,,,,,,Fútbol Club Barcelona,,Spotify Camp Nou,,España,,Césped híbrido,,https://www.transfermarkt.es/fc-barcelona/stadion/verein/131/saison_id/2021,,,,,,,,,
150,real-betis-sevilla,2021,Real Betis Balompié,70000,70000,,,,,,,,Sociedad Estadio Olímpico de Sevilla S.A.,,La Cartuja,,España,,Césped natural,,https://www.transfermarkt.es/real-betis-sevilla/stadion/verein/150/saison_id/2021,,,,,,,,,
237,rcd-mallorca,2021,RCD Mallorca,26020,26020,,,,,,,,Ajuntament de Palma,,Mallorca Son Moix,,España,,Césped natural,,https://www.transfermarkt.es/rcd-mallorca/stadion/verein/237/saison_id/2021,,,,,,,,,
331,ca-osasuna,2021,CA Osasuna,23576,23576,,,,,,,,Pamplona,,El Sadar,,España,"3,30 mill. €",Césped natural,,https://www.transfermarkt.es/ca-osasuna/stadion/verein/331/saison_id/2021,,,,,,,,,
367,rayo-vallecano,2021,Rayo Vallecano,14708,14708,,,2,,,,,Stadt Madrid,,Estadio de Vallecas,,España,,Césped natural,,https://www.transfermarkt.es/rayo-vallecano/stadion/verein/367/saison_id/2021,,,,,,,,,
368,fc-sevilla,2021,Sevilla FC,43883,43883,,,,,,,,Sevilla Fútbol Club,,Ramón Sánchez-Pizjuán,,España,,Césped natural,,https://www.transfermarkt.es/fc-sevilla/stadion/verein/368/saison_id/2021,,,,,,,,,
418,real-madrid,2021,Real Madrid CF,83186,83186,,,261,,,,,Real Madrid C.F.,,Santiago Bernabéu,,España,"288,00 mill. €",Césped natural,,https://www.transfermarkt.es/real-madrid/stadion/verein/418/saison_id/2021,,,,,,,,,
621,athletic-bilbao,2021,Athletic Club,53289,53289,,,,,,,,San Mamés Barria S.L.,,San Mamés,,España,"211,00 mill. €",Césped natural,,https://www.transfermarkt.es/athletic-bilbao/stadion/verein/621/saison_id/2021,,,,,,,,,
681,real-sociedad-san-sebastian,2021,Real Sociedad,39313,39313,,,,,,,,"Real Sociedad de Fútbol, S.A.D.",,Anoeta,,España,,Césped natural,,https://www.transfermarkt.es/real-sociedad-san-sebastian/stadion/verein/681/saison_id/2021,,,,,,,,,
714,espanyol-barcelona,2021,RCD Espanyol,37776,37776,,,,,,,,R.C.D. Espanyol Barcelona,,RCDE Stadium,,España,"65,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/espanyol-barcelona/stadion/verein/714/saison_id/2021,,,,,,,,,
940,celta-vigo,2021,RC Celta de Vigo,22803,22803,,,,,,,,Ayuntamiento de Vigo,,Abanca Balaídos,,España,,Césped natural,,https://www.transfermarkt.es/celta-vigo/stadion/verein/940/saison_id/2021,,,,,,,,,
1049,fc-valencia,2021,Valencia CF,49430,49430,,,,,,,,Stadt Valencia,,Mestalla,,España,,Césped natural,,https://www.transfermarkt.es/fc-valencia/stadion/verein/1049/saison_id/2021,,,,,,,,,
1050,fc-villarreal,2021,Villarreal CF,23500,23500,,,30,,,,,Stadt Villarreal,,La Cerámica,,España,,Césped natural,,https://www.transfermarkt.es/fc-villarreal/stadion/verein/1050/saison_id/2021,,,,,,,,,
1108,deportivo-alaves,2021,Deportivo Alavés,19840,19840,,,,,,,,,,Mendizorroza,,España,,Césped natural,,https://www.transfermarkt.es/deportivo-alaves/stadion/verein/1108/saison_id/2021,,,,,,,,,
1531,fc-elche,2021,Elche CF,31388,31388,,,22,,,,,,,Manuel Martínez Valero,,España,,Césped natural,,https://www.transfermarkt.es/fc-elche/stadion/verein/1531/saison_id/2021,,,,,,,,,
2687,fc-cadiz,2021,Cádiz CF,21094,21094,,,,,,,,Ayuntamiento de Cádiz,,JP Financial,,España,,Césped natural,,https://www.transfermarkt.es/fc-cadiz/stadion/verein/2687/saison_id/2021,,,,,,,,,
3368,ud-levante,2021,Levante UD,26354,26354,,,16,,,,,"Levante Unión Deportiva, S.A.D.",,Ciutat de València,,España,,Césped natural,,https://www.transfermarkt.es/ud-levante/stadion/verein/3368/saison_id/2021,,,,,,,,,
3709,fc-getafe,2021,Getafe CF,16800,16800,,,,,,,,,,Coliseum,,España,,Césped natural,,https://www.transfermarkt.es/fc-getafe/stadion/verein/3709/saison_id/2021,,,,,,,,,
16795,fc-granada,2021,Granada CF,19336,19336,,,,,,,,Ayuntamiento de Granada,,Nuevo Los Cármenes,,España,,Césped natural,,https://www.transfermarkt.es/fc-granada/stadion/verein/16795/saison_id/2021,,,,,,,,,
