whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
95915,Fernando Pacheco,60,Deportivo Alaves,GK,1,2021/22,La Liga,whoscored
333111,Martín Aguirregabiria,60,Deportivo Alaves,DR,21,2021/22,La Liga,whoscored
80758,Florian Lejeune,60,Deportivo Alaves,DC,22,2021/22,La Liga,whoscored
79708,Víctor Laguardia,60,Deportivo Alaves,DC,5,2021/22,La Liga,whoscored
261286,Rubén Duarte,60,Deportivo Alaves,DL,3,2021/22,La Liga,whoscored
83504,Tomás Pina,60,Deportivo Alaves,DMC,8,2021/22,La Liga,whoscored
140929,Pere Pons,60,Deportivo Alaves,DMC,20,2021/22,La Liga,whoscored
381713,Luis Rioja,60,Deportivo Alaves,AMR,11,2021/22,La Liga,whoscored
295950,Manu García,60,Deportivo Alaves,AMC,14,2021/22,La Liga,whoscored
141068,Édgar Méndez,60,Deportivo Alaves,AML,17,2021/22,La Liga,whoscored
74603,Joselu,60,Deportivo Alaves,FW,9,2021/22,La Liga,whoscored
336284,Mamadou Loum,60,Deportivo Alaves,Sub,6,2021/22,La Liga,whoscored
372473,Iván Martín,60,Deportivo Alaves,Sub,19,2021/22,La Liga,whoscored
333359,Toni Moya,60,Deportivo Alaves,Sub,15,2021/22,La Liga,whoscored
41420,John Guidetti,60,Deportivo Alaves,Sub,10,2021/22,La Liga,whoscored
404086,Facundo Pellistri,60,Deportivo Alaves,Sub,18,2021/22,La Liga,whoscored
422825,Taichi Hara,60,Deportivo Alaves,Sub,29,2021/22,La Liga,whoscored
409740,Abdel Abqar,60,Deportivo Alaves,Sub,26,2021/22,La Liga,whoscored
336836,Tachi,60,Deportivo Alaves,Sub,2,2021/22,La Liga,whoscored
395234,Javi López,60,Deportivo Alaves,Sub,27,2021/22,La Liga,whoscored
135663,Lucas Pérez,60,Deportivo Alaves,Sub,7,2021/22,La Liga,whoscored
140808,Saúl García,60,Deportivo Alaves,Sub,12,2021/22,La Liga,whoscored
141044,Antonio Sivera,60,Deportivo Alaves,Sub,13,2021/22,La Liga,whoscored
73798,Thibaut Courtois,52,Real Madrid,GK,1,2021/22,La Liga,whoscored
144511,Lucas Vázquez,52,Real Madrid,DR,17,2021/22,La Liga,whoscored
337879,Éder Militão,52,Real Madrid,DC,3,2021/22,La Liga,whoscored
106875,Nacho,52,Real Madrid,DC,6,2021/22,La Liga,whoscored
39722,David Alaba,52,Real Madrid,DL,4,2021/22,La Liga,whoscored
88526,Casemiro,52,Real Madrid,MC,14,2021/22,La Liga,whoscored
20874,Luka Modric,52,Real Madrid,MC,10,2021/22,La Liga,whoscored
344644,Federico Valverde,52,Real Madrid,MC,15,2021/22,La Liga,whoscored
13812,Gareth Bale,52,Real Madrid,FWR,18,2021/22,La Liga,whoscored
14296,Karim Benzema,52,Real Madrid,FW,9,2021/22,La Liga,whoscored
33404,Eden Hazard,52,Real Madrid,FWL,7,2021/22,La Liga,whoscored
337782,Vinícius Júnior,52,Real Madrid,Sub,20,2021/22,La Liga,whoscored
347862,Rodrygo,52,Real Madrid,Sub,21,2021/22,La Liga,whoscored
315755,Luka Jovic,52,Real Madrid,Sub,16,2021/22,La Liga,whoscored
82989,Isco,52,Real Madrid,Sub,22,2021/22,La Liga,whoscored
137467,Marco Asensio,52,Real Madrid,Sub,11,2021/22,La Liga,whoscored
317354,Álvaro Odriozola,52,Real Madrid,Sub,19,2021/22,La Liga,whoscored
395788,Miguel Gutiérrez,52,Real Madrid,Sub,35,2021/22,La Liga,whoscored
409467,Antonio Blanco,52,Real Madrid,Sub,27,2021/22,La Liga,whoscored
422826,Toni Fuidias,52,Real Madrid,Sub,40,2021/22,La Liga,whoscored
345031,Andrii Lunin,52,Real Madrid,Sub,13,2021/22,La Liga,whoscored
76202,Neto,65,Barcelona,GK,13,2021/22,La Liga,whoscored
379205,Sergiño Dest,65,Barcelona,DR,2,2021/22,La Liga,whoscored
12712,Gerard Piqué,65,Barcelona,DC,3,2021/22,La Liga,whoscored
368091,Eric García,65,Barcelona,DC,24,2021/22,La Liga,whoscored
44288,Jordi Alba,65,Barcelona,DL,18,2021/22,La Liga,whoscored
279423,Frenkie de Jong,65,Barcelona,MC,21,2021/22,La Liga,whoscored
44721,Sergio Busquets,65,Barcelona,MC,5,2021/22,La Liga,whoscored
402197,Pedri,65,Barcelona,MC,16,2021/22,La Liga,whoscored
80241,Antoine Griezmann,65,Barcelona,FWR,7,2021/22,La Liga,whoscored
110154,Memphis Depay,65,Barcelona,FW,9,2021/22,La Liga,whoscored
73494,Martin Braithwaite,65,Barcelona,FWL,12,2021/22,La Liga,whoscored
328512,Emerson Royal,65,Barcelona,Sub,22,2021/22,La Liga,whoscored
236511,Clément Lenglet,65,Barcelona,Sub,15,2021/22,La Liga,whoscored
90782,Sergi Roberto,65,Barcelona,Sub,20,2021/22,La Liga,whoscored
422939,Nico González,65,Barcelona,Sub,28,2021/22,La Liga,whoscored
384711,Ronald Araujo,65,Barcelona,Sub,4,2021/22,La Liga,whoscored
294136,Rey Manaj,65,Barcelona,Sub,14,2021/22,La Liga,whoscored
399627,Yusuf Demir,65,Barcelona,Sub,27,2021/22,La Liga,whoscored
367164,Iñaki Peña,65,Barcelona,Sub,26,2021/22,La Liga,whoscored
372827,Riqui Puig,65,Barcelona,Sub,6,2021/22,La Liga,whoscored
422937,Gavi,65,Barcelona,Sub,30,2021/22,La Liga,whoscored
422938,Alejandro Balde,65,Barcelona,Sub,31,2021/22,La Liga,whoscored
396147,Arnau Tenas,65,Barcelona,Sub,36,2021/22,La Liga,whoscored
270504,Álex Remiro,68,Real Sociedad,GK,1,2021/22,La Liga,whoscored
135911,Joseba Zaldúa,68,Real Sociedad,DR,2,2021/22,La Liga,whoscored
256864,Aritz Elustondo,68,Real Sociedad,DC,6,2021/22,La Liga,whoscored
367008,Robin Le Normand,68,Real Sociedad,DC,24,2021/22,La Liga,whoscored
367583,Aihen Muñoz,68,Real Sociedad,DL,12,2021/22,La Liga,whoscored
238916,Mikel Merino,68,Real Sociedad,DMC,8,2021/22,La Liga,whoscored
372424,Martín Zubimendi,68,Real Sociedad,DMC,3,2021/22,La Liga,whoscored
130334,Adnan Januzaj,68,Real Sociedad,AMR,11,2021/22,La Liga,whoscored
14102,David Silva,68,Real Sociedad,AMC,21,2021/22,La Liga,whoscored
298839,Mikel Oyarzabal,68,Real Sociedad,AML,10,2021/22,La Liga,whoscored
106895,Portu,68,Real Sociedad,FW,7,2021/22,La Liga,whoscored
312690,Jon Bautista,68,Real Sociedad,Sub,25,2021/22,La Liga,whoscored
345908,Andoni Gorosabel,68,Real Sociedad,Sub,18,2021/22,La Liga,whoscored
367857,Ander Barrenetxea,68,Real Sociedad,Sub,22,2021/22,La Liga,whoscored
391317,Julen Lobete,68,Real Sociedad,Sub,35,2021/22,La Liga,whoscored
395320,Jon Pacheco,68,Real Sociedad,Sub,26,2021/22,La Liga,whoscored
344120,Ander Guevara,68,Real Sociedad,Sub,16,2021/22,La Liga,whoscored
400237,Robert Navarro,68,Real Sociedad,Sub,29,2021/22,La Liga,whoscored
404495,Gaizka Ayesa,68,Real Sociedad,Sub,34,2021/22,La Liga,whoscored
407138,Beñat Turrientes,68,Real Sociedad,Sub,27,2021/22,La Liga,whoscored
87094,Asier Illarramendi,68,Real Sociedad,Sub,4,2021/22,La Liga,whoscored
422916,Matías Dituro,62,Celta Vigo,GK,1,2021/22,La Liga,whoscored
79929,Hugo Mallo,62,Celta Vigo,DR,2,2021/22,La Liga,whoscored
88191,Néstor Araújo,62,Celta Vigo,DC,4,2021/22,La Liga,whoscored
395424,José Fontán,62,Celta Vigo,DC,19,2021/22,La Liga,whoscored
369497,Javi Galán,62,Celta Vigo,DL,17,2021/22,La Liga,whoscored
136987,Renato Tapia,62,Celta Vigo,DMC,14,2021/22,La Liga,whoscored
91267,Nolito,62,Celta Vigo,MC,9,2021/22,La Liga,whoscored
106525,Denis Suárez,62,Celta Vigo,MC,6,2021/22,La Liga,whoscored
344542,Brais Méndez,62,Celta Vigo,MC,23,2021/22,La Liga,whoscored
125838,Santi Mina,62,Celta Vigo,FW,22,2021/22,La Liga,whoscored
91242,Iago Aspas,62,Celta Vigo,FW,10,2021/22,La Liga,whoscored
121737,Augusto Solari,62,Celta Vigo,Sub,21,2021/22,La Liga,whoscored
303910,Franco Cervi,62,Celta Vigo,Sub,11,2021/22,La Liga,whoscored
362421,Fran Beltrán,62,Celta Vigo,Sub,8,2021/22,La Liga,whoscored
399951,Miguel Baeza,62,Celta Vigo,Sub,16,2021/22,La Liga,whoscored
320713,Joseph Aidoo,62,Celta Vigo,Sub,15,2021/22,La Liga,whoscored
279512,Kevin Vázquez,62,Celta Vigo,Sub,20,2021/22,La Liga,whoscored
120335,Rubén Blanco,62,Celta Vigo,Sub,13,2021/22,La Liga,whoscored
415344,Carlos Domínguez,62,Celta Vigo,Sub,28,2021/22,La Liga,whoscored
76662,Jan Oblak,63,Atletico,GK,13,2021/22,La Liga,whoscored
77564,Stefan Savic,63,Atletico,DC,15,2021/22,La Liga,whoscored
344156,Mario Hermoso,63,Atletico,DC,22,2021/22,La Liga,whoscored
135914,José María Giménez,63,Atletico,DC,2,2021/22,La Liga,whoscored
91978,Geoffrey Kondogbia,63,Atletico,DMC,4,2021/22,La Liga,whoscored
254582,Marcos Llorente,63,Atletico,MR,14,2021/22,La Liga,whoscored
132962,Thomas Lemar,63,Atletico,MC,11,2021/22,La Liga,whoscored
80764,Koke,63,Atletico,MC,6,2021/22,La Liga,whoscored
112161,Saúl,63,Atletico,ML,8,2021/22,La Liga,whoscored
127604,Ángel Correa,63,Atletico,FW,10,2021/22,La Liga,whoscored
115472,Yannick Carrasco,63,Atletico,FW,21,2021/22,La Liga,whoscored
125547,Rodrigo De Paul,63,Atletico,Sub,5,2021/22,La Liga,whoscored
326646,Renan Lodi,63,Atletico,Sub,12,2021/22,La Liga,whoscored
77059,Sime Vrsaljko,63,Atletico,Sub,24,2021/22,La Liga,whoscored
22221,Luis Suárez,63,Atletico,Sub,9,2021/22,La Liga,whoscored
83078,Kieran Trippier,63,Atletico,Sub,23,2021/22,La Liga,whoscored
422918,Giuliano Simeone,63,Atletico,Sub,27,2021/22,La Liga,whoscored
377309,Ivo Grbic,63,Atletico,Sub,1,2021/22,La Liga,whoscored
422917,Javi Serrano,63,Atletico,Sub,26,2021/22,La Liga,whoscored
372469,Sergio Camello,63,Atletico,Sub,29,2021/22,La Liga,whoscored
36262,Manolo Reina,51,Mallorca,GK,1,2021/22,La Liga,whoscored
294848,Pablo Maffeo,51,Mallorca,DR,15,2021/22,La Liga,whoscored
142387,Martin Valjent,51,Mallorca,DC,24,2021/22,La Liga,whoscored
294006,Antonio Raíllo,51,Mallorca,DC,21,2021/22,La Liga,whoscored
422770,Brian Oliván,51,Mallorca,DL,3,2021/22,La Liga,whoscored
381644,Iddrisu Baba,51,Mallorca,MC,12,2021/22,La Liga,whoscored
33222,Salva Sevilla,51,Mallorca,MC,8,2021/22,La Liga,whoscored
106586,Íñigo Ruíz de Galarreta,51,Mallorca,MC,4,2021/22,La Liga,whoscored
347858,Jordi Mboula,51,Mallorca,FWR,7,2021/22,La Liga,whoscored
22325,Ángel Rodríguez,51,Mallorca,FW,22,2021/22,La Liga,whoscored
6227,Dani Rodríguez,51,Mallorca,FWL,14,2021/22,La Liga,whoscored
377285,Takefusa Kubo,51,Mallorca,Sub,17,2021/22,La Liga,whoscored
315298,Amath Ndiaye,51,Mallorca,Sub,23,2021/22,La Liga,whoscored
294019,Aleksandar Sedlar,51,Mallorca,Sub,20,2021/22,La Liga,whoscored
381643,Aleix Febas,51,Mallorca,Sub,6,2021/22,La Liga,whoscored
141036,Lago Junior,51,Mallorca,Sub,11,2021/22,La Liga,whoscored
134739,Rodrigo Battaglia,51,Mallorca,Sub,16,2021/22,La Liga,whoscored
422771,Franco Russo,51,Mallorca,Sub,5,2021/22,La Liga,whoscored
383094,Dominik Greif,51,Mallorca,Sub,13,2021/22,La Liga,whoscored
9270,Abdón Prats,51,Mallorca,Sub,9,2021/22,La Liga,whoscored
381642,Joan Sastre,51,Mallorca,Sub,2,2021/22,La Liga,whoscored
369090,Víctor Mollejo,51,Mallorca,Sub,35,2021/22,La Liga,whoscored
422772,Pablo Gálvez,51,Mallorca,Sub,27,2021/22,La Liga,whoscored
141833,Rui Silva,54,Real Betis,GK,13,2021/22,La Liga,whoscored
91387,Martín Montoya,54,Real Betis,DR,2,2021/22,La Liga,whoscored
79558,Víctor Ruiz,54,Real Betis,DC,6,2021/22,La Liga,whoscored
387160,Edgar González,54,Real Betis,DC,3,2021/22,La Liga,whoscored
135374,Álex Moreno,54,Real Betis,DL,15,2021/22,La Liga,whoscored
44189,Sergio Canales,54,Real Betis,DMC,10,2021/22,La Liga,whoscored
369100,Paul Akouokou,54,Real Betis,DMC,4,2021/22,La Liga,whoscored
395188,Rodri,54,Real Betis,AMR,28,2021/22,La Liga,whoscored
134893,Nabil Fekir,54,Real Betis,AMC,8,2021/22,La Liga,whoscored
349494,Aitor Ruibal,54,Real Betis,AML,24,2021/22,La Liga,whoscored
259042,Borja Iglesias,54,Real Betis,FW,9,2021/22,La Liga,whoscored
21019,Andrés Guardado,54,Real Betis,Sub,18,2021/22,La Liga,whoscored
83080,Juanmi,54,Real Betis,Sub,7,2021/22,La Liga,whoscored
3283,Joaquín,54,Real Betis,Sub,17,2021/22,La Liga,whoscored
422773,José Calderón,54,Real Betis,Sub,36,2021/22,La Liga,whoscored
365712,Rober González,54,Real Betis,Sub,27,2021/22,La Liga,whoscored
303876,Guido Rodríguez,54,Real Betis,Sub,21,2021/22,La Liga,whoscored
14199,Claudio Bravo,54,Real Betis,Sub,25,2021/22,La Liga,whoscored
370370,Yassin Fekir,54,Real Betis,Sub,19,2021/22,La Liga,whoscored
99911,William Carvalho,54,Real Betis,Sub,14,2021/22,La Liga,whoscored
351684,Loren Morón,54,Real Betis,Sub,16,2021/22,La Liga,whoscored
400150,Fran Delgado,54,Real Betis,Sub,32,2021/22,La Liga,whoscored
422774,Kike Hermoso,54,Real Betis,Sub,37,2021/22,La Liga,whoscored
136130,Jeremías Ledesma,1354,Cadiz,GK,1,2021/22,La Liga,whoscored
139639,Carlos Akapo,1354,Cadiz,DR,15,2021/22,La Liga,whoscored
108150,Varazdat Haroyan,1354,Cadiz,DC,5,2021/22,La Liga,whoscored
400051,Fali,1354,Cadiz,DC,3,2021/22,La Liga,whoscored
143655,Pacha Espino,1354,Cadiz,DL,22,2021/22,La Liga,whoscored
417743,Tomás Alarcón,1354,Cadiz,DMC,12,2021/22,La Liga,whoscored
283284,Jens Jønsson,1354,Cadiz,DMC,2,2021/22,La Liga,whoscored
400048,Salvi Sánchez,1354,Cadiz,AMR,7,2021/22,La Liga,whoscored
95551,Álex Fernández,1354,Cadiz,AMC,8,2021/22,La Liga,whoscored
90003,Anthony Lozano,1354,Cadiz,AML,9,2021/22,La Liga,whoscored
23757,Álvaro Negredo,1354,Cadiz,FW,18,2021/22,La Liga,whoscored
422766,Milutin Osmajic,1354,Cadiz,Sub,29,2021/22,La Liga,whoscored
402862,Victor Chust,1354,Cadiz,Sub,32,2021/22,La Liga,whoscored
344202,Álvaro Jiménez,1354,Cadiz,Sub,11,2021/22,La Liga,whoscored
400046,Iza Carcelén,1354,Cadiz,Sub,20,2021/22,La Liga,whoscored
93543,Alberto Perea,1354,Cadiz,Sub,10,2021/22,La Liga,whoscored
400045,Marcos Mauro,1354,Cadiz,Sub,4,2021/22,La Liga,whoscored
400052,Juan Flere,1354,Cadiz,Sub,26,2021/22,La Liga,whoscored
422767,Iván Chapela,1354,Cadiz,Sub,27,2021/22,La Liga,whoscored
401256,Martín Calderón,1354,Cadiz,Sub,28,2021/22,La Liga,whoscored
415804,Álvaro Bastida,1354,Cadiz,Sub,30,2021/22,La Liga,whoscored
34524,Juan Cala,1354,Cadiz,Sub,16,2021/22,La Liga,whoscored
137372,David Gil,1354,Cadiz,Sub,13,2021/22,La Liga,whoscored
91194,Aitor Fernández,832,Levante,GK,13,2021/22,La Liga,whoscored
400359,Son,832,Levante,DR,2,2021/22,La Liga,whoscored
89851,Óscar Duarte,832,Levante,DC,6,2021/22,La Liga,whoscored
301467,Róber Pier,832,Levante,DC,4,2021/22,La Liga,whoscored
106595,Carlos Clerc,832,Levante,DL,19,2021/22,La Liga,whoscored
386230,Jorge de Frutos,832,Levante,MR,18,2021/22,La Liga,whoscored
261698,Gonzalo Melero,832,Levante,MC,22,2021/22,La Liga,whoscored
91214,José Campaña,832,Levante,MC,24,2021/22,La Liga,whoscored
135321,José Luis Morales,832,Levante,ML,11,2021/22,La Liga,whoscored
109811,Roger Martí,832,Levante,FW,9,2021/22,La Liga,whoscored
18275,Roberto Soldado,832,Levante,FW,16,2021/22,La Liga,whoscored
137436,Mickaël Malsa,832,Levante,Sub,12,2021/22,La Liga,whoscored
275687,Enis Bardhi,832,Levante,Sub,10,2021/22,La Liga,whoscored
388808,Pablo Martínez,832,Levante,Sub,25,2021/22,La Liga,whoscored
140767,Jorge Miramón,832,Levante,Sub,20,2021/22,La Liga,whoscored
400358,Dani Gómez,832,Levante,Sub,21,2021/22,La Liga,whoscored
50069,Nikola Vukcevic,832,Levante,Sub,17,2021/22,La Liga,whoscored
130356,Rúben Vezo,832,Levante,Sub,14,2021/22,La Liga,whoscored
239053,Nemanja Radoja,832,Levante,Sub,5,2021/22,La Liga,whoscored
414421,Álex Cantero,832,Levante,Sub,29,2021/22,La Liga,whoscored
422768,Enric Franquesa,832,Levante,Sub,3,2021/22,La Liga,whoscored
386261,Dani Cárdenas,832,Levante,Sub,34,2021/22,La Liga,whoscored
44486,Coke,832,Levante,Sub,23,2021/22,La Liga,whoscored
381674,Sergio Herrera,131,Osasuna,GK,1,2021/22,La Liga,whoscored
