whoscored_team_id,team_name,season,competition,data_source
53,Athletic Club,2022/23,La Liga,whoscored
55,Valencia,2022/23,La Liga,whoscored
63,Atletico,2022/23,La Liga,whoscored
839,Villarreal,2022/23,La Liga,whoscored
62,Celta Vigo,2022/23,La Liga,whoscored
52,Real Madrid,2022/23,La Liga,whoscored
70,Espanyol,2022/23,La Liga,whoscored
64,Rayo Vallecano,2022/23,La Liga,whoscored
67,Sevilla,2022/23,La Liga,whoscored
58,Real Valladolid,2022/23,La Liga,whoscored
68,Real Sociedad,2022/23,La Liga,whoscored
65,Barcelona,2022/23,La Liga,whoscored
51,Mallorca,2022/23,La Liga,whoscored
54,Real Betis,2022/23,La Liga,whoscored
2783,Girona,2022/23,La Liga,whoscored
819,Getafe,2022/23,La Liga,whoscored
131,Osasuna,2022/23,La Liga,whoscored
1354,Cadiz,2022/23,La Liga,whoscored
833,Elche,2022/23,La Liga,whoscored
1799,Almeria,2022/23,La Liga,whoscored
