whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1734621,Power Horse Stadium,Vicente Moreno,Francisco Rodríguez,0 : 2,0 : 2,14837,2912,Javier Alberola Rojas,2023-08-11T19:30:00
1734622,San Mamés,Ernesto Valverde,Carlo Ancelotti,0 : 2,0 : 2,48927,189,Jesús Gil Manzano,2023-08-12T21:30:00
1734623,Cívitas Metropolitano,Diego Simeone,Paco López,1 : 0,3 : 1,56164,304,Juan Luis Pulido Santana,2023-08-14T21:30:00
1734624,Balaídos,Rafael Benítez,Jagoba Arrasate,0 : 1,0 : 2,20269,2917,Pablo González Fuertes,2023-08-13T17:00:00
1734625,Ramón Sánchez-Pizjuán,José Luis Mendilibar,Rubén Baraja,0 : 0,1 : 2,34184,233,José María Sánchez Martínez,2023-08-11T22:00:00
1734626,Estadio Gran Canaria,Francisco Javier García Pimienta,Javier Aguirre,1 : 0,1 : 1,24100,2976,Victor García Verdura,2023-08-12T19:30:00
1734627,Coliseum Alfonso Pérez,José Bordalás,Xavier Hernández Creus,0 : 0,0 : 0,13410,222,César Soto Grado,2023-08-13T21:30:00
1734628,Estadio de la Cerámica,Quique Setién,Manuel Pellegrini,0 : 1,1 : 2,17825,266,Miguel Ángel Ortiz Arias,2023-08-13T19:30:00
1734629,Reale Arena,Imanol Alguacil,Miguel Ángel Sánchez,1 : 0,1 : 1,30848,246,Francisco José Hernández Maeso,2023-08-12T17:00:00
1734630,Nuevo Mirandilla,Sergio González,Luis García Plaza,1 : 0,1 : 0,19306,307,Isidro Díaz de Mera Escuderos,2023-08-14T19:30:00
1734631,Power Horse Stadium,Vicente Moreno,Carlo Ancelotti,1 : 1,1 : 3,17561,233,José María Sánchez Martínez,2023-08-19T19:30:00
1734632,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,Sergio González,0 : 0,2 : 0,39603,296,Alejandro Muñiz Ruiz,2023-08-20T19:30:00
1734633,Estadi Mallorca Son Moix,Javier Aguirre,Quique Setién,0 : 0,0 : 1,17775,2912,Javier Alberola Rojas,2023-08-18T19:30:00
1734634,Nuevo Los Cármenes,Paco López,Francisco Rodríguez,0 : 0,0 : 2,17338,2917,Pablo González Fuertes,2023-08-21T21:30:00
1734635,Mendizorroza,Luis García Plaza,José Luis Mendilibar,2 : 2,4 : 3,15308,3234,Guillermo Cuadra Fernández,2023-08-21T19:00:00
1734636,El Sadar,Jagoba Arrasate,Ernesto Valverde,0 : 2,0 : 2,20704,2404,José Luis Munuera Montero,2023-08-19T21:30:00
1734637,Benito Villamarín,Manuel Pellegrini,Diego Simeone,0 : 0,0 : 0,51782,169,Ricardo de Burgos Bengoetxea,2023-08-20T21:30:00
1734638,Reale Arena,Imanol Alguacil,Rafael Benítez,1 : 0,1 : 1,30354,266,Miguel Ángel Ortiz Arias,2023-08-19T17:00:00
1734639,Municipal de Montilivi,Miguel Ángel Sánchez,José Bordalás,1 : 0,3 : 0,11784,4159,Jorge Figueroa Vázquez,2023-08-20T19:00:00
1734640,Mestalla,Rubén Baraja,Francisco Javier García Pimienta,0 : 0,1 : 0,41053,260,Javier Iglesias Villanueva,2023-08-18T21:30:00
1734641,San Mamés,Ernesto Valverde,Manuel Pellegrini,3 : 2,4 : 2,44340,222,César Soto Grado,2023-08-27T21:30:00
1734642,Balaídos,Rafael Benítez,Carlo Ancelotti,0 : 0,0 : 1,23057,307,Isidro Díaz de Mera Escuderos,2023-08-25T21:30:00
1734643,Nuevo Los Cármenes,Paco López,Javier Aguirre,1 : 1,3 : 2,16368,246,Francisco José Hernández Maeso,2023-08-26T19:30:00
1734644,Estadio Gran Canaria,Francisco Javier García Pimienta,Imanol Alguacil,0 : 0,0 : 0,25335,3234,Guillermo Cuadra Fernández,2023-08-25T19:30:00
1734645,Nuevo Mirandilla,Sergio González,Vicente Moreno,0 : 0,1 : 1,18653,2976,Victor García Verdura,2023-08-26T19:00:00
1734646,Estadio de Vallecas,Francisco Rodríguez,Diego Simeone,0 : 3,0 : 7,13966,2404,José Luis Munuera Montero,2023-08-28T21:30:00
1734647,Estadio de la Cerámica,Quique Setién,Xavier Hernández Creus,2 : 2,3 : 4,21679,229,Alejandro José Hernández Hernández,2023-08-27T17:30:00
1734648,Ramón Sánchez-Pizjuán,José Luis Mendilibar,Miguel Ángel Sánchez,1 : 1,1 : 2,29304,189,Jesús Gil Manzano,2023-08-26T21:30:00
1734649,Mestalla,Rubén Baraja,Jagoba Arrasate,0 : 1,1 : 2,42474,304,Juan Luis Pulido Santana,2023-08-27T19:30:00
1734650,Coliseum Alfonso Pérez,José Bordalás,Luis García Plaza,0 : 0,1 : 0,11023,206,Juan Martínez Munuera,2023-08-28T19:30:00
1734651,Power Horse Stadium,Vicente Moreno,Rafael Benítez,0 : 2,2 : 3,14196,169,Ricardo de Burgos Bengoetxea,2023-09-01T22:00:00
1734652,Cívitas Metropolitano,Diego Simeone,Enrique Sánchez Flores,0 : 0,1 : 0,64308,222,César Soto Grado,2023-12-23T16:15:00
1734653,Municipal de Montilivi,Míchel Sánchez,Rafael Benítez,0 : 0,1 : 0,12671,307,Isidro Díaz de Mera Escuderos,2023-10-27T21:00:00
1734654,Estadi Mallorca Son Moix,Javier Aguirre,José Bordalás,0 : 0,0 : 0,15310,2917,Pablo González Fuertes,2023-10-28T18:30:00
1734655,Cívitas Metropolitano,Diego Simeone,Luis García Plaza,2 : 0,2 : 1,50009,296,Alejandro Muñiz Ruiz,2023-10-29T21:00:00
1734656,Benito Villamarín,Manuel Pellegrini,Javier Aguirre,1 : 0,2 : 0,50909,266,Miguel Ángel Ortiz Arias,2023-11-04T16:15:00
1734657,Balaídos,Rafael Benítez,Diego Alonso,1 : 0,1 : 1,19023,229,Alejandro José Hernández Hernández,2023-11-04T18:30:00
1734658,Mendizorroza,Luis García,Gaizka Garitano,0 : 0,1 : 0,16380,304,Juan Luis Pulido Santana,2023-11-05T14:00:00
1734659,Estadio de la Cerámica,José Rojo Martin,Ernesto Valverde,0 : 3,2 : 3,18709,3234,Guillermo Cuadra Fernández,2023-11-05T18:30:00
1734660,Benito Villamarín,Manuel Pellegrini,Francisco Rodríguez,0 : 0,1 : 0,50619,296,Alejandro Muñiz Ruiz,2023-09-02T21:00:00
1734661,Estadio Gran Canaria,Francisco Javier García Pimienta,Diego Simeone,0 : 0,2 : 1,30080,309,Mario Melero López,2023-11-03T21:00:00
1734662,Nuevo Mirandilla,Sergio González,Quique Setién,2 : 1,3 : 1,18557,304,Juan Luis Pulido Santana,2023-09-01T19:30:00
1734663,Reale Arena,Imanol Alguacil,Xavier Hernández Creus,0 : 0,0 : 1,37555,2912,Javier Alberola Rojas,2023-11-04T21:00:00
1734664,Municipal de Montilivi,Miguel Ángel Sánchez,Francisco Javier García Pimienta,0 : 0,1 : 0,11619,3362,Mateo Busquets Ferrer,2023-09-03T14:00:00
1734665,Estadio Coliseum,José Bordalás,Sergio González,0 : 0,1 : 0,9853,169,Ricardo de Burgos Bengoetxea,2023-11-06T21:00:00
1734666,Mendizorroza,Luis García Plaza,Rubén Baraja,1 : 0,1 : 0,16641,2917,Pablo González Fuertes,2023-09-02T18:30:00
1734667,El Sadar,Jagoba Arrasate,Míchel Sánchez,1 : 1,2 : 4,20100,2404,José Luis Munuera Montero,2023-11-04T14:00:00
1734668,Estadi Mallorca Son Moix,Javier Aguirre,Ernesto Valverde,0 : 0,0 : 0,17043,4159,Jorge Figueroa Vázquez,2023-09-03T16:15:00
1734669,Santiago Bernabéu,Carlo Ancelotti,Francisco Rodríguez,0 : 0,0 : 0,70220,206,Juan Martínez Munuera,2023-11-05T21:00:00
1734670,El Sadar,Jagoba Arrasate,Xavier Hernández Creus,0 : 1,1 : 2,21966,266,Miguel Ángel Ortiz Arias,2023-09-03T21:00:00
1734671,Mestalla,Rubén Baraja,Paco López,1 : 0,1 : 0,44922,2976,Victor García Verdura,2023-11-05T16:15:00
1734672,Santiago Bernabéu,Carlo Ancelotti,José Bordalás,0 : 1,2 : 1,66747,309,Mario Melero López,2023-09-02T16:15:00
1734673,Power Horse Stadium,Gaizka Garitano,Imanol Alguacil,0 : 0,1 : 3,13016,307,Isidro Díaz de Mera Escuderos,2023-11-11T16:15:00
1734674,Reale Arena,Imanol Alguacil,Paco López,2 : 1,5 : 3,27808,260,Javier Iglesias Villanueva,2023-09-02T14:00:00
1734675,San Mamés,Ernesto Valverde,Rafael Benítez,2 : 2,4 : 3,44435,304,Juan Luis Pulido Santana,2023-11-10T21:00:00
1734676,San Mamés,Ernesto Valverde,Sergio González,0 : 0,3 : 0,42881,3234,Guillermo Cuadra Fernández,2023-09-16T14:00:00
1734677,Cívitas Metropolitano,Diego Simeone,Miguel Ángel Tena,1 : 1,3 : 1,56632,246,Francisco José Hernández Maeso,2023-11-12T21:00:00
1734678,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,Manuel Pellegrini,2 : 0,5 : 0,45055,233,José María Sánchez Martínez,2023-09-16T21:00:00
1734679,Santiago Bernabéu,Carlo Ancelotti,Rubén Baraja,2 : 0,5 : 1,72475,233,José María Sánchez Martínez,2023-11-11T21:00:00
1734680,Ramón Sánchez-Pizjuán,Diego Alonso,Manuel Pellegrini,0 : 0,1 : 1,42222,189,Jesús Gil Manzano,2023-11-12T18:30:00
1734681,Balaídos,Rafael Benítez,Javier Aguirre,0 : 0,0 : 1,18693,2404,José Luis Munuera Montero,2023-09-16T18:30:00
1734682,Estadi Mallorca Son Moix,Javier Aguirre,Sergio González,1 : 1,1 : 1,13821,260,Javier Iglesias Villanueva,2023-11-29T21:00:00
1734683,Coliseum Alfonso Pérez,José Bordalás,Jagoba Arrasate,1 : 1,3 : 2,9808,229,Alejandro José Hernández Hernández,2023-09-17T14:00:00
1734684,Nuevo Los Cármenes,Paco López,José Bordalás,1 : 1,1 : 1,18103,296,Alejandro Muñiz Ruiz,2023-11-11T18:30:00
1734685,Santiago Bernabéu,Carlo Ancelotti,Imanol Alguacil,0 : 1,2 : 1,70092,222,César Soto Grado,2023-09-17T21:00:00
1734686,Estadio de Vallecas,Francisco Rodríguez,Míchel Sánchez,1 : 1,1 : 2,13177,2917,Pablo González Fuertes,2023-11-11T14:00:00
1734687,Estadio de la Cerámica,José Rojo Martin,Vicente Moreno,1 : 1,2 : 1,18467,246,Francisco José Hernández Maeso,2023-09-17T16:15:00
1734688,El Sadar,Jagoba Arrasate,Francisco Javier García Pimienta,0 : 0,1 : 1,20125,4159,Jorge Figueroa Vázquez,2023-11-11T18:30:00
1734689,Mestalla,Rubén Baraja,Diego Simeone,2 : 0,3 : 0,45363,189,Jesús Gil Manzano,2023-09-16T16:15:00
1734690,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,Luis García,0 : 1,2 : 1,38183,3362,Mateo Busquets Ferrer,2023-11-12T16:15:00
1734691,Nuevo Los Cármenes,Paco López,Miguel Ángel Sánchez,0 : 3,2 : 4,17323,307,Isidro Díaz de Mera Escuderos,2023-09-18T21:00:00
1734692,Cívitas Metropolitano,Diego Simeone,Javier Aguirre,0 : 0,1 : 0,58119,206,Juan Martínez Munuera,2023-11-25T21:00:00
1734693,Ramón Sánchez-Pizjuán,José Luis Mendilibar,Francisco Javier García Pimienta,0 : 0,1 : 0,40578,206,Juan Martínez Munuera,2023-09-17T18:30:00
1734694,Benito Villamarín,Manuel Pellegrini,Francisco Javier García Pimienta,1 : 0,1 : 0,48132,2976,Victor García Verdura,2023-11-26T21:00:00
1734695,Estadio de Vallecas,Francisco Rodríguez,Luis García Plaza,1 : 0,2 : 0,12116,2976,Victor García Verdura,2023-09-15T21:00:00
1734696,Nuevo Mirandilla,Sergio González,Carlo Ancelotti,0 : 1,0 : 3,20325,3234,Guillermo Cuadra Fernández,2023-11-26T18:30:00
1734697,Power Horse Stadium,Vicente Moreno,Rubén Baraja,0 : 1,2 : 2,14266,3362,Mateo Busquets Ferrer,2023-09-23T21:00:00
1734698,Reale Arena,Imanol Alguacil,Diego Alonso,2 : 0,2 : 1,33879,266,Miguel Ángel Ortiz Arias,2023-11-26T16:15:00
1734699,Cívitas Metropolitano,Diego Simeone,Carlo Ancelotti,2 : 1,3 : 1,69082,2912,Javier Alberola Rojas,2023-09-24T21:00:00
1734700,Mendizorroza,Luis García,Paco López,2 : 0,3 : 1,15705,2912,Javier Alberola Rojas,2023-11-24T21:00:00
1734701,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,Rafael Benítez,0 : 1,3 : 2,43272,309,Mario Melero López,2023-09-23T18:30:00
1734702,Estadio Coliseum,José Bordalás,Gaizka Garitano,2 : 1,2 : 1,10906,229,Alejandro José Hernández Hernández,2023-11-25T18:30:00
1734703,Benito Villamarín,Manuel Pellegrini,Sergio González,0 : 1,1 : 1,56087,266,Miguel Ángel Ortiz Arias,2023-09-24T18:30:00
1734704,Municipal de Montilivi,Míchel Sánchez,Ernesto Valverde,0 : 0,1 : 1,13123,309,Mario Melero López,2023-11-27T21:00:00
1734705,Municipal de Montilivi,Míchel Sánchez,Javier Aguirre,4 : 1,5 : 3,11511,2917,Pablo González Fuertes,2023-09-23T14:00:00
1734706,Estadio de Vallecas,Francisco Rodríguez,Xavier Hernández Creus,1 : 0,1 : 1,14148,2404,José Luis Munuera Montero,2023-11-25T14:00:00
1734707,El Sadar,Jagoba Arrasate,José Luis Mendilibar,0 : 0,0 : 0,19670,260,Javier Iglesias Villanueva,2023-09-23T16:15:00
1734708,Mestalla,Rubén Baraja,Rafael Benítez,0 : 0,0 : 0,43375,222,César Soto Grado,2023-11-25T16:15:00
1734709,Estadio de Vallecas,Francisco Rodríguez,José Rojo Martin,1 : 1,1 : 1,12865,4159,Jorge Figueroa Vázquez,2023-09-24T16:15:00
1734710,Estadio de la Cerámica,Marcelino García Toral,Jagoba Arrasate,0 : 0,3 : 1,16389,169,Ricardo de Burgos Bengoetxea,2023-11-26T14:00:00
1734711,Mendizorroza,Luis García Plaza,Ernesto Valverde,0 : 1,0 : 2,19421,296,Alejandro Muñiz Ruiz,2023-09-22T21:00:00
1734712,Power Horse Stadium,Gaizka Garitano,Manuel Pellegrini,0 : 0,0 : 0,14253,296,Alejandro Muñiz Ruiz,2023-12-03T16:15:00
1734713,Reale Arena,Imanol Alguacil,José Bordalás,1 : 2,4 : 3,29568,304,Juan Luis Pulido Santana,2023-09-24T14:00:00
1734714,San Mamés,Ernesto Valverde,Francisco Rodríguez,1 : 0,4 : 0,44689,246,Francisco José Hernández Maeso,2023-12-02T16:15:00
1734715,Estadio Gran Canaria,Francisco Javier García Pimienta,Paco López,0 : 0,1 : 0,24848,169,Ricardo de Burgos Bengoetxea,2023-09-24T18:30:00
1734716,Municipal de Montilivi,Míchel Sánchez,Rubén Baraja,0 : 0,2 : 1,13343,260,Javier Iglesias Villanueva,2023-12-02T14:00:00
1734717,San Mamés,Ernesto Valverde,José Bordalás,1 : 0,2 : 2,43091,307,Isidro Díaz de Mera Escuderos,2023-09-27T19:00:00
1734718,El Sadar,Jagoba Arrasate,Imanol Alguacil,1 : 1,1 : 1,20859,304,Juan Luis Pulido Santana,2023-12-02T21:00:00
1734719,Nuevo Mirandilla,Sergio González,Francisco Rodríguez,0 : 0,0 : 0,18505,246,Francisco José Hernández Maeso,2023-09-27T21:30:00
1734720,Ramón Sánchez-Pizjuán,Diego Alonso,Marcelino García Toral,0 : 0,1 : 1,33898,307,Isidro Díaz de Mera Escuderos,2023-12-03T18:30:00
1734721,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,Diego Simeone,1 : 0,1 : 0,34568,233,José María Sánchez Martínez,2023-12-03T21:00:00
1734722,Ramón Sánchez-Pizjuán,José Luis Mendilibar,Vicente Moreno,3 : 0,5 : 1,35729,3234,Guillermo Cuadra Fernández,2023-09-26T19:00:00
1734723,Balaídos,Rafael Benítez,Sergio González,0 : 1,1 : 1,17302,189,Jesús Gil Manzano,2023-12-04T21:00:00
1734724,El Sadar,Jagoba Arrasate,Diego Simeone,0 : 1,0 : 2,20192,206,Juan Martínez Munuera,2023-09-28T21:30:00
1734725,Estadio Gran Canaria,Francisco Javier García Pimienta,José Bordalás,1 : 0,2 : 0,21912,3362,Mateo Busquets Ferrer,2023-12-01T21:00:00
1734726,Estadi Mallorca Son Moix,Javier Aguirre,Xavier Hernández Creus,2 : 1,2 : 2,19939,296,Alejandro Muñiz Ruiz,2023-09-26T21:30:00
1734727,Santiago Bernabéu,Carlo Ancelotti,Alexander Medina,1 : 0,2 : 0,70685,2917,Pablo González Fuertes,2023-12-02T18:30:00
1734728,Nuevo Los Cármenes,Paco López,Manuel Pellegrini,0 : 0,1 : 1,18936,2976,Victor García Verdura,2023-09-28T19:00:00
1734729,Estadi Mallorca Son Moix,Javier Aguirre,Luis García,0 : 0,0 : 0,15090,4159,Jorge Figueroa Vázquez,2023-12-03T14:00:00
1734730,Estadio de la Cerámica,José Rojo Martin,Miguel Ángel Sánchez,0 : 0,1 : 2,17188,233,José María Sánchez Martínez,2023-09-27T19:00:00
1734731,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,Míchel Sánchez,1 : 2,2 : 4,42848,307,Isidro Díaz de Mera Escuderos,2023-12-10T21:00:00
1734732,Mestalla,Rubén Baraja,Imanol Alguacil,0 : 1,0 : 1,44200,229,Alejandro José Hernández Hernández,2023-09-27T21:30:00
1734733,Benito Villamarín,Manuel Pellegrini,Carlo Ancelotti,0 : 0,1 : 1,52756,222,César Soto Grado,2023-12-09T16:15:00
1734734,Santiago Bernabéu,Carlo Ancelotti,Francisco Javier García Pimienta,1 : 0,2 : 0,65017,2404,José Luis Munuera Montero,2023-09-27T19:00:00
1734735,Nuevo Mirandilla,Sergio González,Jagoba Arrasate,1 : 0,1 : 1,18356,206,Juan Martínez Munuera,2023-12-10T18:30:00
1734736,Balaídos,Rafael Benítez,Luis García Plaza,1 : 0,1 : 1,16852,222,César Soto Grado,2023-09-28T19:00:00
1734737,Estadio Coliseum,José Bordalás,Rubén Baraja,0 : 0,1 : 0,11515,3234,Guillermo Cuadra Fernández,2023-12-08T21:00:00
1734738,Power Horse Stadium,Alberto Lasarte,Paco López,3 : 0,3 : 3,14264,2917,Pablo González Fuertes,2023-10-01T14:00:00
1734739,Estadi Mallorca Son Moix,Javier Aguirre,Diego Alonso,1 : 0,1 : 0,16041,2912,Javier Alberola Rojas,2023-12-09T21:00:00
1734740,Cívitas Metropolitano,Diego Simeone,Sergio González,1 : 2,3 : 2,53421,260,Javier Iglesias Villanueva,2023-10-01T21:00:00
1734741,Mendizorroza,Luis García,Francisco Javier García Pimienta,0 : 1,0 : 1,15971,2404,José Luis Munuera Montero,2023-12-09T14:00:00
1734742,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,José Luis Mendilibar,0 : 0,1 : 0,41116,266,Miguel Ángel Ortiz Arias,2023-09-29T21:00:00
1734743,Cívitas Metropolitano,Diego Simeone,Gaizka Garitano,2 : 0,2 : 1,55473,169,Ricardo de Burgos Bengoetxea,2023-12-10T14:00:00
1734744,Benito Villamarín,Manuel Pellegrini,Rubén Baraja,1 : 0,3 : 0,50163,169,Ricardo de Burgos Bengoetxea,2023-10-01T21:00:00
1734745,Nuevo Los Cármenes,Alexander Medina,Ernesto Valverde,0 : 1,1 : 1,18324,266,Miguel Ángel Ortiz Arias,2023-12-11T21:00:00
1734746,Coliseum Alfonso Pérez,José Bordalás,José Rojo Martin,0 : 0,0 : 0,11255,3362,Mateo Busquets Ferrer,2023-09-30T14:00:00
1734747,Estadio de Vallecas,Francisco Rodríguez,Rafael Benítez,0 : 0,0 : 0,11796,2976,Victor García Verdura,2023-12-11T21:00:00
1734748,Municipal de Montilivi,Miguel Ángel Sánchez,Carlo Ancelotti,0 : 2,0 : 3,14184,304,Juan Luis Pulido Santana,2023-09-30T18:30:00
1734749,Estadio de la Cerámica,Marcelino García Toral,Imanol Alguacil,0 : 3,0 : 3,19344,309,Mario Melero López,2023-12-09T18:30:00
1734750,Mendizorroza,Luis García Plaza,Jagoba Arrasate,0 : 1,0 : 2,19035,4159,Jorge Figueroa Vázquez,2023-10-01T16:15:00
1734751,Power Horse Stadium,Gaizka Garitano,Javier Aguirre,0 : 0,0 : 0,11936,2917,Pablo González Fuertes,2023-12-17T14:00:00
1734752,Reale Arena,Imanol Alguacil,Ernesto Valverde,1 : 0,3 : 0,38229,189,Jesús Gil Manzano,2023-09-30T21:00:00
1734753,San Mamés,Ernesto Valverde,Diego Simeone,0 : 0,2 : 0,48781,189,Jesús Gil Manzano,2023-12-16T16:15:00
1734754,Estadio Gran Canaria,Francisco Javier García Pimienta,Rafael Benítez,0 : 0,2 : 1,22472,2912,Javier Alberola Rojas,2023-10-02T21:00:00
1734755,Balaídos,Rafael Benítez,Alexander Medina,1 : 0,1 : 0,18027,233,José María Sánchez Martínez,2023-12-16T14:00:00
1734756,Estadio de Vallecas,Francisco Rodríguez,Javier Aguirre,1 : 1,2 : 2,11991,309,Mario Melero López,2023-09-30T16:15:00
1734757,El Sadar,Jagoba Arrasate,Francisco Rodríguez,0 : 0,1 : 0,18586,260,Javier Iglesias Villanueva,2023-12-15T21:00:00
1734758,Cívitas Metropolitano,Diego Simeone,Imanol Alguacil,1 : 0,2 : 1,65607,2404,José Luis Munuera Montero,2023-10-08T16:15:00
1734759,Santiago Bernabéu,Carlo Ancelotti,Marcelino García Toral,2 : 0,4 : 1,70500,4159,Jorge Figueroa Vázquez,2023-12-17T21:00:00
1734760,Nuevo Mirandilla,Sergio González,Miguel Ángel Sánchez,0 : 0,0 : 1,16438,206,Juan Martínez Munuera,2023-10-07T14:00:00
1734761,Mestalla,Rubén Baraja,Xavier Hernández Creus,0 : 0,1 : 1,46492,266,Miguel Ángel Ortiz Arias,2023-12-16T21:00:00
1734762,Balaídos,Rafael Benítez,José Bordalás,2 : 2,2 : 2,17953,233,José María Sánchez Martínez,2023-10-08T18:30:00
1734763,Reale Arena,Imanol Alguacil,Manuel Pellegrini,0 : 0,0 : 0,33172,3362,Mateo Busquets Ferrer,2023-12-17T16:15:00
1734764,Estadi Mallorca Son Moix,Javier Aguirre,Rubén Baraja,1 : 1,1 : 1,17659,246,Francisco José Hernández Maeso,2023-10-07T18:30:00
1734765,Estadio Gran Canaria,Francisco Javier García Pimienta,Sergio González,1 : 0,1 : 1,25275,296,Alejandro Muñiz Ruiz,2023-12-17T18:30:00
1734766,Mendizorroza,Luis García Plaza,Manuel Pellegrini,1 : 1,1 : 1,18288,229,Alejandro José Hernández Hernández,2023-10-08T18:30:00
1734767,Ramón Sánchez-Pizjuán,Diego Alonso,José Bordalás,0 : 2,0 : 3,30005,304,Juan Luis Pulido Santana,2023-12-16T18:30:00
1734768,San Mamés,Ernesto Valverde,Alberto Lasarte,1 : 0,3 : 0,43677,2976,Victor García Verdura,2023-10-06T21:00:00
