whoscored_match_id,match_date,season,competition,attendance,data_source
1734621,2023-08-11,2023/24,La Liga,14837,whoscored
1734622,2023-08-12,2023/24,La Liga,48927,whoscored
1734623,2023-08-14,2023/24,La Liga,56164,whoscored
1734624,2023-08-13,2023/24,La Liga,20269,whoscored
1734625,2023-08-11,2023/24,La Liga,34184,whoscored
1734626,2023-08-12,2023/24,La Liga,24100,whoscored
1734627,2023-08-13,2023/24,La Liga,13410,whoscored
1734628,2023-08-13,2023/24,La Liga,17825,whoscored
1734629,2023-08-12,2023/24,La Liga,30848,whoscored
1734630,2023-08-14,2023/24,La Liga,19306,whoscored
1734631,2023-08-19,2023/24,La Liga,17561,whoscored
1734632,2023-08-20,2023/24,La Liga,39603,whoscored
1734633,2023-08-18,2023/24,La Liga,17775,whoscored
1734634,2023-08-21,2023/24,La Liga,17338,whoscored
1734635,2023-08-21,2023/24,La Liga,15308,whoscored
1734636,2023-08-19,2023/24,La Liga,20704,whoscored
1734637,2023-08-20,2023/24,La Liga,51782,whoscored
1734638,2023-08-19,2023/24,La Liga,30354,whoscored
1734639,2023-08-20,2023/24,La Liga,11784,whoscored
1734640,2023-08-18,2023/24,La Liga,41053,whoscored
1734641,2023-08-27,2023/24,La Liga,44340,whoscored
1734642,2023-08-25,2023/24,La Liga,23057,whoscored
1734643,2023-08-26,2023/24,La Liga,16368,whoscored
1734644,2023-08-25,2023/24,La Liga,25335,whoscored
1734645,2023-08-26,2023/24,La Liga,18653,whoscored
1734646,2023-08-28,2023/24,La Liga,13966,whoscored
1734647,2023-08-27,2023/24,La Liga,21679,whoscored
1734648,2023-08-26,2023/24,La Liga,29304,whoscored
1734649,2023-08-27,2023/24,La Liga,42474,whoscored
1734650,2023-08-28,2023/24,La Liga,11023,whoscored
1734651,2023-09-01,2023/24,La Liga,14196,whoscored
1734652,2023-12-23,2023/24,La Liga,64308,whoscored
1734653,2023-10-27,2023/24,La Liga,12671,whoscored
1734654,2023-10-28,2023/24,La Liga,15310,whoscored
1734655,2023-10-29,2023/24,La Liga,50009,whoscored
1734656,2023-11-04,2023/24,La Liga,50909,whoscored
1734657,2023-11-04,2023/24,La Liga,19023,whoscored
1734658,2023-11-05,2023/24,La Liga,16380,whoscored
1734659,2023-11-05,2023/24,La Liga,18709,whoscored
1734660,2023-09-02,2023/24,La Liga,50619,whoscored
1734661,2023-11-03,2023/24,La Liga,30080,whoscored
1734662,2023-09-01,2023/24,La Liga,18557,whoscored
1734663,2023-11-04,2023/24,La Liga,37555,whoscored
1734664,2023-09-03,2023/24,La Liga,11619,whoscored
1734665,2023-11-06,2023/24,La Liga,9853,whoscored
1734666,2023-09-02,2023/24,La Liga,16641,whoscored
1734667,2023-11-04,2023/24,La Liga,20100,whoscored
1734668,2023-09-03,2023/24,La Liga,17043,whoscored
1734669,2023-11-05,2023/24,La Liga,70220,whoscored
1734670,2023-09-03,2023/24,La Liga,21966,whoscored
1734671,2023-11-05,2023/24,La Liga,44922,whoscored
1734672,2023-09-02,2023/24,La Liga,66747,whoscored
1734673,2023-11-11,2023/24,La Liga,13016,whoscored
1734674,2023-09-02,2023/24,La Liga,27808,whoscored
1734675,2023-11-10,2023/24,La Liga,44435,whoscored
1734676,2023-09-16,2023/24,La Liga,42881,whoscored
