whoscored_match_id,whoscored_player_id,whoscored_team_id,player_name,side,is_starter,position,shirt_no,age,height_cm,weight_kg,is_man_of_the_match,subbed_in_minute,subbed_out_minute,rating,passes_total,passes_accurate,passes_key,pass_success_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,dribbles_lost,tackles_total,tackles_successful,interceptions,clearances,aerials_total,aerials_won,fouls_committed,was_dribbled_past,dispossessed,touches,offsides_caught,corners_total,corners_accurate,throw_ins_total,throw_ins_accurate,saves_total,saves_parried_safe,saves_parried_danger,claims_high,collected,possession_pct,data_source
1734621,91216,1799,Diego Mariño,home,True,GK,1,36,187,75,False,,,6.04,21.0,17.0,,100.0,,,,,,,,,,,1.0,,,,,,30.0,,,,,,2.0,,1.0,,1.0,1.0,whoscored
1734621,338365,1799,Álex Pozo,home,True,DR,17,27,174,70,False,,72.0,6.05,37.0,29.0,1.0,0.0,,,,,2.0,,2.0,,,,4.0,1.0,1.0,,,,53.0,,,,7.0,6.0,,,,,,1.0,whoscored
1734621,148934,1799,Srdjan Babic,home,True,DC,22,30,195,96,False,,,6.45,62.0,58.0,,66.67,1.0,,1.0,,,,,2.0,2.0,,2.0,4.0,3.0,2.0,,,69.0,,,,,,,,,,,3.0,whoscored
1734621,387160,1799,Edgar González,home,True,DC,3,29,193,78,False,,,5.85,93.0,87.0,,100.0,,,,,1.0,,1.0,2.0,2.0,,3.0,3.0,1.0,1.0,,,104.0,,,,1.0,1.0,,,,,,1.0,whoscored
1734621,301773,1799,Sergio Akieme,home,True,DL,15,28,175,70,False,,,7.25,39.0,34.0,2.0,100.0,1.0,1.0,,,8.0,6.0,2.0,4.0,3.0,,2.0,3.0,1.0,3.0,1.0,,70.0,,1.0,,6.0,5.0,,,,,,1.0,whoscored
1734621,323511,1799,Lucas Robertone,home,True,DMC,5,29,175,70,False,,83.0,6.55,56.0,47.0,1.0,100.0,1.0,,1.0,,1.0,,1.0,2.0,2.0,1.0,1.0,4.0,2.0,,,,74.0,,1.0,2.0,,,,,,,,1.0,whoscored
1734621,381644,1799,Iddrisu Baba,home,True,DMC,4,30,185,77,False,,83.0,6.14,37.0,33.0,1.0,100.0,2.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,,4.0,2.0,3.0,,,46.0,,1.0,,,,,,,,,1.0,whoscored
1734621,402214,1799,Lázaro,home,True,AMR,14,24,180,67,False,,52.0,5.83,8.0,7.0,1.0,100.0,1.0,,1.0,,3.0,,3.0,,,,,,,1.0,,1.0,18.0,,,,,,,,,,,1.0,whoscored
1734621,388665,1799,Largie Ramazani,home,True,AMC,7,25,167,55,False,,89.0,6.64,17.0,15.0,2.0,100.0,2.0,2.0,,,6.0,2.0,4.0,3.0,1.0,1.0,,3.0,,1.0,2.0,,41.0,,2.0,,,,,,,,,1.0,whoscored
1734621,135572,1799,Adri Embarba,home,True,AML,10,34,173,66,False,,,6.6,30.0,27.0,3.0,100.0,3.0,,3.0,,6.0,2.0,4.0,2.0,2.0,,,3.0,1.0,3.0,,1.0,63.0,,1.0,1.0,2.0,2.0,,,,,,1.0,whoscored
1734621,402887,1799,Luis Suárez,home,True,FW,9,28,181,83,False,,,6.1,12.0,9.0,,100.0,4.0,2.0,1.0,1.0,,,,1.0,1.0,,,2.0,,2.0,,,33.0,1.0,,,,,,,,,,1.0,whoscored
1734621,412902,1799,Dion Lopy,home,False,Sub,6,24,186,76,False,83.0,,6.05,13.0,12.0,,100.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,16.0,,,,,,,,,,,1.0,whoscored
1734621,444226,1799,Marezi,home,False,Sub,29,22,197,88,False,89.0,,5.99,1.0,1.0,,100.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,whoscored
1734621,430148,1799,Marc Pubill,home,False,Sub,18,22,190,86,False,72.0,,6.43,19.0,16.0,2.0,100.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,28.0,,,,3.0,2.0,,,,,,1.0,whoscored
1734621,261698,1799,Gonzalo Melero,home,False,Sub,11,32,183,77,False,83.0,,6.2,13.0,9.0,,50.0,,,,,1.0,1.0,,,,,,,,,,,16.0,,,,,,,,,,,2.0,whoscored
1734621,401174,1799,Sergio Arribas,home,False,Sub,19,24,173,64,False,52.0,,6.71,22.0,21.0,3.0,50.0,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,1.0,38.0,,2.0,,,,,,,,,2.0,whoscored
1734621,141499,64,Stole Dimitrievski,away,True,GK,1,32,188,84,True,,,8.14,25.0,12.0,,0.0,,,,,,,,,,,1.0,,,,,,35.0,,1.0,,,,5.0,4.0,1.0,1.0,1.0,1.0,whoscored
1734621,101613,64,Iván Balliu,away,True,DR,20,34,172,63,False,,,6.89,28.0,25.0,2.0,100.0,,,,,,,,,,,,,,1.0,,,47.0,,,,11.0,5.0,,,,,,1.0,whoscored
1734621,80758,64,Florian Lejeune,away,True,DC,24,35,189,89,False,,,7.32,34.0,26.0,,0.0,,,,,,,,1.0,1.0,,10.0,3.0,3.0,2.0,,,46.0,,,,,,,,,,,1.0,whoscored
1734621,93492,64,Aridane Hernández,away,True,DC,5,37,186,77,False,,,7.11,35.0,26.0,,100.0,,,,,,,,1.0,1.0,1.0,5.0,3.0,3.0,1.0,,,45.0,,,,,,,,,,,1.0,whoscored
1734621,143655,64,Pacha Espino,away,True,DL,12,34,172,71,False,,,7.79,35.0,26.0,,100.0,1.0,,,1.0,2.0,2.0,,6.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,,55.0,,2.0,,3.0,3.0,,,,,,1.0,whoscored
1734621,236575,64,Unai López,away,True,DMC,17,30,170,68,False,,52.0,6.73,22.0,18.0,,100.0,2.0,1.0,,1.0,1.0,,1.0,6.0,3.0,1.0,,,,3.0,3.0,,32.0,,,,,,,,,,,1.0,whoscored
1734621,422958,64,Óscar Valentín,away,True,DMC,23,31,177,72,False,,92.0,6.39,28.0,23.0,,100.0,,,,,1.0,,1.0,4.0,1.0,,,1.0,1.0,4.0,3.0,,31.0,,,,,,,,,,,2.0,whoscored
1734621,422959,64,Isi Palazón,away,True,AMR,7,31,169,71,False,,,7.69,38.0,32.0,1.0,50.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,2.0,5.0,2.0,,,2.0,57.0,,,1.0,,,,,,,,2.0,whoscored
1734621,16942,64,Óscar Trejo,away,True,AMC,8,38,180,79,False,,69.0,6.9,18.0,14.0,,0.0,1.0,1.0,,,5.0,1.0,4.0,3.0,3.0,,,1.0,,3.0,,1.0,33.0,,,,,,,,,,,1.0,whoscored
1734621,135345,64,Álvaro García,away,True,AML,18,33,167,61,False,,92.0,6.22,13.0,9.0,,100.0,,,,,1.0,,1.0,,,1.0,,1.0,,2.0,,,20.0,1.0,,,,,,,,,,1.0,whoscored
1734621,422960,64,Randy Nteka,away,True,FW,11,28,189,75,False,,88.0,7.75,16.0,14.0,1.0,100.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,3.0,7.0,4.0,2.0,1.0,2.0,34.0,,,,,,,,,,,1.0,whoscored
1734621,18701,64,Radamel Falcao,away,False,Sub,9,40,177,72,False,88.0,,6.05,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,1.0,whoscored
1734621,422963,64,Pathé Ciss,away,False,Sub,21,32,186,71,False,52.0,,6.68,20.0,17.0,1.0,100.0,,,,,,,,3.0,3.0,,3.0,3.0,2.0,3.0,,2.0,29.0,,,,,,,,,,,1.0,whoscored
1734621,400048,64,Salvi Sánchez,away,False,Sub,19,35,175,64,False,69.0,,6.15,12.0,10.0,,100.0,,,,,1.0,1.0,,4.0,,1.0,,,,,4.0,2.0,17.0,,,,,,,,,,,2.0,whoscored
1734621,448468,64,Pep Chavarría,away,False,Sub,3,28,174,72,False,92.0,,6.05,2.0,1.0,,0.0,,,,,,,,,,,,1.0,1.0,,,,5.0,,,,,,,,,,,1.0,whoscored
1734621,449823,64,Diego Méndez,away,False,Sub,29,22,182,76,False,92.0,,6.34,2.0,2.0,,100.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,4.0,,,,,,,,,,,1.0,whoscored
