team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
150,real-betis-sevilla,2024,Real Betis Balompié,70000,70000,,,,,,,,Sociedad Estadio Olímpico de Sevilla S.A.,,La Cartuja,,,,Césped natural,,https://www.transfermarkt.es/real-betis-sevilla/stadion/verein/150/saison_id/2024
237,rcd-mallorca,2024,RCD Mallorca,26020,26020,,,,,,,,Ajuntament de Palma,,Mallorca Son Moix,,,,Césped natural,,https://www.transfermarkt.es/rcd-mallorca/stadion/verein/237/saison_id/2024
331,ca-osasuna,2024,CA Osasuna,23576,23576,,,,,,,,Pamplona,,El Sadar,,,"3,30 mill. €",Césped natural,,https://www.transfermarkt.es/ca-osasuna/stadion/verein/331/saison_id/2024
366,real-valladolid,2024,Real Valladolid CF,27618,27618,,,120,,,,,Ayuntamiento de Valladolid,,José Zorrilla,,,,Césped natural,,https://www.transfermarkt.es/real-valladolid/stadion/verein/366/saison_id/2024
367,rayo-vallecano,2024,Rayo Vallecano,14708,14708,,,2,,,,,Stadt Madrid,,Estadio de Vallecas,,,,Césped natural,,https://www.transfermarkt.es/rayo-vallecano/stadion/verein/367/saison_id/2024
368,fc-sevilla,2024,Sevilla FC,43883,43883,,,,,,,,Sevilla Fútbol Club,,Ramón Sánchez-Pizjuán,,,,Césped natural,,https://www.transfermarkt.es/fc-sevilla/stadion/verein/368/saison_id/2024
472,ud-las-palmas,2024,UD Las Palmas,32400,32400,,,,,,,,Cabildo de Gran Canaria,,Estadio de Gran Canaria,,,,Césped natural,,https://www.transfermarkt.es/ud-las-palmas/stadion/verein/472/saison_id/2024
714,espanyol-barcelona,2024,RCD Espanyol,37776,37776,,,,,,,,R.C.D. Espanyol Barcelona,,RCDE Stadium,,,"65,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/espanyol-barcelona/stadion/verein/714/saison_id/2024
940,celta-vigo,2024,RC Celta de Vigo,22803,22803,,,,,,,,Ayuntamiento de Vigo,,Abanca Balaídos,,,,Césped natural,,https://www.transfermarkt.es/celta-vigo/stadion/verein/940/saison_id/2024
1049,fc-valencia,2024,Valencia CF,49430,49430,,,,,,,,Stadt Valencia,,Mestalla,,,,Césped natural,,https://www.transfermarkt.es/fc-valencia/stadion/verein/1049/saison_id/2024
1050,fc-villarreal,2024,Villarreal CF,23500,23500,,,30,,,,,Stadt Villarreal,,La Cerámica,,,,Césped natural,,https://www.transfermarkt.es/fc-villarreal/stadion/verein/1050/saison_id/2024
1108,deportivo-alaves,2024,Deportivo Alavés,19840,19840,,,,,,,,,,Mendizorroza,,,,Césped natural,,https://www.transfermarkt.es/deportivo-alaves/stadion/verein/1108/saison_id/2024
1244,cd-leganes,2024,CD Leganés,14422,14422,,,,,,,,Ayto. Leganes,,Ontime Butarque,,,,Césped natural,,https://www.transfermarkt.es/cd-leganes/stadion/verein/1244/saison_id/2024
3709,fc-getafe,2024,Getafe CF,16800,16800,,,,,,,,,,Coliseum,,,,Césped natural,,https://www.transfermarkt.es/fc-getafe/stadion/verein/3709/saison_id/2024
