team_slug,besoccer_team_slug,season,player_name,player_id_bs,injury_type,expected_return,section,player_url,batch_id
espanyol-barcelona,espanyol,2025/2026,Cyril Ngonge,367945,Fuerte golpe,A principios de Junio 2026,Estado actual,https://es.besoccer.com/jugador/c-ngonge-367945,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Javi Puado,337628,Lesión del ligamento cruzado,,Estado actual,https://es.besoccer.com/jugador/j-puado-337628,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Carlos Romero,819245,Molestias físicas,,mayo 2026,https://es.besoccer.com/jugador/carlos-819245,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Antoniu,993032,Lesión de hombro,A mediados de Abril 2026,marzo 2026,https://es.besoccer.com/jugador/antoniu-993032,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,F. Calero,176427,Lesión muscular,A mediados de Abril 2026,marzo 2026,https://es.besoccer.com/jugador/calero-176427,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Antoniu,993032,Lesión de hombro,A finales de Marzo 2026,febrero 2026,https://es.besoccer.com/jugador/antoniu-993032,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,F. Calero,176427,Lesión muscular,A principios de Marzo 2026,febrero 2026,https://es.besoccer.com/jugador/calero-176427,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Cyril Ngonge,367945,Virus,,enero 2026,https://es.besoccer.com/jugador/c-ngonge-367945,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Pere Milla,122718,Lesión en el muslo,A mediados de Enero 2026,diciembre 2025,https://es.besoccer.com/jugador/pere-milla-122718,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Javi Puado,337628,Lesión muscular,A mediados de Enero 2026,diciembre 2025,https://es.besoccer.com/jugador/j-puado-337628,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Roberto,950043,Lesión en la espalda,,diciembre 2025,https://es.besoccer.com/jugador/roberto-950043,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,C. Pickel,234616,Ausente por compromisos internacionales,,diciembre 2025,https://es.besoccer.com/jugador/c-pickel-234616,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Ramón Terrats,877276,Lesión en los isquiotibiales,A mediados de Enero 2026,diciembre 2025,https://es.besoccer.com/jugador/ramon-terrats-877276,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,C. Riedel,897444,Virus,,diciembre 2025,https://es.besoccer.com/jugador/clemens-riedel-897444,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Kike García,27930,Lesión muscular,A mediados de Noviembre 2025,noviembre 2025,https://es.besoccer.com/jugador/kike-27930,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Carlos Romero,819245,Lesión en los isquiotibiales,A mediados de Noviembre 2025,octubre 2025,https://es.besoccer.com/jugador/carlos-819245,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,C. Pickel,234616,Contusión,,octubre 2025,https://es.besoccer.com/jugador/c-pickel-234616,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Javi Puado,337628,Lesión de rodilla,,octubre 2025,https://es.besoccer.com/jugador/j-puado-337628,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,L. Cabrera,28766,Lesión muscular,A mediados de Octubre 2025,septiembre 2025,https://es.besoccer.com/jugador/cabrera-28766,batch_20260526_173944
espanyol-barcelona,espanyol,2025/2026,Edu Expósito,,Lesión de tobillo,,septiembre 2025,https://es.besoccer.com/jugador/eduardo-exposito-jaen,batch_20260526_173944
