match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
14083613,69408,Marcos Alonso,,90,25.0,39.9,0.0347,block,left-foot,assisted,sofascore
14083613,785989,Borja Iglesias,,84,7.7,53.8,0.3912,save,right-foot,assisted,sofascore
14083613,1398524,Pablo Durán,,83,8.6,52.3,0.1285,block,right-foot,regular,sofascore
14083613,909554,Roger Brugué,,83,9.8,63.4,0.1399,post,left-foot,assisted,sofascore
14083613,909554,Roger Brugué,,80,24.9,41.1,0.025,save,left-foot,assisted,sofascore
14083613,1398524,Pablo Durán,,79,8.7,66.4,0.145,miss,right-foot,assisted,sofascore
14083613,1398524,Pablo Durán,,69,13.5,33.1,0.0235,miss,right-foot,corner,sofascore
14083613,909554,Roger Brugué,,63,4.8,53.6,0.4383,goal,head,corner,sofascore
14083613,1649918,Carlos Espí,,63,4.7,54.4,0.2239,block,right-foot,assisted,sofascore
14083613,997244,Adrián de la Fuente,,57,28.4,54.0,0.0224,goal,right-foot,assisted,sofascore
14083613,992331,Iker Losada,,55,22.2,34.0,0.035,block,right-foot,assisted,sofascore
14083613,949962,Ferran Jutglà,,48,7.8,45.9,0.7769,goal,left-foot,assisted,sofascore
14083613,1154935,Hugo Álvarez,,45,6.1,34.4,0.1228,save,left-foot,regular,sofascore
14083613,1154935,Hugo Álvarez,,45,11.0,32.5,0.0529,save,right-foot,assisted,sofascore
14083613,1083832,Kervin Arriaga,,45,30.2,49.5,0.0185,miss,right-foot,assisted,sofascore
14083613,1083832,Kervin Arriaga,,43,28.5,67.9,0.0167,goal,right-foot,assisted,sofascore
14083613,1649918,Carlos Espí,,35,14.4,52.1,0.0683,block,right-foot,regular,sofascore
14083613,997244,Adrián de la Fuente,,35,29.3,62.4,0.0176,miss,right-foot,assisted,sofascore
14083613,1010383,Jon Ander Olasagasti,,20,27.5,47.4,0.0275,save,left-foot,assisted,sofascore
14083613,1649918,Carlos Espí,,19,12.6,51.7,0.3203,miss,right-foot,assisted,sofascore
14083613,1083832,Kervin Arriaga,,12,7.0,54.6,0.0967,save,head,set-piece,sofascore
14083613,19356,Iago Aspas,,11,12.0,36.6,0.0802,miss,left-foot,assisted,sofascore
14083613,1649919,Kareem Tunde,,8,7.9,58.5,0.0694,miss,right-foot,assisted,sofascore
14083613,949962,Ferran Jutglà,,4,11.9,42.1,0.2127,goal,right-foot,assisted,sofascore
14083613,1526628,Fer López,,3,7.0,57.3,0.2211,save,left-foot,assisted,sofascore
14083608,1137814,Sergi Altimira,,90,26.4,38.3,0.0272,miss,left-foot,assisted,sofascore
14083608,887055,Cucho Hernández,,90,7.5,33.2,0.5541,save,left-foot,fast-break,sofascore
14083608,928672,Adrià Pedrosa,,84,21.5,33.0,0.0221,miss,left-foot,assisted,sofascore
14083608,1011375,Abdessamad Ezzalzouli,,80,27.2,27.9,0.0092,block,right-foot,assisted,sofascore
14083608,1154587,Álvaro Rodriguez,,77,12.9,39.7,0.0498,block,left-foot,regular,sofascore
14083608,103417,Isco,,75,11.0,69.9,0.0367,miss,right-foot,regular,sofascore
14083608,1154587,Álvaro Rodriguez,,73,20.1,39.7,0.0546,miss,left-foot,regular,sofascore
14083608,1011375,Abdessamad Ezzalzouli,,72,8.6,37.0,0.1144,save,left-foot,fast-break,sofascore
14083608,816763,Pablo Fornals,,68,26.5,41.9,0.0236,goal,right-foot,corner,sofascore
14083608,958380,Antony,,67,5.8,57.9,0.1641,block,left-foot,assisted,sofascore
14083608,887055,Cucho Hernández,,67,13.0,51.9,0.0451,miss,right-foot,set-piece,sofascore
14083608,1011375,Abdessamad Ezzalzouli,,59,8.7,51.9,0.0508,miss,head,corner,sofascore
14083608,798835,Giovani Lo Celso,,58,6.0,71.3,0.0329,save,left-foot,corner,sofascore
14083608,887055,Cucho Hernández,,57,2.3,51.1,0.5207,save,head,corner,sofascore
14083608,1186010,Valentín Gómez,,57,4.6,38.9,0.0518,save,head,corner,sofascore
14083608,887055,Cucho Hernández,,48,15.3,40.6,0.0833,miss,right-foot,assisted,sofascore
14083608,914765,Gonzalo Villar,,47,23.5,37.2,0.0183,miss,left-foot,regular,sofascore
14083608,286167,Aleix Febas,,45,14.4,58.7,0.1437,miss,right-foot,assisted,sofascore
14083608,988672,David Affengruber,,45,21.6,68.5,0.0167,block,right-foot,assisted,sofascore
14083608,190159,André Silva,,45,9.3,50.7,0.0648,save,head,set-piece,sofascore
14083608,1402908,Hector Fort,,41,13.9,71.6,0.0349,goal,right-foot,assisted,sofascore
14083608,958380,Antony,,22,10.6,70.1,0.019,miss,left-foot,assisted,sofascore
14083608,887055,Cucho Hernández,,9,22.9,48.6,0.0369,goal,right-foot,assisted,sofascore
14083608,958380,Antony,,5,21.6,73.8,0.027,miss,left-foot,assisted,sofascore
14083634,591132,Kike Barja,,90,7.6,49.7,0.2094,goal,left-foot,assisted,sofascore
14083634,591132,Kike Barja,,90,8.5,36.0,0.106,miss,left-foot,assisted,sofascore
14083634,1399702,Asier Osambela,,89,8.5,41.7,0.0336,miss,head,corner,sofascore
14083634,37318,Ante Budimir,,89,7.7,54.2,0.071,miss,head,corner,sofascore
14083634,842419,Valentin Rosier,,87,27.2,52.1,0.0326,block,right-foot,assisted,sofascore
14083634,1399702,Asier Osambela,,86,11.0,45.9,0.0303,save,head,corner,sofascore
14083634,842419,Valentin Rosier,,82,21.8,35.6,0.0417,miss,right-foot,assisted,sofascore
14083634,37318,Ante Budimir,,75,8.0,50.9,0.099,miss,right-foot,corner,sofascore
14083634,985329,Aimar Oroz,,75,19.8,38.0,0.0449,miss,left-foot,regular,sofascore
14083634,309078,Alexander Sørloth,,71,3.2,46.4,0.3196,goal,head,regular,sofascore
14083634,187313,Lucas Torró,,67,12.1,46.4,0.0182,miss,head,corner,sofascore
14083634,37318,Ante Budimir,,66,12.0,54.0,0.0642,save,head,assisted,sofascore
14083634,591132,Kike Barja,,61,11.7,43.6,0.0356,save,head,assisted,sofascore
14083634,900792,Alejandro Catena,,60,14.4,51.5,0.0188,miss,head,set-piece,sofascore
14083634,37318,Ante Budimir,,55,3.0,33.3,0.0214,block,left-foot,assisted,sofascore
14083634,187313,Lucas Torró,,52,7.7,41.1,0.0654,miss,right-foot,assisted,sofascore
14083634,309078,Alexander Sørloth,,47,19.1,49.9,0.0548,miss,right-foot,assisted,sofascore
14083634,37318,Ante Budimir,,45,8.8,54.6,0.1211,miss,head,assisted,sofascore
14083634,900792,Alejandro Catena,,45,6.0,41.9,0.159,block,right-foot,assisted,sofascore
14083634,37318,Ante Budimir,,45,15.7,39.3,0.0323,block,left-foot,assisted,sofascore
14083634,1094106,Marc Pubill,,41,11.7,72.8,0.0425,save,right-foot,assisted,sofascore
14083634,37318,Ante Budimir,,24,14.2,48.1,0.3703,miss,left-foot,regular,sofascore
14083634,37318,Ante Budimir,,21,8.0,52.1,0.523,miss,left-foot,assisted,sofascore
14083634,842419,Valentin Rosier,,21,21.7,66.3,0.0362,miss,right-foot,regular,sofascore
