player_id_tm,player_name,season,injury_type,date_from,date_until,days_absent,matches_missed,club_name,club_id_tm,club_slug,squad_team_slug
636703,Fermín López,25/26,Fractura metatarsiana,2026-05-17,2026-07-31,76.0,1.0,FC Barcelona,131.0,fc-barcelona,fc-barcelona
398184,Ferran Torres,25/26,Tirón muscular,2026-05-16,2026-05-22,7.0,1.0,FC Barcelona,131.0,fc-barcelona,fc-barcelona
404418,Dávid Hancko,25/26,Problemas de tobillo,2026-05-25,2026-06-15,22.0,,,,,atletico-madrid
378139,Aitor Ruibal,25/26,Lesión meniscal,2026-05-16,2026-06-30,46.0,,,,,real-betis-sevilla
617081,Diego López,25/26,Rotura del ligamento cruzado,2026-05-23,2027-03-01,283.0,,,,,fc-valencia
694509,Moussa Diarra,25/26,Lesión del músculo flexor de la pierna,2026-05-19,,12.0,2.0,RSC Anderlecht,58.0,rsc-anderlecht,deportivo-alaves
74857,Marc-André ter Stegen,25/26,Lesión en el muslo,2026-01-31,2026-04-15,75.0,9.0,,,,
74857,Marc-André ter Stegen,25/26,Lesión de espalda,2025-07-24,2025-12-09,139.0,21.0,,,,
74857,Marc-André ter Stegen,24/25,Rotura del tendón rotuliano,2024-09-23,2025-04-24,214.0,51.0,,,,
74857,Marc-André ter Stegen,23/24,Lesión de espalda,2023-11-17,2024-02-10,86.0,19.0,,,,
74857,Marc-André ter Stegen,22/23,Gastroenteritis gripal,2022-11-14,2022-11-19,6.0,1.0,,,,
74857,Marc-André ter Stegen,21/22,Resfriado,2022-05-06,2022-05-09,4.0,1.0,,,,
74857,Marc-André ter Stegen,20/21,Operación de rodilla,2021-05-17,2021-08-28,104.0,9.0,,,,
74857,Marc-André ter Stegen,20/21,Descanso,2020-12-01,2020-12-03,3.0,1.0,,,,
74857,Marc-André ter Stegen,20/21,Lesión de rodilla,2020-08-17,2020-11-03,79.0,13.0,,,,
74857,Marc-André ter Stegen,19/20,Lesión de rodilla,2019-12-30,2020-01-10,12.0,2.0,,,,
74857,Marc-André ter Stegen,18/19,Problemas de rodilla,2019-05-16,2019-06-16,32.0,4.0,,,,
74857,Marc-André ter Stegen,18/19,Lesión de hombro,2018-11-12,2018-11-20,9.0,2.0,,,,
74857,Marc-André ter Stegen,17/18,Problemas de rodilla,2018-03-24,2018-03-29,6.0,,,,,
74857,Marc-André ter Stegen,16/17,Lesión muscular,2016-09-08,2016-09-12,5.0,1.0,,,,
74857,Marc-André ter Stegen,16/17,Lesión de rodilla,2016-08-11,2016-08-25,15.0,3.0,,,,
111819,Neto,25/26,Problemas en el muslo,2025-09-15,2026-01-20,128.0,19.0,,,,
111819,Neto,23/24,Lesión de tobillo,2023-10-27,2023-11-24,29.0,3.0,,,,
111819,Neto,22/23,Falta de condición física,2022-12-19,2023-01-13,26.0,5.0,,,,
111819,Neto,22/23,Lesión en el muslo,2022-10-24,2022-12-18,56.0,4.0,,,,
111819,Neto,21/22,Resfriado,2021-11-05,2021-11-08,4.0,1.0,,,,
111819,Neto,20/21,Esguince de tobillo,2021-03-22,2021-04-24,34.0,4.0,,,,
111819,Neto,19/20,Esguince de tobillo,2020-01-23,2020-02-14,23.0,5.0,,,,
111819,Neto,19/20,Lesión de mano,2019-08-11,2019-09-17,38.0,4.0,,,,
