id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
12282,Daley Blind,Países Bajos,1990-03-09,Defensa central,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
15799,Santi Cazorla,España,1984-12-13,Mediocentro,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
27493,Iván Cuéllar,España,1984-05-27,Portero,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
30321,Óscar Trejo,Argentina,1988-04-26,Mediocentro ofensivo,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
35047,Axel Witsel,Bélgica,1989-01-12,Pivote,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
38253,Robert Lewandowski,Polonia,1988-08-21,Delantero centro,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
40433,Alexis Sánchez,Chile,1988-12-19,Mediapunta,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
44058,Wojciech Szczesny,Polonia,1990-04-18,Portero,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
46413,Ante Budimir,Croacia,1991-07-22,Delantero centro,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
54217,Raúl Fernández,España,1988-03-13,Portero,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
57500,César Azpilicueta,España,1989-08-28,Defensa central,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
59016,David Alaba,Austria,1992-06-24,Defensa central,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
59323,Cristhian Stuani,Uruguay,1986-10-12,Delantero centro,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
59561,Dani Parejo,España,1989-04-16,Mediocentro,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
61812,Yuri Berchiche,España,1990-02-10,Lateral izquierdo,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
71271,Adrián San Miguel,España,1987-01-03,Portero,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
72047,Iago Aspas,España,1987-08-01,Delantero centro,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
73517,Ørjan Nyland,Noruega,1990-09-10,Portero,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
74229,Koke,España,1992-01-08,Mediocentro,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
74294,Nemanja Gudelj,Serbia,1991-11-16,Pivote,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
74857,Marc-André ter Stegen,Alemania,1992-04-30,,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
76467,Kiko Femenía,España,1991-02-02,Lateral derecho,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
80197,Salomón Rondón,Venezuela,1989-09-16,,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
85288,Isco,España,1992-04-21,Mediocentro ofensivo,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
85295,Iván Balliu,Albania,1992-01-01,Lateral derecho,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
86202,Antonio Rüdiger,Alemania,1993-03-03,Defensa central,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
86784,Ricardo Rodríguez,Suiza,1992-08-25,Lateral izquierdo,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
93936,Kike García,España,1989-11-25,Delantero centro,La Liga,RCD Espanyol,espanyol-barcelona,714,2025,transfermarkt
94308,Marko Dmitrovic,Serbia,1992-01-24,Portero,La Liga,RCD Espanyol,espanyol-barcelona,714,2025,transfermarkt
99353,Portu,España,1992-05-21,Extremo derecho,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
99922,Marc Bartra,España,1991-01-15,Defensa central,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
102423,Leandro Cabrera,Uruguay,1991-06-17,Defensa central,La Liga,RCD Espanyol,espanyol-barcelona,714,2025,transfermarkt
108390,Thibaut Courtois,Bélgica,1992-05-11,Portero,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
111508,Allan Nyom,Camerún,1988-05-10,Lateral derecho,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
112515,Marcos Alonso,España,1990-12-28,Defensa central,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
118997,Aitor Fernández,España,1991-05-03,Portero,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
120705,Juan Carlos,España,1988-01-20,Portero,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
121483,Jan Oblak,Eslovenia,1993-01-07,Portero,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
124419,Odysseas Vlachodimos,Grecia,1994-04-26,Portero,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
125781,Antoine Griezmann,Francia,1991-03-21,Mediapunta,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
126737,Juanmi,España,1993-05-20,Extremo izquierdo,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
126751,Iñigo Ruiz de Galarreta,España,1993-08-06,Mediocentro,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
127048,Cédric Bakambu,RD del Congo,1991-04-11,Delantero centro,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
127108,Florian Lejeune,Francia,1991-05-20,Defensa central,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
128969,Mathew Ryan,Australia,1992-04-08,Portero,La Liga,Levante UD,ud-levante,3368,2025,transfermarkt
129444,David López,España,1989-10-09,Defensa central,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
129674,Jeremy Toljan,Alemania,1994-08-08,Lateral derecho,La Liga,Levante UD,ud-levante,3368,2025,transfermarkt
138927,Daniel Carvajal,España,1992-01-11,Lateral derecho,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
139435,Dani Rodríguez,España,1988-06-06,,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
142021,Sergi Darder,España,1993-12-22,Mediocentro,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
142031,Omar Mascarell,Guinea Ecuatorial,1993-02-02,Pivote,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
143812,Matías Vecino,Uruguay,1991-08-24,Mediocentro,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
144128,Matías Dituro,Argentina,1987-05-08,Portero,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
155025,Fábio Cardoso,Portugal,1994-04-19,Defensa central,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
165007,Denis Suárez,España,1994-01-06,,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
165467,Stole Dimitrievski,Macedonia del Norte,1993-12-25,Portero,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
167721,Chimy Ávila,Argentina,1994-02-06,Delantero centro,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
168157,Leander Dendoncker,Bélgica,1995-04-15,Pivote,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
169497,Juan Cruz,España,1992-07-28,Lateral izquierdo,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
170472,Dimitri Foulquier,Guadalupe,1993-03-23,Lateral derecho,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
175446,Jonny Otto,España,1994-03-03,Lateral derecho,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
175449,Moi Gómez,España,1994-06-23,Mediocentro ofensivo,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
176553,Aymeric Laporte,España,1994-05-27,Defensa central,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
177452,Abdón Prats,España,1992-12-07,Delantero centro,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
177467,Gerard Moreno,España,1992-04-07,Delantero centro,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
177847,Adnan Januzaj,Bélgica,1995-02-05,Extremo derecho,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
182712,João Cancelo,Portugal,1994-05-27,Lateral derecho,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
182904,Clément Lenglet,Francia,1995-06-17,Defensa central,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
188888,Sheraldo Becker,Surinam,1995-02-09,,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
191217,Héctor Bellerín,España,1995-03-19,Lateral derecho,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
192009,Unai López,España,1995-10-30,Mediocentro,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
193098,Álex Moreno,España,1993-06-08,Lateral izquierdo,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
195488,Paulo Gazzaniga,Argentina,1992-01-02,Portero,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
196948,Andreas Christensen,Dinamarca,1996-04-10,Defensa central,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
198008,André Silva,Portugal,1995-11-06,Delantero centro,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
199321,Rubén Blanco,España,1995-07-25,Portero,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
203043,Pedro Bigas,España,1990-05-15,Defensa central,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
205562,Thomas Lemar,Francia,1995-11-12,Mediocentro ofensivo,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
205927,Dominik Livakovic,Croacia,1995-01-09,,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
212723,Djibril Sow,Suiza,1997-02-06,Mediocentro,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
212862,Álex Remiro,España,1995-03-24,Portero,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
213260,Rubén García,España,1993-07-14,Extremo derecho,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
213670,Lucas Torró,España,1994-07-19,Pivote,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
216870,Nacho Vidal,España,1995-01-24,Lateral derecho,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
217115,Neal Maupay,Francia,1996-08-14,Delantero centro,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
217144,Aleix Febas,España,1996-02-02,Mediocentro,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
217155,Borja Sánchez,España,1996-02-26,,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
221150,Dakonam Djené,Togo,1991-12-31,Defensa central,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
221322,José Gayà,España,1995-05-25,Lateral izquierdo,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
225020,Mariano Díaz,República Dominicana,1993-08-01,Delantero centro,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
225122,Gonçalo Guedes,Portugal,1996-11-29,Extremo izquierdo,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
225593,Pere Milla,España,1992-09-23,Extremo izquierdo,La Liga,RCD Espanyol,espanyol-barcelona,714,2025,transfermarkt
226012,David Soria,España,1993-04-04,Portero,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
229804,Aritz Elustondo,España,1994-03-28,Defensa central,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
230784,Thomas Partey,Ghana,1993-06-13,Pivote,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
238266,Duje Caleta-Car,Croacia,1996-09-17,Defensa central,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
238407,Alexander Sørloth,Noruega,1995-12-05,Delantero centro,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
242359,Juan Musso,Argentina,1994-05-06,Portero,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
243879,Charles Pickel,RD del Congo,1997-05-15,Pivote,La Liga,RCD Espanyol,espanyol-barcelona,714,2025,transfermarkt
245744,Takuma Asano,Japón,1994-11-10,Extremo derecho,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
246291,Diego Llorente,España,1993-08-16,Defensa central,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
246968,Ayoze Pérez,España,1993-07-29,Delantero centro,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
248738,Sergio Herrera,España,1993-06-05,Portero,La Liga,CA Osasuna,ca-osasuna,331,2025,transfermarkt
249513,Diego Rico,España,1993-02-23,Lateral izquierdo,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
250845,José María Giménez,Uruguay,1995-01-20,Defensa central,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
251876,Pablo Maffeo,Argentina,1997-07-12,Lateral derecho,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
252677,José Luis Morales,España,1987-07-23,Delantero centro,La Liga,Levante UD,ud-levante,3368,2025,transfermarkt
255488,Yeray Álvarez,España,1995-01-24,Defensa central,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
255495,Unai Elgezabal,España,1993-04-25,Defensa central,La Liga,Levante UD,ud-levante,3368,2025,transfermarkt
255501,Iñigo Lekue,España,1993-05-04,Lateral derecho,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
255508,Iñaki Williams,Ghana,1994-06-15,Extremo derecho,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
256267,Vedat Muriqi,Kosovo,1994-04-24,Delantero centro,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
257062,Álvaro García,España,1992-10-27,Extremo izquierdo,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
257376,Domingos Duarte,Portugal,1995-03-10,Defensa central,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
258475,Nikola Maras,Serbia,1995-12-19,,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
258923,Marcus Rashford,Inglaterra,1997-10-31,Extremo izquierdo,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
258987,Carl Starfelt,Suecia,1995-06-01,Defensa central,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
261503,Álvaro Fidalgo,México,1997-04-09,Mediocentro,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
262396,Unai Simón,España,1997-06-11,Portero,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
