understat_match_id,season,datetime,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,home_xg,away_xg
29515,2025,2026-05-14 17:00:00,Valencia,Rayo Vallecano,146,145,1,1,0.938336,1.53041
29512,2025,2026-05-14 18:00:00,Girona,Real Sociedad,223,140,1,1,2.68586,0.553216
29517,2025,2026-05-14 19:30:00,Real Madrid,Real Oviedo,150,289,2,0,1.74088,1.18679
29518,2025,2026-05-17 17:00:00,Athletic Club,Celta Vigo,147,152,1,1,2.90368,0.307867
29519,2025,2026-05-17 17:00:00,Barcelona,Real Betis,148,153,3,1,1.59946,0.985477
29520,2025,2026-05-17 17:00:00,Atletico Madrid,Girona,143,223,1,0,2.70772,2.0015
29521,2025,2026-05-17 17:00:00,Real Sociedad,Valencia,140,146,3,4,1.30267,1.99329
29522,2025,2026-05-17 17:00:00,Real Oviedo,Alaves,289,158,0,1,0.631265,1.28286
29523,2025,2026-05-17 17:00:00,Osasuna,Espanyol,157,141,1,2,1.81152,0.947142
29524,2025,2026-05-17 17:00:00,Sevilla,Real Madrid,138,150,0,1,0.683481,1.47378
29525,2025,2026-05-17 17:00:00,Levante,Mallorca,151,239,2,0,2.43681,0.438978
29526,2025,2026-05-17 17:00:00,Rayo Vallecano,Villarreal,145,154,2,0,1.92496,0.654975
29527,2025,2026-05-17 17:00:00,Elche,Getafe,207,142,1,0,0.691836,0.0944069
29528,2025,2026-05-23 19:00:00,Alaves,Rayo Vallecano,158,145,1,2,1.72468,1.64691
29529,2025,2026-05-23 19:00:00,Real Betis,Levante,153,151,2,1,1.8664,2.36717
29530,2025,2026-05-23 19:00:00,Celta Vigo,Sevilla,152,138,1,0,1.61801,0.755735
29531,2025,2026-05-23 19:00:00,Espanyol,Real Sociedad,141,140,1,1,2.14307,1.23238
29532,2025,2026-05-23 19:00:00,Real Madrid,Athletic Club,150,147,4,2,1.95397,1.4543
29534,2025,2026-05-23 19:00:00,Valencia,Barcelona,146,148,3,1,1.83367,1.29336
29535,2025,2026-05-23 19:00:00,Girona,Elche,223,207,1,1,0.668034,0.495408
29536,2025,2026-05-23 19:00:00,Getafe,Osasuna,142,157,1,0,0.264137,0.800038
29537,2025,2026-05-23 19:00:00,Mallorca,Real Oviedo,239,289,3,0,3.50774,0.243154
29533,2025,2026-05-24 19:00:00,Villarreal,Atletico Madrid,154,143,5,1,2.80441,1.58431
